# identity.tsv — the shared lexeme-identity table (docs/UNIFIED_IDENTITY.md).
# generated-by: cargo xtask unified-identity
# High-confidence tier only: unambiguous 1:1 pos-compatible registered-lexeme
# matches from the projection study. Review candidates live in
# identity-candidates.tsv and are NOT identity claims.
abstract_key	pos	ocs_lexeme_id	ocs_citation	ocs_lemma_key	synodal_lexeme_id	synodal_citation
adj:благъ	adj	благъ|adj|8cb72df1035b975f	благъ	благъ	synodal:adjective:wikt-a9cef2fd54e7	благъ
adj:богатъ	adj	богатъ|adj|bfad9b6766b803ad	богатъ	богатъ	synodal:adjective:wikt-484ded0194e3	богатъ
adj:бѣлъ	adj	бѣлъ|adj|057a9797a5393857	бѣлъ	бѣлъ	synodal:adjective:wikt-ee77eedb1a1a	бѣлъ
adj:великъ	adj	великъ|adj|c3286e599b4f4ed4	великъ	великъ	synodal:adjective:wikt-e406458f5df6	великъ
adj:вѣренъ	adj	вѣрьнъ|adj|e7e41d14d022a1a8	вѣрьнъ	вѣрьнъ	synodal:adjective:v06-a79476be07ef953c	вѣренъ
adj:вѣчнъ	adj	вѣчьнъ|adj|823b67a1ba680ebf	вѣчьнъ	вѣчьнъ	synodal:adjective:vechn	вѣчнъ
adj:готовъ	adj	готовъ|adj|b0c997031fa3e9a5	готовъ	готовъ	synodal:adjective:wikt-7bbc11a3d55b	готовъ
adj:грѣшнъ	adj	грѣшьнъ|adj|9d97bd074c321be1	грѣшьнъ	грѣшьнъ	synodal:adjective:greshn	грѣшнъ
adj:деснъ	adj	деснъ|adj|632fac49ca9cc031	деснъ	деснъ	synodal:adjective:v07-754731df6f1c0a4b	деснъ
adj:добръ	adj	добръ|adj|821d3f1b237b1478	добръ	добръ	synodal:adjective:wikt-f2a9817d8801	добръ
adj:достоинъ	adj	достоинъ|adj|d8370d2f27d3203f	достоинъ	достоинъ	synodal:adjective:wikt-a699ead0c3a0	достоинъ
adj:жестокъ	adj	жестокъ|adj|4c3c2b678d6b0965	жестокъ	жестокъ	synodal:adjective:wikt-a5aa84541043	жестокъ
adj:живъ	adj	живъ|adj|4f5d99dfb07c07e5	живъ	живъ	synodal:adjective:wikt-804d9a9cde41	живъ
adj:именитъ	adj	именитъ|adj|3f651bb0e92e682d	именитъ	именитъ	synodal:adjective:wikt-7d4c99faff8a	именитъ
adj:крѣпъкъ	adj	крѣпъкъ|adj|83799a41f78321ea	крѣпъкъ	крѣпъкъ	synodal:adjective:v06-1a7ee491487fbd39	крѣпъкъ
adj:льстивъ	adj	льстивъ|adj|6a0ce91ee30c15ad	льстивъ	льстивъ	synodal:adjective:wikt-39a6ab0724c1	льстивъ
adj:лютъ	adj	лютъ|adj|bda4548cf712cea0	лютъ	лютъ	synodal:adjective:wikt-fb14e06aa83a	лютъ
adj:малъ	adj	малъ|adj|7e508d8311ea5016	малъ	малъ	synodal:adjective:wikt-c50de9a2243e	малъ
adj:милостивъ	adj	милостивъ|adj|6ce83d39f319854b	милостивъ	милостивъ	synodal:adjective:wikt-f18d6b1624bc	милостивъ
adj:младъ	adj	младъ|adj|a81ed663ec334dd9	младъ	младъ	synodal:adjective:wikt-4f7bc7946643	младъ
adj:мудръ	adj	мѫдръ|adj|19360e56dd6e089d	мѫдръ	мѫдръ	synodal:adjective:mudr	мꙋдръ
adj:нагъ	adj	нагъ|adj|a41aa54910545681	нагъ	нагъ	synodal:adjective:wikt-8c3c3a86f335	нагъ
adj:небеснъ	adj	небесьнъ|adj|3574fb16e1f97e31	небесьнъ	небесьнъ	synodal:adjective:nebesn	небеснъ
adj:ниць	adj	ниць|adj|65c034bf0d5fa2c0	ниць	ниць	synodal:adjective:v07-5512f813a6466474	ниць
adj:нищь	adj	нищь|adj|78f9710e07c14576	нищь	нищь	synodal:adjective:wikt-d450d011fe40	нищь
adj:новъ	adj	новъ|adj|e42e61a72d57093b	новъ	новъ	synodal:adjective:wikt-d82850b9084c	новъ
adj:нѣмъ	adj	нѣмъ|adj|9506298526f4d991	нѣмъ	нѣмъ	synodal:adjective:wikt-e4d34a35620b	нѣмъ
adj:подобьнъ	adj	подобьнъ|adj|68bc6846e82dd6db	подобьнъ	подобьнъ	synodal:adjective:v06-6d8cbd0ea412c4e9	подобьнъ
adj:праведнъ	adj	правьдьнъ|adj|350cfb5e04fdc1b3	правьдьнъ	правьдьнъ	synodal:adjective:pravedn	праведнъ
adj:правъ	adj	правъ|adj|482378c4ac2d504f	правъ	правъ	synodal:adjective:wikt-474b39de7e9e	правъ
adj:проклѧтъ	adj	проклѧтъ|adj|448de9804a06e61b	проклѧтъ	проклѧтъ	synodal:adjective:v07-2585c9e958eb4925	проклѧтъ
adj:пустъ	adj	поустъ|adj|6703d715482247a5	поустъ	поустъ	synodal:adjective:v12-pust	пꙋстъ
adj:самъ	adj	самъ|adj|6400f0aa48290029	самъ	самъ	synodal:adjective:wikt-9426297191aa	самъ
adj:свѧтъ	adj	свѧтъ|adj|4795f77aeade62af	свѧтъ	свѧтъ	synodal:adjective:svyat	свѧтъ
adj:скоръ	adj	скоръ|adj|deb9aac01c2e8447	скоръ	скоръ	synodal:adjective:wikt-68d9730bbab3	скоръ
adj:слабъ	adj	слабъ|adj|ce7fd47f780a1f71	слабъ	слабъ	synodal:adjective:wikt-a37ef61183ba	слабъ
adj:слѣпъ	adj	слѣпъ|adj|4cd23c95ddef433f	слѣпъ	слѣпъ	synodal:adjective:wikt-344ef5abedda	слѣпъ
adj:старъ	adj	старъ|adj|51e3fc3bb7663f94	старъ	старъ	synodal:adjective:wikt-8b40bc3f9667	старъ
adj:сѣдъ	adj	сѣдъ|adj|d8a474542075dae9	сѣдъ	сѣдъ	synodal:adjective:wikt-b5bb7739c281	сѣдъ
adj:таинъ	adj	таінъ|adj|3a3baf278c0fc439	таінъ	таінъ	synodal:adjective:wikt-f3161825d638	таинъ
adj:угодьнъ	adj	оугодьнъ|adj|11ae805cadca213b	оугодьнъ	оугодьнъ	synodal:adjective:v07-04155aef09f378f0	оугодьнъ
adj:хромъ	adj	хромъ|adj|0d50c31cb2bb075d	хромъ	хромъ	synodal:adjective:wikt-3788d12f26f2	хромъ
adj:цѣлъ	adj	цѣлъ|adj|e4066392eb9b5399	цѣлъ	цѣлъ	synodal:adjective:wikt-273a821aeb28	цѣлъ
adj:щедръ	adj	щедръ|adj|b5cf3f1fab146257	щедръ	щедръ	synodal:adjective:wikt-f7f46531d6bf	щедръ
adj:юнъ	adj	юнъ|adj|a4b4c8d389632625	юнъ	юнъ	synodal:adjective:wikt-81653f4a2e14	юнъ
adj:ѧръ	adj	ꙗръ|adj|fb9943caf7e35d8f	ꙗръ	ꙗръ	synodal:adjective:wikt-6602cb1a9103	ꙗръ
noun:агньць	noun	агньць|noun|2c37c8984ac3639b	агньць	агньць	synodal:noun:v07-9839b479c14a98dd	агньць
noun:алеѯандръ	noun	алеѯандръ|noun|b70362ca484a321f	Алеѯандръ	Алеѯандръ	synodal:proper-noun:wikt-2b045bde1e7d	алеѯандръ
noun:ангелъ	noun	анг҄елъ|noun|29fb628af75990d6	анг҄елъ	анг҄елъ	synodal:noun:angel	ангелъ
noun:апостолъ	noun	апостолъ|noun|7586d44b73f85395	апостолъ	апостолъ	synodal:noun:apostol	апостолъ
noun:ароматъ	noun	ароматъ|noun|700b01f15b41cabb	ароматъ	ароматъ	synodal:noun:wikt-44581a9b2b3a	арѡматъ
noun:асиѧ	noun	асіꙗ|noun|1e89b463907330c3	Асіꙗ	Асіꙗ	synodal:proper-noun:v07-8d31d317e0b4abfc	Асіꙗ
noun:бесѣда	noun	бесѣда|noun|ef18b6186463bda5	бесѣда	бесѣда	synodal:noun:wikt-be4898378c58	бесѣда
noun:богатьство	noun	богатьство|noun|31094b20bdff79f8	богатьство	богатьство	synodal:noun:v07-981df815299601b1	богатьство
noun:богъ	noun	богъ|noun|546877f9dff800e2	богъ	богъ	synodal:noun:bog	богъ
noun:болѣзнь	noun	болѣзнь|noun|f9f2e7e7b4f11bc5	болѣзнь	болѣзнь	synodal:noun:wikt-34a97d0572e7	болѣзнь
noun:бракъ	noun	бракъ|noun|7c0e93ecafd25281	бракъ	бракъ	synodal:noun:wikt-33fa8ee7c606	бракъ
noun:брань	noun	брань|noun|4c88e21d6e2c59f7	брань	брань	synodal:noun:wikt-d466404ca999	брань
noun:братъ	noun	братъ|noun|8a09ef50fdd7ca36	братъ	братъ	synodal:noun:brother	братъ
noun:брашно	noun	брашьно|noun|62f6a1340e00f8a9	брашьно	брашьно	synodal:noun:v06-8469d334b5dc4483	брашно
noun:брѣмѧ	noun	брѣмѧ|noun|108c06c9fa1f6105	брѣмѧ	брѣмѧ	synodal:noun:v07-e05d511a88f8627d	брѣмѧ
noun:бѣда	noun	бѣда|noun|7bab1cd728646c32	бѣда	бѣда	synodal:noun:wikt-a6817cab5929	бѣда
noun:бѣсъ	noun	бѣсъ|noun|a271434ad851c9cb	бѣсъ	бѣсъ	synodal:noun:wikt-7e8cde57afa5	бѣсъ
noun:величьство	noun	величьство|noun|f8f023a869998fb7	величьство	величьство	synodal:noun:v07-65be60d4d26af10f	величьство
noun:вечеръ	noun	вечеръ|noun|4355416b5f7abe0f	вечеръ	вечеръ	synodal:noun:wikt-93efdf93523a	вечеръ
noun:вещь	noun	вещь|noun|706352805e114923	вещь	вещь	synodal:noun:wikt-66c1248b9c23	вещь
noun:видъ	noun	видъ|noun|ecd6e4aa926cba98	видъ	видъ	synodal:noun:wikt-a18629b39c2d	видъ
noun:вина	noun	вина|noun|194bab2794283dd8	вина	вина	synodal:noun:v06-b656255241f904d4	вина
noun:владыка	noun	владꙑка|noun|7c7bbcfae2d311a4	владꙑка	владꙑка	synodal:noun:vladyka	владыка
noun:владычица	noun	владычица|noun|b7c959ede743ead0	владычица	владычица	synodal:noun:vladychitsa	владычица
noun:власть	noun	власть|noun|46e5e8607f2d22bd	власть	власть	synodal:noun:wikt-623810a5090c	власть
noun:власъ	noun	власъ|noun|effad8669f50ede2	власъ	власъ	synodal:noun:wikt-ce9a074ba1e6	власъ
noun:вода	noun	вода|noun|f5dab839ac7f4661	вода	вода	synodal:noun:voda	вода
noun:вождь	noun	вождь|noun|0e447114993e6e6d	вождь	вождь	synodal:noun:v07-513e598404690573	вождь
noun:воинъ	noun	воинъ|noun|e255f4d80f65b1a1	воинъ	воинъ	synodal:noun:v06-54edb72ddb014dda	вѡинъ
noun:волъ	noun	волъ|noun|bc8068d9b7d6e40b	волъ	волъ	synodal:noun:wikt-744933bc1ff9	волъ
noun:волѧ	noun	вол҄ꙗ|noun|3e862d6c7eed6509	вол҄ꙗ	вол҄ꙗ	synodal:noun:volya	волѧ
noun:вопль	noun	въпль|noun|cf478996d915a398	въпль	въпль	synodal:noun:v06-3fb2ff1e1c3b7ac8	вопль
noun:воскъ	noun	воскъ|noun|8a1d20145278486c	воскъ	воскъ	synodal:noun:wikt-13fb137e551e	воскъ
noun:востокъ	noun	въстокъ|noun|4e8fbd405e279a46	въстокъ	въстокъ	synodal:noun:v12-vostok	востокъ
noun:врагъ	noun	врагъ|noun|8eb04918f509af0b	врагъ	врагъ	synodal:noun:wikt-6581de9ff070	врагъ
noun:вранъ	noun	вранъ|noun|a1b3ef462bee2d4e	вранъ	вранъ	synodal:noun:wikt-deef35edb9b4	вранъ
noun:врата	noun	врата|noun|787fbd79651b90a1	врата	врата	synodal:noun:v06-4b110ac5f2b33849	врата
noun:врачь	noun	врачь|noun|1c0cf773835f177c	врачь	врачь	synodal:noun:wikt-e457702a921e	врачь
noun:врьхъ	noun	врьхъ|noun|f16c51d3eba3dad8	врьхъ	врьхъ	synodal:noun:v07-aeac24ce63059b0a	врьхъ
noun:врѣтище	noun	врѣтище|noun|25c7be7beca7b032	врѣтище	врѣтище	synodal:noun:v07-1a970c0f91ba4867	врѣтище
noun:высота	noun	вꙑсота|noun|c036f7f9308f0fa2	вꙑсота	вꙑсота	synodal:noun:v12-vysota	высота
noun:вьседрьжитель	noun	вьседрьжитель|noun|47aeaaf174b7d5c5	вьседрьжитель	вьседрьжитель	synodal:noun:v07-f34b2bdb7822ed80	вьседрьжитель
noun:вѣкъ	noun	вѣкъ|noun|2c6afcbe3df08c9d	вѣкъ	вѣкъ	synodal:noun:v06-ea34e8ebdfdfe6f9	вѣкъ
noun:вѣра	noun	вѣра|noun|3bbc38ca80955664	вѣра	вѣра	synodal:noun:vera	вѣра
noun:вѣсть	noun	вѣсть|noun|4355815bfb54fdb3	вѣсть	вѣсть	synodal:noun:wikt-3def1355a9a6	вѣсть
noun:вѣтвь	noun	вѣтвь|noun|93064b6ad57e506b	вѣтвь	вѣтвь	synodal:noun:wikt-1789484a1fa6	вѣтвь
noun:вѣтръ	noun	вѣтръ|noun|8f17e4e981bd1408	вѣтръ	вѣтръ	synodal:noun:wikt-68c10fac7a67	вѣтръ
noun:гадъ	noun	гадъ|noun|70516da95c3c8e4e	гадъ	гадъ	synodal:noun:wikt-9444ca7bd2ab	гадъ
noun:глава	noun	глава|noun|bed8484008b699a2	глава	глава	synodal:noun:glava	глава
noun:глаголъ	noun	глаголъ|noun|59a46c87d1ef1e83	глаголъ	глаголъ	synodal:noun:wikt-34a574308ceb	глаголъ
noun:гладъ	noun	гладъ|noun|cb7b8b6b21f2918f	гладъ	гладъ	synodal:noun:wikt-4a310e2fb5be	гладъ
noun:гласъ	noun	гласъ|noun|4d5779053dc1ffd8	гласъ	гласъ	synodal:noun:glas	гласъ
noun:гнои	noun	гнои|noun|818df1764e9b0a30	гнои	гнои	synodal:noun:wikt-4ae674490a32	гнои
noun:гнѣвъ	noun	гнѣвъ|noun|1622adebe46564f3	гнѣвъ	гнѣвъ	synodal:noun:wikt-3566ada72e8b	гнѣвъ
