# Old Church Slavonic noun classes seeded from Kaikki's tables by scripts/kaikki-to-classes.py:
# class = Kaikki stem class : nominative ending : gender; the majority ending per cell, a second ending
# as an alternative when a quarter of the group uses it. No stress. Hand-maintained since.
class	exemplar	strip	stems	nom.sg	gen.sg	dat.sg	acc.sg	ins.sg	loc.sg	voc.sg	nom.du	gen.du	dat.du	acc.du	ins.du	loc.du	voc.du	nom.pl	gen.pl	dat.pl	acc.pl	ins.pl	loc.pl	voc.pl
a:0:-	брънѩ	0	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-	-	-	1-	-	-	1-
a:а:-	работа	1	1=base	1-а	1-ы	1-ѣ	1-ѫ	1-оѭ	1-ѣ	1-о	1-ѣ	1-ꙋ	1-ама	1-ѣ	1-ама	1-ꙋ	1-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
a:а:f	бльвотина	1	1=base	1-а	1-ы	1-ѣ	1-ѫ	1-оѭ	1-ѣ	1-о	1-ѣ	1-ꙋ	1-ама	1-ѣ	1-ама	1-ꙋ	1-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
a:а:m	жела	1	1=base	1-ꙗ	1-ѧ	1-и	1-ѫ	1-еѭ	1-и	1-е	1-и	1-ꙋ	1-ама	1-и	1-ама	1-ꙋ	1-и	1-ѧ	1-ь	1-амъ	1-ѧ	1-ами	1-ахъ	1-ѧ
a:и:-	июнии	1	1=base	1-и	1-ѩ	1-и	1-ѭ	1-ѥѭ	1-и	1-ѥ	1-и	1-ю	1-ꙗма	1-и	1-ꙗма	1-ю	1-и	1-ѩ	1-и	1-ꙗмъ	1-ѩ	1-ꙗми	1-ꙗхъ	1-ѩ
a:и:f	гръдыни	1	1=base	1-и	1-ѧ	1-и	1-ѫ	1-еѭ	1-и	1-е	1-и	1-ꙋ	1-ама	1-и	1-ама	1-ꙋ	1-и	1-ѧ|1-ѩ	1-ь	1-амъ	1-ѧ|1-ѩ	1-ами	1-ахъ	1-ѧ|1-ѩ
a:и:m	кънигъчии	1	1=base	1-и	1-ѩ	1-и	1-ѭ	1-ѥѭ	1-и	1-ѥ	1-и	1-ю	1-ꙗма	1-и	1-ꙗма	1-ю	1-и	1-ѩ	1-и	1-ꙗмъ	1-ѩ	1-ꙗми	1-ꙗхъ	1-ѩ
a:ы:-	чары	1	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
a:ь:-	теплость	1	1=base	1-а	1-ы	1-ѣ	1-ѫ	1-оѭ	1-ѣ	1-о	1-ѣ	1-ꙋ	1-ама	1-ѣ	1-ама	1-ꙋ	1-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
a:ꙗ:-	недѣлꙗ	1	1=base	1-ꙗ	1-ѩ	1-и	1-ѭ	1-еѭ	1-и	1-е	1-и	1-ю	1-ꙗма	1-и	1-ꙗма	1-ю	1-и	1-ѩ	1-ь	1-ꙗмъ	1-ѩ	1-ꙗми	1-ꙗхъ	1-ѩ
ak:а:-	нога	1	1=base;3=pal1;5=pal2	1-а	1-ы	5-ѣ|1-ѣ	1-ѫ	1-оѭ	5-ѣ|1-ѣ	1-о	5-ѣ|1-ѣ	1-ꙋ	1-ама	5-ѣ|1-ѣ	1-ама	1-ꙋ	5-ѣ|1-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
ak:ы:f	кънигы	1	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы
i:0:-	мрьтвост	0	1=base	1-ь	1-и	1-и	1-ь	1-ьѭ|1-иѭ	1-и	1-и	1-и	1-ью|1-ию	1-ьма	1-и	1-ьма	1-ью|1-ию	1-и	1-и	1-ьи|1-ии	1-ьмъ	1-и	1-ьми	1-ьхъ	1-ьѥ|1-иѥ
i:и:-	двьри	1	1=base	1-ь	1-и	1-и	1-ь	1-ьѭ|1-иѭ	1-и	1-и	1-и	1-ью|1-ию	1-ьма	1-и	1-ьма	1-ью|1-ию	1-и	1-и	1-ьи|1-ии	1-ьмъ	1-и	1-ьми	1-ьхъ	1-ьѥ|1-иѥ
i:ъ:-	опашъ	1	1=base	1-ь	1-и	1-и	1-ь	1-ьѭ|1-иѭ	1-и	1-и	1-и	1-ью|1-ию	1-ьма	1-и	1-ьма	1-ью|1-ию	1-и	1-и	1-ьи|1-ии	1-ьмъ	1-и	1-ьми	1-ьхъ	1-ьѥ|1-иѥ
i:ь:-	кость	1	1=base	1-ь	1-и	1-и	1-ь	1-ьѭ|1-иѭ	1-и	1-и	1-и	1-ью|1-ию	1-ьма	1-и	1-ьма	1-ью|1-ию	1-и	1-и	1-ьи|1-ии	1-ьмъ	1-и	1-ьми	1-ьхъ	1-ьѥ|1-иѥ
i:ь:m	огнь	1	1=base	1-ь	1-и|1-а	1-и|1-ꙋ	1-ь	1-ьмь|1-емь	1-и	1-и|1-ꙋ	1-и|1-а	1-ью|1-ию|1-ꙋ	1-ьма|1-ема	1-и|1-а	1-ьма|1-ема	1-ью|1-ию|1-ꙋ	1-и|1-а	1-ьѥ|1-иѥ|1-и	1-ьи|1-ии|1-ь	1-ьмъ|1-емъ	1-и|1-ѧ	1-ьми|1-и	1-ьхъ|1-ихъ	1-ьѥ|1-иѥ|1-и
i:ѥ:-	людьѥ	1	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-ѥ	1-и	1-мъ	-	1-ми	1-хъ	1-ѥ
n:ы:-	пламы	1	1=base	1-ы	1-ене	1-ени	1-ень	1-еньмь	1-ене	1-ы	1-ени	1-енꙋ	1-еньма	1-ени	1-еньма	1-енꙋ	1-ени	1-ене	1-енъ	1-еньмъ	1-ени	1-еньми	1-еньхъ	1-ене
n:ь:-	корень	1	1=base	1-ь|1-ы	1-е	1-и	1-ь	1-ьмь	1-е	1-ь|1-ы	1-и	1-ꙋ	1-ьма	1-и	1-ьма	1-ꙋ	1-и	1-е	1-ъ	1-ьмъ	1-и	1-ьми	1-ьхъ	1-е
