# Old Church Slavonic pronoun classes, hand-written from Kaikki's tables of тъ, сь, иже, къто, чьто and
# the UD PROIEL train forms of the personal pronoun (scripts/kaikki-to-classes.py writes this file).
class	exemplar	strip	stems	m.sg.nom	m.sg.gen	m.sg.dat	m.sg.acc	m.sg.ins	m.sg.loc	m.sg.voc	m.du.nom	m.du.acc	m.du.gen	m.du.loc	m.du.dat	m.du.ins	m.du.voc	m.pl.nom	m.pl.acc	m.pl.gen	m.pl.loc	m.pl.dat	m.pl.ins	m.pl.voc	f.sg.nom	f.sg.gen	f.sg.dat	f.sg.acc	f.sg.ins	f.sg.loc	f.sg.voc	f.du.nom	f.du.acc	f.du.gen	f.du.loc	f.du.dat	f.du.ins	f.du.voc	f.pl.nom	f.pl.acc	f.pl.gen	f.pl.loc	f.pl.dat	f.pl.ins	f.pl.voc	n.sg.nom	n.sg.gen	n.sg.dat	n.sg.acc	n.sg.ins	n.sg.loc	n.sg.voc	n.du.nom	n.du.acc	n.du.gen	n.du.loc	n.du.dat	n.du.ins	n.du.voc	n.pl.nom	n.pl.acc	n.pl.gen	n.pl.loc	n.pl.dat	n.pl.ins	n.pl.voc	3.m.sg.nom	3.m.sg.gen	3.m.sg.dat	3.m.sg.acc	3.m.sg.ins	3.m.sg.loc	3.m.sg.voc	3.m.du.nom	3.m.du.acc	3.m.du.gen	3.m.du.loc	3.m.du.dat	3.m.du.ins	3.m.du.voc	3.m.pl.nom	3.m.pl.acc	3.m.pl.gen	3.m.pl.loc	3.m.pl.dat	3.m.pl.ins	3.m.pl.voc	clit.3.m.sg.acc	clit.3.m.pl.acc	3.f.sg.nom	3.f.sg.gen	3.f.sg.dat	3.f.sg.acc	3.f.sg.ins	3.f.sg.loc	3.f.sg.voc	3.f.du.nom	3.f.du.acc	3.f.du.gen	3.f.du.loc	3.f.du.dat	3.f.du.ins	3.f.du.voc	3.f.pl.nom	3.f.pl.acc	3.f.pl.gen	3.f.pl.loc	3.f.pl.dat	3.f.pl.ins	3.f.pl.voc	clit.3.f.sg.acc	clit.3.f.pl.acc	3.n.sg.nom	3.n.sg.gen	3.n.sg.dat	3.n.sg.acc	3.n.sg.ins	3.n.sg.loc	3.n.sg.voc	3.n.du.nom	3.n.du.acc	3.n.du.gen	3.n.du.loc	3.n.du.dat	3.n.du.ins	3.n.du.voc	3.n.pl.nom	3.n.pl.acc	3.n.pl.gen	3.n.pl.loc	3.n.pl.dat	3.n.pl.ins	3.n.pl.voc	clit.3.n.sg.acc	clit.3.n.pl.acc	1.sg.nom	1.sg.voc	1.sg.gen	1.sg.dat	1.sg.acc	1.sg.ins	1.sg.loc	clit.1.sg.acc	clit.1.sg.dat	2.sg.nom	2.sg.voc	2.sg.gen	2.sg.dat	2.sg.acc	2.sg.ins	2.sg.loc	clit.2.sg.acc	clit.2.sg.dat	gen	dat	acc	ins	loc	clit.acc	clit.dat	1.pl.nom	1.pl.voc	1.pl.gen	1.pl.dat	1.pl.acc	1.pl.ins	1.pl.loc	clit.1.pl.acc	1.du.nom	1.du.voc	1.du.gen	1.du.dat	1.du.acc	1.du.ins	1.du.loc	2.pl.nom	2.pl.voc	2.pl.gen	2.pl.dat	2.pl.acc	2.pl.ins	2.pl.loc	clit.2.pl.acc	2.du.nom	2.du.voc	2.du.gen	2.du.dat	2.du.acc	2.du.ins	2.du.loc
PA1	тъ	1	1=base	1-ъ	1-ого	1-омꙋ	1-ъ|1-ого	1-ѣмь	1-омь	@m.sg.nom	1-а	1-а	1-ою	1-ою	1-ѣма	1-ѣма	@m.du.nom	1-и	1-ы	1-ѣхъ	1-ѣхъ	1-ѣмъ	1-ѣми	@m.pl.nom	1-а	1-оѩ	1-ои	1-ѫ	1-оѭ	1-ои	@f.sg.nom	1-ѣ	1-ѣ	1-ою	1-ою	1-ѣма	1-ѣма	@f.du.nom	1-ы	1-ы	1-ѣхъ	1-ѣхъ	1-ѣмъ	1-ѣми	@f.pl.nom	1-о	1-ого	1-омꙋ	1-о	1-ѣмь	1-омь	@n.sg.nom	1-ѣ	1-ѣ	1-ою	1-ою	1-ѣма	1-ѣма	@n.du.nom	1-а	1-а	1-ѣхъ	1-ѣхъ	1-ѣмъ	1-ѣми	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1k	вьсѣкъ	1	1=base;3=pal1;5=pal2	1-ъ	1-ого	1-омꙋ	1-ъ|1-ого	5-ѣмь	1-омь	@m.sg.nom	1-а	1-а	1-ою	1-ою	5-ѣма	5-ѣма	@m.du.nom	5-и	1-ы	5-ѣхъ	5-ѣхъ	5-ѣмъ	5-ѣми	@m.pl.nom	1-а	1-оѩ	1-ои	1-ѫ	1-оѭ	1-ои	@f.sg.nom	5-ѣ	5-ѣ	1-ою	1-ою	5-ѣма	5-ѣма	@f.du.nom	1-ы	1-ы	5-ѣхъ	5-ѣхъ	5-ѣмъ	5-ѣми	@f.pl.nom	1-о	1-ого	1-омꙋ	1-о	5-ѣмь	1-омь	@n.sg.nom	5-ѣ	5-ѣ	1-ою	1-ою	5-ѣма	5-ѣма	@n.du.nom	1-а	1-а	5-ѣхъ	5-ѣхъ	5-ѣмъ	5-ѣми	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1j	сь	1	1=base	1-ь	1-его	1-емꙋ	1-ь|1-его	1-имь	1-емь	@m.sg.nom	1-иꙗ|1-ꙗ	1-иꙗ|1-ꙗ	1-ею	1-ею	1-има	1-има	@m.du.nom	1-ии|1-и	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@m.pl.nom	1-и|1-ꙗ	1-еѩ	1-еи	1-иѭ|1-ѭ	1-еѭ	1-еи	@f.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@f.du.nom	1-иѩ|1-ѩ	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@f.pl.nom	1-е	1-его	1-емꙋ	1-е	1-имь	1-емь	@n.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@n.du.nom	1-и|1-ꙗ	1-и|1-ꙗ	1-ихъ	1-ихъ	1-имъ	1-ими	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1j*	вьсь	1	1=drop;2=base	2-ь	1-его	1-емꙋ	2-ь|1-его	1-имь	1-емь	@m.sg.nom	1-иꙗ|1-ꙗ	1-иꙗ|1-ꙗ	1-ею	1-ею	1-има	1-има	@m.du.nom	1-ии|1-и	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@m.pl.nom	1-и|1-ꙗ	1-еѩ	1-еи	1-иѭ|1-ѭ	1-еѭ	1-еи	@f.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@f.du.nom	1-иѩ|1-ѩ	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@f.pl.nom	1-е	1-его	1-емꙋ	1-е	1-имь	1-емь	@n.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@n.du.nom	1-и|1-ꙗ	1-и|1-ꙗ	1-ихъ	1-ихъ	1-имъ	1-ими	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1a	мои	1	1=base	@lemma	1-его	1-емꙋ	@lemma|1-его	1-имь	1-емь	@m.sg.nom	1-иꙗ|1-ꙗ	1-иꙗ|1-ꙗ	1-ею	1-ею	1-има	1-има	@m.du.nom	1-ии|1-и	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@m.pl.nom	1-и|1-ꙗ	1-еѩ	1-еи	1-иѭ|1-ѭ	1-еѭ	1-еи	@f.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@f.du.nom	1-иѩ|1-ѩ	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@f.pl.nom	1-е	1-его	1-емꙋ	1-е	1-имь	1-емь	@n.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@n.du.nom	1-и|1-ꙗ	1-и|1-ꙗ	1-ихъ	1-ихъ	1-имъ	1-ими	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1s	нашь	1	1=base	1-ь	1-его	1-емꙋ	1-ь|1-его	1-имь	1-емь	@m.sg.nom	1-иꙗ|1-ꙗ	1-иꙗ|1-ꙗ	1-ею	1-ею	1-има	1-има	@m.du.nom	1-ии|1-и	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@m.pl.nom	1-и|1-ꙗ	1-еѩ	1-еи	1-иѭ|1-ѭ	1-еѭ	1-еи	@f.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@f.du.nom	1-иѩ|1-ѩ	1-иѩ|1-ѩ	1-ихъ	1-ихъ	1-имъ	1-ими	@f.pl.nom	1-е	1-его	1-емꙋ	1-е	1-имь	1-емь	@n.sg.nom	1-и	1-и	1-ею	1-ею	1-има	1-има	@n.du.nom	1-и|1-ꙗ	1-и|1-ꙗ	1-ихъ	1-ихъ	1-имъ	1-ими	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPkto	къто:к	0	1=base	1-ъто	1-ого	1-омꙋ	1-ого	1-имь	1-омь	@m.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPcto	чьто:ч	0	1=base	1-ьто	1-есо|1-ьсо|1-есого	1-есомꙋ|1-емꙋ	1-ьто	1-имь	1-емь|1-есомь	@m.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPize	иже	3	1=base	1-и	1-ѥго|1-него	1-ѥмꙋ|1-немꙋ	1-и|1-нь|1-ѥго	1-имь|1-нимь	1-немь|1-ѥмь	@m.sg.nom	1-ꙗ	1-ꙗ|1-нꙗ	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@m.du.nom	1-и	1-ѩ|1-нѩ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@m.pl.nom	1-ꙗ	1-ѥѩ|1-неѩ	1-ѥи|1-неи	1-ѭ|1-нѭ	1-ѥѭ|1-неѭ	1-неи|1-ѥи	@f.sg.nom	1-и	1-и	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@f.du.nom	1-ѩ	1-ѩ|1-нѩ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@f.pl.nom	1-ѥ	1-ѥго|1-него	1-ѥмꙋ|1-немꙋ	1-ѥ|1-не	1-имь|1-нимь	1-немь|1-ѥмь	@n.sg.nom	1-и	1-и	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@n.du.nom	1-ꙗ	1-ꙗ|1-нꙗ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PP3	и	1	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-и	1-ѥго|1-него	1-ѥмꙋ|1-немꙋ	1-и|1-нь|1-ѥго	1-имь|1-нимь	1-немь|1-ѥмь	@3.m.sg.nom	1-ꙗ	1-ꙗ|1-нꙗ	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@3.m.du.nom	1-и	1-ѩ|1-нѩ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@3.m.pl.nom	1-и	1-ѩ	1-ꙗ	1-ѥѩ|1-неѩ	1-ѥи|1-неи	1-ѭ|1-нѭ	1-ѥѭ|1-неѭ	1-неи|1-ѥи	@3.f.sg.nom	1-и	1-и	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@3.f.du.nom	1-ѩ	1-ѩ|1-нѩ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@3.f.pl.nom	1-ѭ	1-ѩ	1-ѥ	1-ѥго|1-него	1-ѥмꙋ|1-немꙋ	1-ѥ|1-не	1-имь|1-нимь	1-немь|1-ѥмь	@3.n.sg.nom	1-и	1-и	1-ѥю|1-нею	1-нею|1-ѥю	1-има|1-нима	1-има|1-нима	@3.n.du.nom	1-ꙗ	1-ꙗ|1-нꙗ	1-ихъ|1-нихъ	1-нихъ|1-ихъ	1-имъ|1-нимъ	1-ими|1-ними	@3.n.pl.nom	1-ѥ	1-ꙗ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
