# Pronoun letter classes: the pronominal adjectives (legend table 5, short columns)
# and the personal pronouns (table 6; their stems are on the lexeme line: stems=1=мен;2=мн).
class	exemplar	strip	stems	m.sg.nom	m.sg.gen	m.sg.dat	m.sg.acc	m.sg.ins	m.sg.loc	m.sg.voc	m.du.nom	m.du.gen	m.du.dat	m.du.acc	m.du.ins	m.du.loc	m.du.voc	m.pl.nom	m.pl.gen	m.pl.dat	m.pl.acc	m.pl.ins	m.pl.loc	m.pl.voc	f.sg.nom	f.sg.gen	f.sg.dat	f.sg.acc	f.sg.ins	f.sg.loc	f.sg.voc	f.du.nom	f.du.gen	f.du.dat	f.du.acc	f.du.ins	f.du.loc	f.du.voc	f.pl.nom	f.pl.gen	f.pl.dat	f.pl.acc	f.pl.ins	f.pl.loc	f.pl.voc	n.sg.nom	n.sg.gen	n.sg.dat	n.sg.acc	n.sg.ins	n.sg.loc	n.sg.voc	n.du.nom	n.du.gen	n.du.dat	n.du.acc	n.du.ins	n.du.loc	n.du.voc	n.pl.nom	n.pl.gen	n.pl.dat	n.pl.acc	n.pl.ins	n.pl.loc	n.pl.voc	1.sg.nom	1.sg.gen	1.sg.acc	1.sg.dat	1.sg.loc	1.sg.ins	clit.1.sg.acc	clit.1.sg.dat	1.sg.voc	2.sg.nom	2.sg.gen	2.sg.acc	2.sg.dat	2.sg.loc	2.sg.ins	clit.2.sg.acc	clit.2.sg.dat	2.sg.voc	gen	acc	dat	loc	ins	clit.acc	clit.dat	1.pl.nom	1.pl.gen	1.pl.acc	1.pl.dat	1.pl.loc	1.pl.ins	clit.1.pl.acc	1.du.nom	1.du.acc	1.du.gen	1.du.loc	1.du.dat	1.du.ins	1.pl.voc	1.du.voc	2.pl.nom	2.pl.gen	2.pl.acc	2.pl.dat	2.pl.loc	2.pl.ins	clit.2.pl.acc	2.du.nom	2.du.acc	2.du.gen	2.du.loc	2.du.dat	2.du.ins	2.pl.voc	2.du.voc	3.m.sg.nom	3.m.sg.gen	3.m.sg.dat	3.m.sg.acc	3.m.sg.ins	3.m.sg.loc	3.m.sg.voc	3.m.du.nom	3.m.du.gen	3.m.du.dat	3.m.du.acc	3.m.du.ins	3.m.du.loc	3.m.du.voc	3.m.pl.nom	3.m.pl.gen	3.m.pl.dat	3.m.pl.acc	3.m.pl.ins	3.m.pl.loc	3.m.pl.voc	clit.3.m.sg.acc	clit.3.m.du.acc	clit.3.m.pl.acc	3.f.sg.nom	3.f.sg.gen	3.f.sg.dat	3.f.sg.acc	3.f.sg.ins	3.f.sg.loc	3.f.sg.voc	3.f.du.nom	3.f.du.gen	3.f.du.dat	3.f.du.acc	3.f.du.ins	3.f.du.loc	3.f.du.voc	3.f.pl.nom	3.f.pl.gen	3.f.pl.dat	3.f.pl.acc	3.f.pl.ins	3.f.pl.loc	3.f.pl.voc	clit.3.f.sg.acc	clit.3.f.du.acc	clit.3.f.pl.acc	3.n.sg.nom	3.n.sg.gen	3.n.sg.dat	3.n.sg.acc	3.n.sg.ins	3.n.sg.loc	3.n.sg.voc	3.n.du.nom	3.n.du.gen	3.n.du.dat	3.n.du.acc	3.n.du.ins	3.n.du.loc	3.n.du.voc	3.n.pl.nom	3.n.pl.gen	3.n.pl.dat	3.n.pl.acc	3.n.pl.ins	3.n.pl.loc	3.n.pl.voc	clit.3.n.sg.acc	clit.3.n.du.acc	clit.3.n.pl.acc
PA1	инъ	1	1=base	1-ъ	1-ого^	1-омꙋ	@m.sg.nom|1-ого	1-ѣмъ	1-омъ	@m.sg.nom	1-а	1-ою^	1-ѣма	1-а	1-ѣма	1-ою^	@m.du.nom	1-и	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@m.pl.nom	1-а	1-оѧ	1-ой	1-ꙋ	1-ою	1-ой	@f.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@f.du.nom	1-ы	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@f.pl.nom	1-о	1-ого^	1-омꙋ	1-о	1-ѣмъ	1-омъ	@n.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@n.du.nom	1-а	1-ѣхъ	1-ѣмъ	1-а	1-ѣми	1-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1*	одинъ	1	1=drop;2=base	2-ъ	1-ого^	1-омꙋ	@m.sg.nom|1-ого	1-ѣмъ	1-омъ	@m.sg.nom	1-а	1-ою^	1-ѣма	1-а	1-ѣма	1-ою^	@m.du.nom	1-и	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@m.pl.nom	1-а	1-оѧ	1-ой	1-ꙋ	1-ою	1-ой	@f.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@f.du.nom	1-ы	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@f.pl.nom	1-о	1-ого^	1-омꙋ	1-о	1-ѣмъ	1-омъ	@n.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@n.du.nom	1-а	1-ѣхъ	1-ѣмъ	1-а	1-ѣми	1-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1n	единъ	1	1=base	1-ъ	1-ого^	1-омꙋ	@m.sg.nom|1-ого	1-ѣмъ	1-омъ	@m.sg.nom	1-а^	1-ою^	1-ѣма	1-а^	1-ѣма	1-ою^	@m.du.nom	1-и	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@m.pl.nom	1-а	1-оѧ	1-ой	1-ꙋ|1-ꙋю	1-ою	1-ой	@f.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@f.du.nom	1-ы	1-ѣхъ	1-ѣмъ	1-ы	1-ѣми	1-ѣхъ	@f.pl.nom	1-о	1-ого^	1-омꙋ	1-о	1-ѣмъ	1-омъ	@n.sg.nom	1-ѣ	1-ою^	1-ѣма	1-ѣ	1-ѣма	1-ою^	@n.du.nom	1-а^	1-ѣхъ	1-ѣмъ	1-а^	1-ѣми	1-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1t	той	2	1=base	1-ой	1-ого^	1-омꙋ	@m.sg.nom|1-ого	1-ѣмъ	1-омъ	@m.sg.nom	1-а^	1-ою	1-ѣма	1-а^	1-ѣма	1-ою	@m.du.nom	1-іи|1-и	1-ѣхъ	1-ѣмъ^	1-ыѧ|1-ы^	1-ѣми	1-ѣхъ	@m.pl.nom	1-аѧ|1-а	1-оѧ	1-ой	1-ꙋ|1-ꙋю	1-ою	1-ой	@f.sg.nom	1-ѣ|1-а^	1-ою	1-ѣма	1-ѣ|1-а^	1-ѣма	1-ою	@f.du.nom	1-ыѧ^|1-ы^	1-ѣхъ	1-ѣмъ^	1-ыѧ^|1-ы^	1-ѣми	1-ѣхъ	@f.pl.nom	1-ое|1-о	1-ого^	1-омꙋ	1-ое|1-о	1-ѣмъ	1-омъ	@n.sg.nom	1-ѣ|1-а^	1-ою	1-ѣма	1-ѣ|1-а^	1-ѣма	1-ою	@n.du.nom	1-аѧ^|1-а^	1-ѣхъ	1-ѣмъ^	1-аѧ^|1-а^	1-ѣми	1-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1tk	такій	2	1=base;5=pal2	1-ій	1-ого^	1-омꙋ	@m.sg.nom|1-ого	5-ѣмъ	1-омъ	@m.sg.nom	1-а^	1-ою	5-ѣма	1-а^	5-ѣма	1-ою	@m.du.nom	1-іи|1-и	5-ѣхъ	5-ѣмъ^	5-ыѧ|5-ы^	5-ѣми	5-ѣхъ	@m.pl.nom	1-аѧ|1-а	1-оѧ	1-ой	1-ꙋ|1-ꙋю	1-ою	1-ой	@f.sg.nom	5-ѣ|1-а^	1-ою	5-ѣма	5-ѣ|1-а^	5-ѣма	1-ою	@f.du.nom	5-ыѧ^|5-ы^	5-ѣхъ	5-ѣмъ^	5-ыѧ^|5-ы^	5-ѣми	5-ѣхъ	@f.pl.nom	1-ое|1-о	1-ого^	1-омꙋ	1-ое|1-о	5-ѣмъ	1-омъ	@n.sg.nom	5-ѣ|1-а^	1-ою	5-ѣма	5-ѣ|1-а^	5-ѣма	1-ою	@n.du.nom	1-аѧ^|1-а^	5-ѣхъ	5-ѣмъ^	1-аѧ^|1-а^	5-ѣми	5-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1j	сей	2	1=base	1-ей	1-его^	1-емꙋ	@m.sg.nom|1-его	1-имъ	1-емъ	@m.sg.nom	1-іѧ^	1-ею	1-има	1-іѧ^	1-има	1-ею	@m.du.nom	1-іи	1-ихъ	1-имъ^	1-іѧ	1-ими	1-ихъ	@m.pl.nom	1-іѧ	1-еѧ	1-ей	1-ію	1-ею	1-ей	@f.sg.nom	1-іѧ^	1-ею	1-има	1-іѧ^	1-има	1-ею	@f.du.nom	1-іѧ	1-ихъ	1-имъ^	1-іѧ	1-ими	1-ихъ	@f.pl.nom	1-іе	1-его^	1-емꙋ	1-іе	1-имъ	1-емъ	@n.sg.nom	1-іѧ^	1-ею	1-има	1-іѧ^	1-има	1-ею	@n.du.nom	1-іѧ	1-ихъ	1-имъ^	1-іѧ	1-ими	1-ихъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1j*	весь	1	1=drop;2=base	2-ь	1-его^	1-емꙋ	@m.sg.nom|1-его	1-имъ	1-емъ	@m.sg.nom	1-ѧ^	1-ею	1-ѣма	1-ѧ^	1-ѣма	1-ею	@m.du.nom	1-и	1-ѣхъ	1-ѣмъ^	1-ѧ	1-ѣми	1-ѣхъ	@m.pl.nom	1-ѧ	1-еѧ	1-ей	1-ю	1-ею	1-ей	@f.sg.nom	1-ѣ^|1-ѧ^	1-ею	1-ѣма	1-ѣ^|1-ѧ^	1-ѣма	1-ею	@f.du.nom	1-ѧ	1-ѣхъ	1-ѣмъ^	1-ѧ	1-ѣми	1-ѣхъ	@f.pl.nom	1-е	1-его^	1-емꙋ	1-е	1-имъ	1-емъ	@n.sg.nom	1-ѣ^|1-ѧ^	1-ею	1-ѣма	1-ѣ^|1-ѧ^	1-ѣма	1-ею	@n.du.nom	1-ѧ^	1-ѣхъ	1-ѣмъ^	1-ѧ^	1-ѣми	1-ѣхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1k	кій	2	1=base	1-ій	1-оего^	1-оемꙋ	@m.sg.nom|1-оего	1-іимъ	1-оемъ	@m.sg.nom	1-аѧ^	1-оею^	1-іима	1-аѧ^	1-іима	1-оею^	@m.du.nom	1-іи	1-іихъ	1-іимъ	1-іѧ	1-іими	1-іихъ	@m.pl.nom	1-аѧ	1-оеѧ	1-оей	1-ꙋю	1-оею	1-оей	@f.sg.nom	1-іи	1-оею^	1-іима	1-іи	1-іима	1-оею^	@f.du.nom	1-іѧ	1-іихъ	1-іимъ	1-іѧ	1-іими	1-іихъ	@f.pl.nom	1-ое	1-оего^	1-оемꙋ	1-ое	1-іимъ	1-оемъ	@n.sg.nom	1-іи	1-оею^	1-іима	1-іи	1-іима	1-оею^	@n.du.nom	1-аѧ^	1-іихъ	1-іимъ	1-аѧ^	1-іими	1-іихъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1s	нашъ	1	1=base	1-ъ	1-его^	1-емꙋ	@m.sg.nom|1-его	1-имъ	1-емъ	@m.sg.nom	1-а^	1-ею^	1-има	1-а^	1-има	1-ею^	@m.du.nom	1-и	1-ихъ	1-ымъ	1-ѧ	1-ими	1-ихъ	@m.pl.nom	1-а	1-еѧ	1-ей	1-ꙋ	1-ею	1-ей	@f.sg.nom	1-и	1-ею^	1-има	1-и	1-има	1-ею^	@f.du.nom	1-ѧ	1-ихъ	1-ымъ	1-ѧ	1-ими	1-ихъ	@f.pl.nom	1-е	1-его^	1-емꙋ	1-е	1-имъ	1-емъ	@n.sg.nom	1-и	1-ею^	1-има	1-и	1-има	1-ею^	@n.du.nom	1-а^	1-ихъ	1-ымъ	1-а^	1-ими	1-ихъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PA1a	мой	1	1=base	1-й	1-его^	1-емꙋ	@m.sg.nom|1-его	1-имъ	1-емъ	@m.sg.nom	1-ѧ^	1-ею^	1-има	1-ѧ^	1-има	1-ею^	@m.du.nom	1-и	1-ихъ	1-имъ	1-ѧ^	1-ими	1-ихъ	@m.pl.nom	1-ѧ	1-еѧ	1-ей	1-ю	1-ею	1-ей	@f.sg.nom	1-и	1-ею^	1-има	1-и	1-има	1-ею^	@f.du.nom	1-ѧ^	1-ихъ	1-имъ	1-ѧ^	1-ими	1-ихъ	@f.pl.nom	1-е	1-его^	1-емꙋ	1-е	1-имъ	1-емъ	@n.sg.nom	1-и	1-ею^	1-има	1-и	1-има	1-ею^	@n.du.nom	1-ѧ^	1-ихъ	1-имъ	1-ѧ^	1-ими	1-ихъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
