# Verb letter classes, seeded from Polyakov's legend (tables 7–11) by scripts/legend-adj-verb-pron.py;
# hand-maintained since. Stems: 1 infinitive, 2 present, 3 palatalised imperative, 5–8 the participle stems
# (present active, present passive, past active, past passive), declined as the named adjective class;
# 9 the bare present participle (творѧ), 11 the past active short stem (творив), 12 the long past passive (творенн).
class	exemplar	strip	stems	pres.1.sg	pres.1.du	pres.1.pl	pres.2.sg	pres.2.du	pres.2.pl	pres.3.sg	pres.3.du	pres.3.pl	fut.1.sg	fut.1.du	fut.1.pl	fut.2.sg	fut.2.du	fut.2.pl	fut.3.sg	fut.3.du	fut.3.pl	impf.1.sg	impf.1.du	impf.1.pl	impf.2.sg	impf.2.du	impf.2.pl	impf.3.sg	impf.3.du	impf.3.pl	aor.1.sg	aor.1.du	aor.1.pl	aor.2.sg	aor.2.du	aor.2.pl	aor.3.sg	aor.3.du	aor.3.pl	impv.2.sg	impv.3.sg	impv.1.pl	impv.2.pl	impv.1.du	impv.2.du	inf	lpart.m.sg	lpart.f.sg	lpart.n.sg	lpart.m.du	lpart.f.du	lpart.n.du	lpart.m.pl	lpart.f.pl	lpart.n.pl	part.pres.act.short	part.pres.act.short.m.sg.nom	part.pres.act.long	part.pres.act.long.m.sg.nom	part.pres.pass.short	part.pres.pass.short.m.sg.nom	part.pres.pass.long	part.pres.pass.long.m.sg.nom	part.past.act.short	part.past.act.short.m.sg.nom	part.past.act.long	part.past.act.long.m.sg.nom	part.past.pass.short	part.past.pass.short.m.sg.nom	part.past.pass.long	part.past.pass.long.m.sg.nom	part.pres.act.short.n.sg.nom	part.pres.act.short.n.sg.acc	part.pres.act.short.f.sg.nom	part.past.act.short.f.sg.nom	part.past.act.short.n.sg.nom	part.past.act.short.n.sg.acc	part.pres.act.short.m.sg.acc	part.pres.act.short.m.pl.nom	part.pres.act.short.m.pl.acc	part.pres.act.short.f.pl.nom	part.pres.act.short.f.pl.acc	part.pres.act.short.m.sg.loc	part.pres.act.short.n.sg.loc	part.past.act.short.m.sg.acc	part.past.act.short.m.pl.nom	part.past.act.short.m.pl.acc	part.past.act.short.f.pl.nom	part.past.act.short.f.pl.acc	part.past.act.short.m.sg.loc	part.past.act.short.n.sg.loc	part.pres.act.long.n.sg.nom	part.pres.pass.short.m.sg.acc	part.past.pass.short.m.sg.acc	part.pres.act.long.m.sg.acc	part.past.act.long.m.sg.acc	part.pres.pass.long.m.sg.acc	part.past.pass.long.m.sg.acc	part.past.pass.short.m.pl.gen	part.past.pass.short.m.pl.dat	part.past.pass.short.m.pl.loc	part.past.pass.short.f.pl.gen	part.past.pass.short.f.pl.dat	part.past.pass.short.f.pl.loc	part.past.pass.short.n.pl.gen	part.past.pass.short.n.pl.dat	part.past.pass.short.n.pl.loc	part.past.pass.short.m.sg.ins	part.past.pass.short.n.sg.ins	part.past.pass.short.f.sg.nom	part.past.pass.long.m.sg.loc	part.past.pass.long.n.sg.loc
V21n	творити	3	1=base;2=base;5=ext:ѧщ;6=ext:им;7=ext:ивш;8=ext:ен;9=ext:ѧ;11=ext:ив;12=ext:н:ext:ен	1-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ихъ	1-ихова|1-иховѣ	1-ихомъ	1-и	1-иста|1-истѣ	1-исте	1-и	1-иста|1-истѣ	1-иша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ити	1-илъ	1-ила	1-ило	1-ила	1-или|1-илѣ	1-или|1-илѣ	1-или	1-илы|1-или	1-ила|1-или	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ|2-ь	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V21a	строити	3	1=base;2=base;5=ext:ѧщ;6=ext:им;7=ext:ивш;8=ext:ен;9=ext:ѧ;11=ext:ив;12=ext:н:ext:ен	1-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ихъ	1-ихова|1-иховѣ	1-ихомъ	1-и	1-иста|1-истѣ	1-исте	1-и	1-иста|1-истѣ	1-иша	1-й	1-й	1-имъ	1-йте	1-ива|1-ивѣ	1-ита|1-итѣ	1-ити	1-илъ	1-ила	1-ило	1-ила	1-или|1-илѣ	1-или|1-илѣ	1-или	1-илы|1-или	1-ила|1-или	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ|2-ь	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V21s	рѣшити	3	1=base;2=base;5=ext:ащ;6=ext:им;7=ext:ивш;8=ext:ен;9=ext:а;11=ext:ив;12=ext:н:ext:ен	1-ꙋ	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-атъ	-	-	-	-	-	-	-	-	-	1-ахъ	1-ахова|1-аховѣ	1-ахомъ	1-аше	1-аста|1-астѣ	1-асте	1-аше	1-аста|1-астѣ	1-ахꙋ	1-ихъ	1-ихова|1-иховѣ	1-ихомъ	1-и	1-иста|1-истѣ	1-исте	1-и	1-иста|1-истѣ	1-иша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ити	1-илъ	1-ила	1-ило	1-ила	1-или|1-илѣ	1-или|1-илѣ	1-или	1-илы|1-или	1-ила|1-или	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ|2-ь	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V21p	любити	3	1=base;2=iot;5=ext:ѧщ;6=ext:им;7=ext:ивш;8=ext:ен:iot;9=ext:ѧ;11=ext:ив;12=ext:н:ext:ен:iot	2-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	2-ѧхъ	2-ѧхова|2-ѧховѣ	2-ѧхомъ	2-ѧше	2-ѧста|2-ѧстѣ	2-ѧсте	2-ѧше	2-ѧста|2-ѧстѣ	2-ѧхꙋ	1-ихъ	1-ихова|1-иховѣ	1-ихомъ	1-и	1-иста|1-истѣ	1-исте	1-и	1-иста|1-истѣ	1-иша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ити	1-илъ	1-ила	1-ило	1-ила	1-или|1-илѣ	1-или|1-илѣ	1-или	1-илы|1-или	1-ила|1-или	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ|2-ь	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V21t	родити	3	1=base;2=iot;5=ext:ѧщ;6=ext:им;7=ext:ивш;8=ext:ен:iot;9=ext:ѧ;11=ext:ив;12=ext:н:ext:ен:iot	2-ꙋ	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	2-ахъ	2-ахова|2-аховѣ	2-ахомъ	2-аше	2-аста|2-астѣ	2-асте	2-аше	2-аста|2-астѣ	2-ахꙋ	1-ихъ	1-ихова|1-иховѣ	1-ихомъ	1-и	1-иста|1-истѣ	1-исте	1-и	1-иста|1-истѣ	1-иша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ити	1-илъ	1-ила	1-ило	1-ила	1-или|1-илѣ	1-или|1-илѣ	1-или	1-илы|1-или	1-ила|1-или	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ|2-ь	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V22n	велѣти	3	1=base;2=base;5=ext:ѧщ;6=ext:им;7=ext:ѣвш;8=ext:ен;9=ext:ѧ;11=ext:ѣв;12=ext:н:ext:ен	1-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ѣхъ	1-ѣхова|1-ѣховѣ	1-ѣхомъ	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣсте	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ѣти	1-ѣлъ	1-ѣла	1-ѣло	1-ѣла	1-ѣли|1-ѣлѣ	1-ѣли|1-ѣлѣ	1-ѣли	1-ѣлы|1-ѣли	1-ѣла|1-ѣли	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V22p	шумѣти	3	1=base;2=iot;5=ext:ѧщ;6=ext:им;7=ext:ѣвш;8=ext:ен:iot;9=ext:ѧ;11=ext:ѣв;12=ext:н:ext:ен:iot	2-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ѣхъ	1-ѣхова|1-ѣховѣ	1-ѣхомъ	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣсте	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ѣти	1-ѣлъ	1-ѣла	1-ѣло	1-ѣла	1-ѣли|1-ѣлѣ	1-ѣли|1-ѣлѣ	1-ѣли	1-ѣлы|1-ѣли	1-ѣла|1-ѣли	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V22t	видѣти	3	1=base;2=iot;5=ext:ѧщ;6=ext:им;7=ext:ѣвш;8=ext:ен:iot;9=ext:ѧ;11=ext:ѣв;12=ext:н:ext:ен:iot	2-ꙋ	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ѣхъ	1-ѣхова|1-ѣховѣ	1-ѣхомъ	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣсте	1-ѣ	1-ѣста|1-ѣстѣ	1-ѣша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ѣти	1-ѣлъ	1-ѣла	1-ѣло	1-ѣла	1-ѣли|1-ѣлѣ	1-ѣли|1-ѣлѣ	1-ѣли	1-ѣлы|1-ѣли	1-ѣла|1-ѣли	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V22s	слышати	3	1=base;2=base;5=ext:ащ;6=ext:им;7=ext:авш;8=ext:ан;9=ext:а;11=ext:ав;12=ext:н:ext:ан	1-ꙋ	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-атъ	-	-	-	-	-	-	-	-	-	1-ахъ	1-ахова|1-аховѣ	1-ахомъ	1-аше	1-аста|1-астѣ	1-асте	1-аше	1-аста|1-астѣ	1-ахꙋ	1-ахъ	1-ахова|1-аховѣ	1-ахомъ	1-а	1-аста|1-астѣ	1-асте	1-а	1-аста|1-астѣ	1-аша	1-и	1-и	1-имъ	1-ите	1-ива|1-ивѣ	1-ита|1-итѣ	1-ати	1-алъ	1-ала	1-ало	1-ала	1-али|1-алѣ	1-али|1-алѣ	1-али	1-алы|1-али	1-ала|1-али	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
V22a	стояти	3	1=base;2=base;5=ext:ѧщ;6=ext:им;7=ext:ѧвш;8=ext:ѧн;9=ext:ѧ;11=ext:ѧв;12=ext:ѧн	1-ю	1-ива|1-ивѣ	1-имъ	1-иши	1-ита|1-итѣ	1-ите	1-итъ	1-ита|1-итѣ	1-ѧтъ	-	-	-	-	-	-	-	-	-	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧше	1-ѧста|1-ѧстѣ	1-ѧхꙋ	1-ѧхъ	1-ѧхова|1-ѧховѣ	1-ѧхомъ	1-ѧ	1-ѧста|1-ѧстѣ	1-ѧсте	1-ѧ	1-ѧста|1-ѧстѣ	1-ѧша	1-й	1-й	1-имъ	1-йте	1-ива|1-ивѣ	1-ита|1-итѣ	1-ѧти	1-ѧлъ	1-ѧла	1-ѧло	1-ѧла	1-ѧли|1-ѧлѣ	1-ѧли|1-ѧлѣ	1-ѧли	1-ѧлы|1-ѧли	1-ѧла|1-ѧли	5~A1s	9-|5-ъ|5-ь	5~A1s	9-й	6~A1t	6-ъ|6-ь	6~A1t	-	7~A1s	11-ъ	7~A1s	11-ый|7-їй	8~A1t	8-ъ	12~A1t	-	9-|5-е	5-е|9-	5-и	7-и	7-е	-	5-а|@part.pres.act.short.m.sg.nom	5-е|5-и	-	-	-	-	-	7-а|@part.past.act.short.m.sg.nom	7-е|7-и	-	-	-	-	-	9-й|5-ее	-	-	5-аго|@part.pres.act.long.m.sg.nom	7-аго|@part.past.act.long.m.sg.nom	6-аго|@part.pres.pass.long.m.sg.nom	12-аго|@part.past.pass.long.m.sg.nom	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ыхъ^	12-ымъ^	12-ыхъ^	12-ымъ	12-ымъ	8-а|12-а	12-омъ|12-ѣмъ	12-омъ|12-ѣмъ
