id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
авиань.a	авиань	a	-	-	A:-:ь	-	-	-	short.pos.f.sg.gen=авиѣнѧ	U:	tie A:o/a:ь
авимелеховъ.a	авимелеховъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
авраамль.a	авраамль	a	-	-	A:-:ь	a	-	short.pos.m.sg.nom=аврамль;short.pos.m.sg.gen=аврамлѣ;short.pos.m.sg.ins=авраамлемъ;short.pos.f.sg.nom=авраъмьꙗ;short.pos.f.sg.acc=аврамлѭ;short.pos.n.sg.nom=аврамле;short.pos.n.sg.gen=аврамлѣ;short.pos.n.sg.acc=аврамле;short.pos.n.pl.nom=авраамлѣ;short.pos.n.pl.acc=авраамлѣ	-	U:	-
авраамовъ.a	авраамовъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
авьнъ.a	авьнъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
адавовъ.a	адавовъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
адамовъ.a	адамовъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
адовъ.a	адовъ	a	-	-	A:-:ъ	-	-	-	short.pos.f.sg.nom=адовъи;long.pos.f.pl.nom=адовъи	K:A:-:ъ;U:	tie A:-k:ъ
адовьнъ.a	адовьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
адовьскъ.a	адовьскъ	a	-	-	A:-k:ъ	a	-	short.pos.m.sg.loc=адовьсцѣ;short.pos.m.pl.nom=адовьсци;short.pos.m.pl.loc=адовьсцѣхъ;short.pos.m.pl.voc=адовьсци;short.pos.f.sg.dat=адовьсцѣ;short.pos.f.sg.loc=адовьсцѣ;short.pos.f.du.nom=адовьсцѣ;short.pos.f.du.acc=адовьсцѣ;short.pos.f.du.voc=адовьсцѣ;short.pos.n.sg.loc=адовьсцѣ;short.pos.n.du.nom=адовьсцѣ;short.pos.n.du.acc=адовьсцѣ;short.pos.n.du.voc=адовьсцѣ;short.pos.n.pl.loc=адовьсцѣхъ;long.pos.m.sg.loc=адовьсцѣѥмь;long.pos.m.pl.nom=адовьсции;long.pos.m.pl.voc=адовьсции;long.pos.f.sg.dat=адовьсцѣи;long.pos.f.sg.loc=адовьсцѣи;long.pos.f.du.nom=адовьсцѣи;long.pos.f.du.acc=адовьсцѣи;long.pos.f.du.voc=адовьсцѣи;long.pos.n.sg.loc=адовьсцѣѥмь;long.pos.n.du.nom=адовьсцѣи;long.pos.n.du.acc=адовьсцѣи;long.pos.n.du.voc=адовьсцѣи	long.pos.n.sg.acc=адовъскоѥ;long.pos.n.pl.acc=адовъскаꙗ	K:A:-k:ъ;U:	tie A:-:ъ
адъдиѥвъ.a	адъдиѥвъ	a	-	-	A:-:ъ	-	-	short.pos.m.sg.nom=адъдиевъ	-	U:	-
