id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
абеселоумъ.n	абеселоумъ	n	-	-	u:ъ:-	a	-	nom.sg=авесалом;gen.sg=беселоума	-	U:	-
аблань.n	аблань	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
аблъко.n	аблъко	n	-	-	ok:о:-	-	-	-	-	K:ok:о:-	-
авазгъ.n	авазгъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
авгостъ.n	авгостъ	n	-	-	o:ъ:-	a	-	gen.sg=авъгоуста	-	U:	-
авелъ.n	авелъ	n	-	-	o:ъ:-	a	-	nom.sg=авель	nom.sg=авьлъ	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
авиатаръ.n	авиатаръ	n	-	-	o:ъ:-	a	-	loc.sg=авиатари	loc.sg=ѣвиавиафарѣ	U:	-
авивъ.n	авивъ	n	-	-	o:ъ:-	a	-	nom.sg=авивос	-	U:	-
авилиниꙗ.n	авилиниꙗ	n	-	-	a:ꙗ:-	-	-	-	-	U:	tie a:а:m
авимелехъ.n	авимелехъ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
авлѥниѥ.n	авлѥниѥ	n	-	-	o:ѥ:-	a	-	nom.sg=ꙗвьѥниѥ;gen.sg=авлениѣ;acc.sg=авление;ins.sg=авлениѥмъ	gen.sg=явьения|ꙗвьѥньꙗ;acc.sg=ꙗвьѥниѥ;ins.sg=ꙗвьѥниимъ	U:	-
авраамъ.n	авраамъ	n	-	-	o:ъ:-	-	-	-	nom.sg=аврамъ;gen.sg=аврама;dat.sg=аврамоу;ins.sg=авраамомь	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
авѣ.n	авѣ	n	-	-	a:0:-	a	-	acc.sg=авѣ	-	U:	-
агарѣне.n	агарѣне	n	-	-	o:е:-	a	-	nom.pl=агарѣнѣ	-	U:	-
агарѣнинъ.n	агарѣнинъ	n	-	-	o:ъ:-	a	-	nom.pl=агарѣне;gen.pl=агарѣнъ;dat.pl=агарѣньмъ;acc.pl=агарѣнꙑ;ins.sg=агарѣниномь;ins.pl=агарѣнꙑ;loc.pl=агарѣньхъ;voc.pl=агарѣне	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
агньць.n	агньць	n	-	-	o:ь:-	a	-	voc.sg=агньче	dat.sg=агньцеви;acc.sg=агньца;nom.sg=агнецъ|агньцъ	K:o:ь:-;U:	-
агнѧ.n	агнѧ	n	-	-	nt:ѧ:-	-	-	-	acc.sg=агнꙙ	K:nt:ѧ:-;U:	-
агода.n	агода	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
адамъ.n	адамъ	n	-	-	o:ъ:-	a	-	acc.sg=адам	dat.sg=адамови	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
адъ.n	адъ	n	-	-	o:ъ:-	a	-	dat.sg=адови	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
аеръ.n	аеръ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
азариꙗ.n	азариꙗ	n	-	-	a:ꙗ:-	-	-	-	-	U:	-
аице.n	аице	n	-	-	o:е:-	-	-	-	-	K:o:е:-	tie s:е:-,o:е:n
акридъ.n	акридъ	n	-	-	o:ъ:-	-	-	-	dat.sg=акридови;acc.sg=акрида	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
акридь.n	акридь	n	-	-	o:ь:-	-	-	-	-	U:	tie i:ь:-,o:ь:f,o:ь:m,i:и:-,i:ъ:-
акротомъ.n	акротомъ	n	-	-	o:ъ:-	-	-	-	acc.sg=акротомь	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
акѵла.n	акѵла	n	-	-	a:а:-	a	-	nom.sg=акоула	-	U:	-
алавастръ.n	алавастръ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m,u:ъ:-,uk:ъ:-
аламоундарь.n	аламоундарь	n	-	-	o:ь:m	-	-	-	-	U:	tie i:ь:-,i:ь:m,n:ь:-,o:ь:-,o:ь:f,i:и:-,i:ъ:-
алеѯандриꙗ.n	алеѯандриꙗ	n	-	-	a:а:m	a	-	loc.sg=алеѯанъдрии	-	U:	-
алеѯандръ.n	алеѯандръ	n	-	-	o:ъ:-	a	-	ins.sg=алеѯанъдромъ	nom.sg=алеѯанъдръ|алеѯандрь;dat.sg=а|алеѯанъдроу;voc.sg=алеѯанъдре	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
алпъ.n	алпъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
алъдии.n	алъдии	n	-	-	a:и:-	-	-	-	nom.pl=ладиѩ;acc.sg=ладиѭ;loc.sg=ладии|алдии|алъдꙑ	K:a:и:-;U:	tie a:и:m
алъдьи.n	алъдьи	n	-	-	a:и:-	-	-	-	-	K:a:и:-	tie a:и:m
алъканиѥ.n	алъканиѥ	n	-	-	o:ѥ:-	a	-	gen.sg=алканиꙗ;gen.pl=алкании;loc.sg=алкании	-	U:	-
алънии.n	алънии	n	-	-	a:и:-	-	-	-	-	K:a:и:-	tie a:и:m
алъньи.n	алъньи	n	-	-	a:и:-	-	-	-	-	K:a:и:-	tie a:и:m
алъчьба.n	алъчьба	n	-	-	a:а:-	-	-	-	gen.sg=алчъбꙑ;acc.sg=алчьбѫ;ins.sg=алчъбоѭ|алчьбоѭ|алъчъбоѭ;ins.pl=алчъбами	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
амаликъ.n	амаликъ	n	-	-	ok:ъ:m	-	-	-	-	U:	tie o:ъ:-,o:ъ:m,ok:ъ:-,u:ъ:-,uk:ъ:-
амбакоумъ.n	амбакоумъ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
амбонъ.n	амбонъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
амемꙋрмнии.n	амемоурмнии	n	-	-	a:и:-	-	-	-	nom.sg=аменоуръмнии;dat.sg=амемоурмниноу	K:a:и:-;U:	tie a:и:m
