id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
а.x.2	а҆	x	-	-	conj	-	-	-	-	P:-	conj
абіе.x.2	а҆́бїе	x	-	-	adv	a	-	-	-	P:-	adv
аки.x.2	а҆́ки	x	-	-	conj	a	-	-	-	P:-	conj
акибы.x.2	а҆́кибы	x	-	-	conj	a	-	-	-	P:-	conj
аминь.x.2	а҆ми́нь	x	-	-	pred	a	-	-	-	P:N1j	pred
аможе.x.2	а҆́може	x	-	-	advpro	a	-	-	-	P:-	advpro
ангеловиднѣ.x.2	а҆нгелови́днѣ	x	-	-	adv	a	-	-	-	P:-	adv
ангелолѣпнѡ.x.2	а҆нгелолѣ́пнѡ	x	-	-	adv	a	-	-	-	P:-	adv
ангелоподражательнѣ.x.2	а҆нгелоподража́тельнѣ	x	-	-	adv	a	-	-	-	P:-	adv
ангельски.x.2	а҆́нгельски	x	-	-	adv	a	-	-	-	P:-	adv
архіпастырски.x.2	а҆рхіпа́стырски	x	-	-	adv	a	-	-	-	P:-	adv
аще.x.2	а҆́ще	x	-	-	conj	a	-	-	word=а҆щѐ	P:-	conj
безболѣзненнѡ.x.2	безболѣ́зненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безбоѧзненнѡ.x.2	безбоѧ́зненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безбоѧзненнѣ.x.2	безбоѧ́зненнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безбѣдственнѡ.x.2	безбѣ́дственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безвещественнѡ.x.2	безвеще́ственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безволненнѡ.x.2	безво́лненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безволненнѣ.x.2	безво́лненнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безжалобнѡ.x.2	безжа́лобнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безжалостнѡ.x.2	безжа́лостнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безконечнократнѣ.x.2	безконечнокра́тнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безмечтаннѡ.x.2	безмечта́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпамѧтнѡ.x.2	безпа́мѧтнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпамѧтнѣ.x.2	безпа́мѧтнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безпогрѣшнѡ.x.2	безпогрѣ́шнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпогрѣшнѣ.x.2	безпогрѣ́шнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безпощаднѡ.x.2	безпоща́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпрекословнѡ.x.2	безпрекосло́внѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпрепоннѡ.x.2	безпрепо́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпрепѧтнѡ.x.2	безпрепѧ́тнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпрепѧтственнѡ.x.2	безпрепѧ́тственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпрестаннѡ.x.2	безпреста́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпреткновеннѡ.x.2	безпреткнове́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
безпреткновеннѣ.x.2	безпреткнове́ннѣ	x	-	-	adv	a	-	-	-	P:-	adv
безсмысленнѣ.x.2	безсмы́сленнѣ	x	-	-	adv	a	-	-	-	P:-	adv
безсомнительнѡ.x.2	безсомни́тельнѡ	x	-	-	adv	a	-	-	-	P:-	adv
безсосꙋжденнѡ.x.2	безсосꙋжде́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
безсребреннѡ.x.2	безсре́бреннѡ	x	-	-	adv	a	-	-	-	P:-	adv
