id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
азъ.pron	а҆́зъ	pron	-	-	PPja	b	1=мен;2=мн;3=м	-	1.sg.gen=менѐ	A:§47;P:PNja;A:p047	personal
вашъ.pron	ва́шъ	pron	m	-	PA1s	a	-	-	m.pl.dat=ва́шимъ;m.pl.acc=ва́шы;f.pl.nom=ва́шы;f.pl.dat=ва́шимъ;f.pl.acc=ва́шы;f.pl.voc=ва́шы;n.pl.dat=ва́шимъ	A:§48;P:PA2s	-
весь.pron	ве́сь	pron	m	-	PA1j*	a{m.sg.gen=1;m.sg.dat=1;f.sg.gen=1;n.sg.gen=1;n.sg.dat=1}	-	m.sg.ins=всѣ́мъ;m.du.gen=всѣ́ю;m.du.loc=всѣ́ю;m.pl.acc=всѧ̑;f.du.nom=всѧ̑;f.du.gen=всѣ́ю;f.du.acc=всѧ̑;f.du.loc=всѣ́ю;f.du.voc=всѧ̑;f.pl.nom=всѧ̑;f.pl.acc=всѧ̑;f.pl.voc=всѧ̑;n.sg.ins=всѣ́мъ;n.du.nom=всѧ̑;n.du.gen=всѣ́ю;n.du.acc=всѧ̑;n.du.loc=всѣ́ю;n.du.voc=всѧ̑	m.sg.dat=всемꙋ;m.sg.acc=всего̀;m.pl.nom=всѣ̀;m.pl.ins=всѣми;m.pl.voc=всѣ̀;f.sg.gen=всеѧ;f.pl.ins=всѣми;n.sg.dat=всемꙋ;n.pl.ins=всѣми	A:§48;P:PA2j*	-
всѧкъ.pron	всѧ́къ	pron	m	-	PA1n	a	-	m.sg.gen=всѧ́ка;m.sg.acc=всѧ́ка;m.sg.ins=всѧ́цемъ;m.sg.loc=всѧ́цѣмъ;m.du.gen=всѧ́кою;m.du.dat=всѧ́цѣма;m.du.ins=всѧ́цѣма;m.du.loc=всѧ́кою;m.pl.nom=всѧ́цы;m.pl.gen=всѧ́цѣхъ;m.pl.dat=всѧ̑цѣмъ;m.pl.acc=всѧ̑кы;m.pl.ins=всѧ́цѣми;m.pl.loc=всѧ́цѣхъ;m.pl.voc=всѧ́цы;f.du.nom=всѧ́цѣ;f.du.gen=всѧ́кою;f.du.dat=всѧ́цѣма;f.du.acc=всѧ́цѣ;f.du.ins=всѧ́цѣма;f.du.loc=всѧ́кою;f.du.voc=всѧ́цѣ;f.pl.nom=всѧ̑кы;f.pl.gen=всѧ́цѣхъ;f.pl.dat=всѧ̑цѣмъ;f.pl.acc=всѧ̑кы;f.pl.ins=всѧ́цѣми;f.pl.loc=всѧ́цѣхъ;f.pl.voc=всѧ̑кы;n.sg.gen=всѧ́ка;n.sg.ins=всѧ́цемъ;n.sg.loc=всѧ́цѣмъ;n.du.nom=всѧ́цѣ;n.du.gen=всѧ́кою;n.du.dat=всѧ́цѣма;n.du.acc=всѧ́цѣ;n.du.ins=всѧ́цѣма;n.du.loc=всѧ́кою;n.du.voc=всѧ́цѣ;n.pl.gen=всѧ́цѣхъ;n.pl.dat=всѧ̑цѣмъ;n.pl.ins=всѧ́цѣми;n.pl.loc=всѧ́цѣхъ	m.sg.dat=всѧ́кꙋ;m.sg.ins=всѧ́цѣмъ;m.sg.loc=всѧ́цемъ;n.sg.dat=всѧ́кꙋ;n.sg.ins=всѧ́цѣмъ;n.sg.loc=всѧ́цемъ	A:§48;P:PA1k	-
всѧческъ.pron	всѧ́ческъ	pron	m	-	PA1s	a	-	m.pl.dat=всѧ́чєскимъ;f.sg.nom=всѧ́чески;f.sg.voc=всѧ́чески;f.pl.dat=всѧ́чєскимъ;n.pl.dat=всѧ́чєскимъ	m.pl.gen=всѧ́чєскихъ;m.pl.loc=всѧ́чєскихъ;f.pl.gen=всѧ́чєскихъ;f.pl.loc=всѧ́чєскихъ;n.pl.gen=всѧ́чєскихъ;n.pl.loc=всѧ́чєскихъ	A:§48	-
вы.pron	вы̀	pron	-	-	PPvy	a	1=в	2.du.gen=ва́ю;2.pl.gen=ва́съ;clit.2.du.acc=вы̀	-	A:§47;P:PNmy	personal
единъ.pron	є҆ди́нъ	pron	m	-	PA1n	a	-	m.du.gen=є҆ди́ною;m.du.loc=є҆ди́ною;m.pl.dat=є҆ди̑нѣмъ;m.pl.acc=є҆ди̑ны;f.du.gen=є҆ди́ною;f.du.loc=є҆ди́ною;f.pl.nom=є҆ди̑ны;f.pl.dat=є҆ди̑нѣмъ;f.pl.acc=є҆ди̑ны;f.pl.voc=є҆ди̑ны;n.du.gen=є҆ди́ною;n.du.loc=є҆ди́ною;n.pl.dat=є҆ди̑нѣмъ	m.sg.dat=є҆ди́нномꙋ;n.sg.dat=є҆ди́нномꙋ	A:§48;P:PA1	-
еликъ.pron	є҆ли́къ	pron	m	-	PA1n	a	-	m.sg.gen=є҆ли́ка;m.sg.dat=є҆ли́кꙋ;m.sg.ins=є҆ли́цѣмъ;m.sg.loc=є҆ли́цѣмъ;m.du.gen=є҆ли́кою;m.du.dat=є҆ли́цѣма;m.du.ins=є҆ли́цѣма;m.du.loc=є҆ли́кою;m.pl.nom=є҆ли́цы;m.pl.gen=є҆ли́цѣхъ;m.pl.dat=є҆ли̑цѣмъ;m.pl.acc=є҆ли́ки;m.pl.ins=є҆ли́цѣми;m.pl.loc=є҆ли́цѣхъ;m.pl.voc=є҆ли́цы;f.du.nom=є҆ли́цѣ;f.du.gen=є҆ли́кою;f.du.dat=є҆ли́цѣма;f.du.acc=є҆ли́цѣ;f.du.ins=є҆ли́цѣма;f.du.loc=є҆ли́кою;f.du.voc=є҆ли́цѣ;f.pl.nom=є҆ли́ки;f.pl.gen=є҆ли́цѣхъ;f.pl.dat=є҆ли̑цѣмъ;f.pl.acc=є҆ли́ки;f.pl.ins=є҆ли́цѣми;f.pl.loc=є҆ли́цѣхъ;f.pl.voc=є҆ли́ки;n.sg.gen=є҆ли́ка;n.sg.dat=є҆ли́кꙋ;n.sg.ins=є҆ли́цѣмъ;n.sg.loc=є҆ли́цѣмъ;n.du.nom=є҆ли́цѣ;n.du.gen=є҆ли́кою;n.du.dat=є҆ли́цѣма;n.du.acc=є҆ли́цѣ;n.du.ins=є҆ли́цѣма;n.du.loc=є҆ли́кою;n.du.voc=є҆ли́цѣ;n.pl.gen=є҆ли́цѣхъ;n.pl.dat=є҆ли̑цѣмъ;n.pl.ins=є҆ли́цѣми;n.pl.loc=є҆ли́цѣхъ	m.sg.acc=є҆ли́ка;f.pl.nom=є҆ли̑ки;f.pl.acc=є҆ли̑ки;f.pl.voc=є҆ли̑ки	A:§48;P:PA1k	-
иже.pron	и҆́же	pron	m	-	PPize	a{m.sg.gen=1;m.sg.dat=1;m.sg.acc=1;f.sg.gen=1;n.sg.dat=1}	encl=же	m.du.nom=ꙗ҆̀же;m.du.gen=є҆́юже;m.du.acc=ꙗ҆̀же;m.du.loc=є҆́юже;m.du.voc=ꙗ҆̀же;m.pl.nom=и҆̀же;m.pl.dat=и҆̀мже;m.pl.acc=ꙗ҆̀же;m.pl.voc=и҆̀же;f.sg.dat=не́йже;f.du.nom=и҆̀же;f.du.gen=є҆́юже;f.du.loc=є҆́юже;f.du.voc=и҆̀же;f.pl.nom=ꙗ҆̀же;f.pl.dat=и҆̀мже;f.pl.acc=ꙗ҆̀же;f.pl.voc=ꙗ҆̀же;n.sg.gen=є҆́же;n.du.nom=и҆̀же;n.du.gen=є҆́юже;n.du.loc=є҆́юже;n.du.voc=и҆̀же;n.pl.nom=є҆́же;n.pl.dat=ни̑мже;n.pl.acc=ꙗ҆̀же;n.pl.voc=є҆́же	m.sg.acc=и҆же;m.pl.acc=нѧ̑же|и҆́хъже|ꙗ҆же;f.pl.nom=нѧ̑же|ꙗ҆же|нѧ́же|и҆́хъже;f.pl.acc=нѧ̑же|и҆́хъже|ꙗ҆же;f.pl.voc=нѧ̑же|ꙗ҆же|нѧ́же|и҆́хъже;n.sg.gen=є҆жѐ	A:§48;P:PA2i	-
инаковъ.pron	и҆́наковъ	pron	m	-	PA1	a	-	-	-	A:§48	-
