source_row	lemma	class	class_four_basic_stem
1	досѧгнѫти	5	-
3	съпрѧщи	4c	съпрѧг
4	ꙗвл҄ꙗти	7	-
6	ꙗвити	1	-
14	ꙗзвл҄ꙗти	7	-
17	ꙗзвити	1	-
22	ꙗрити	1	-
57	л҄юбити	1	-
81	авл҄ꙗти	7	-
83	авити	1	-
90	алъкати	3	-
97	бл҄юсти	4c	бл҄уд
100	багърити	1	-
112	безаконьновати	6	-
148	безоковати	6	-
196	бесѣдовати	6	-
200	бечьствовати	6	-
217	блажити	1	-
220	блазнити	1	-
229	блискати	7	-
232	блистати	7	-
235	блѫдити	1	-
243	бльщати	2	-
245	блѣдѣти	7	-
249	блѧсти	4c	блѧд
251	боꙗти	2	-
255	богатити	1	-
259	богатѣти	7	-
270	болѣти	2	-
273	бости	4c	бод
276	брадѣти	7	-
279	бранити	1	-
320	бъдѣти	2	-
322	бывати	7	-
329	бѣгати	7	-
331	бѣдити	1	-
334	бѣжати	2	-
335	бѣлити	1	-
338	бѣсити	1	-
343	бѣсьновати	6	-
347	вал҄ꙗти	7	-
348	вар҄ꙗти	7	-
349	вабити	1	-
350	вадити	1	-
351	валити	1	-
353	варити	1	-
354	варити	1	-
363	величати	7	-
365	величити	1	-
371	велѣти	2	-
376	веселити	1	-
381	вести	4c	вед
382	вести	4c	вез
384	ветъшати	7	-
387	вечер҄ꙗти	7	-
394	видовати	6	-
410	висѣти	2	-
411	витати	7	-
421	власти	4c	влад
425	влачити	1	-
426	влъснѫти	5	-
435	вльн҄ꙗти	7	-
440	вльнити	1	-
444	воѥвати	6	-
448	вон҄ꙗти	7	-
450	водити	1	-
456	волити	1	-
467	вражьдовати	6	-
468	въкоренити	1	-
470	въкусити	1	-
472	въкушати	7	-
474	въкыснѫти	5	-
475	въкысѣти	7	-
476	вълати	7	-
478	вълагати	7	-
479	вълазити	1	-
481	вълежати	2	-
483	въливати	7	-
488	въложити	1	-
489	въльстити	1	-
490	вълѣсти	4c	вълѣз
492	въмѣнити	1	-
493	въмѣстити	1	-
494	въмѣтати	7	-
495	въмѣщати	7	-
498	вънести	4c	вънес
499	вънимати	7	-
503	вънозити	1	-
504	въносити	1	-
505	вънушити	1	-
506	въньзнѫти	5	-
515	вратити	1	-
520	врачевати	6	-
534	врьтѣти	2	-
537	врѣждати	7	-
539	врѣдити	1	-
547	въжделати	7	-
548	въжделѣти	7	-
549	въждѧдати	3	-
550	въбѣгати	7	-
551	въбѣгнѫти	5	-
553	въвести	4c	въвед
555	въводити	1	-
558	въвѣꙗти	3	-
559	въвѣрити	1	-
560	въвѣсити	1	-
562	въгаждати	7	-
564	въглѫбити	1	-
565	въгнѣждати	7	-
566	въгнѣздити	1	-
567	въгодити	1	-
570	въдаꙗти	3	-
572	въдвар҄ꙗти	7	-
573	въдворити	1	-
574	въдрѫжати	7	-
575	въдрѫжити	1	-
576	въдунѫти	5	-
577	въдъхнѫти	5	-
579	въжагати	7	-
581	въжиѕати	7	-
584	възл҄юбити	1	-
585	възавидѣти	2	-
587	възаконити	1	-
588	възалъкати	3	-
