key	lexeme_id	source_spellings
аарѡ́нъ	аарѡ́нъ|noun|efe05eb353604eb1	canonical:"Аарѡ́нъ" || source-canonical:"Аарѡ́нъ"
аарѡнъ	аарѡ́нъ|noun|efe05eb353604eb1	page:"Аарѡнъ"
аблань	аблань|noun|c6041ad73a304b13	canonical:"аблань" || page:"аблань"
аблъко	аблъко|noun|157d0b4cd6a712f2	canonical:"аблъко" || page:"аблъко"
авазгъ	авазгъ|noun|7fbb7482edaf3067	canonical:"авазгъ" || page:"авазгъ"
авити	авити|verb|8003baa455c6b112	canonical:"авити" || page:"авити"
авоу́ндии	авоу́ндии|noun|a696b5a27ebf1e71	canonical:"Авоу́ндии"
авоундии	авоу́ндии|noun|a696b5a27ebf1e71	page:"Авоундии"
автоно́мъ	автоно́мъ|noun|db89826d6f6ab492	canonical:"Автоно́мъ"
автономъ	автоно́мъ|noun|db89826d6f6ab492	page:"Автономъ"
авьнъ	авьнъ|adj|2a25d673ea077283	canonical:"авьнъ" || page:"авьнъ"
ага́въ	ага́въ|noun|ec7677b5fd1e89f2	canonical:"Ага́въ"
ага́пии	ага́пии|noun|1444a01b567456f6	canonical:"Ага́пии"
ага́пиꙗ	ага́пиꙗ|noun|2306112e3140161c	canonical:"Ага́пиꙗ" || source-canonical:"Ага́пиꙗ"
агавъ	ага́въ|noun|ec7677b5fd1e89f2	page:"Агавъ"
агапи́тъ	агапи́тъ|noun|467822b485c01afb	canonical:"Агапи́тъ" || source-canonical:"Агапи́тъ"
агапии	ага́пии|noun|1444a01b567456f6	page:"Агапии"
агапитъ	агапи́тъ|noun|467822b485c01afb	page:"Агапитъ"
агапиѡ́нъ	агапиѡ́нъ|noun|6fd3d345569e8c54	canonical:"Агапиѡ́нъ" || source-canonical:"Агапиѡ́нъ"
агапиѡнъ	агапиѡ́нъ|noun|6fd3d345569e8c54	page:"Агапиѡнъ"
агапиꙗ	ага́пиꙗ|noun|2306112e3140161c	page:"Агапиꙗ"
агарѣнинъ	агарѣнинъ|noun|e22ab80773881cd9	canonical:"агарѣнинъ" || page:"агарѣнинъ"
агаѳа́нгелъ	агаѳа́нгелъ|noun|c7959468ba6ba5a1	canonical:"Агаѳа́нгелъ" || source-canonical:"Агаѳа́нгелъ"
агаѳангелъ	агаѳа́нгелъ|noun|c7959468ba6ba5a1	page:"Агаѳангелъ"
агаѳо́никъ	агаѳо́никъ|noun|55d7c0d404707ace	canonical:"Агаѳо́никъ" || source-canonical:"Агаѳо́никъ"
агаѳоникъ	агаѳо́никъ|noun|55d7c0d404707ace	page:"Агаѳоникъ"
агг҄елъ	анг҄елъ|noun|29fb628af75990d6	alternative:"агг҄елъ"
агньць	агньць|noun|2c37c8984ac3639b	canonical:"агньць" || page:"агньць"
агнѧ	агнѧ|noun|758e6c369b09c405	canonical:"агнѧ" || page:"агнѧ"
агода	агода|noun|80d81badb8567770	canonical:"агода" || page:"агода"
агри́кола	агри́кола|noun|c52ebd5f19530af4	canonical:"Агри́кола" || source-canonical:"Агри́кола"
агрикола	агри́кола|noun|c52ebd5f19530af4	page:"Агрикола"
