lexeme_id	feature	rank	form	romanization	source_spelling	source_tags
аарѡ́нъ|noun|efe05eb353604eb1	noun:acc:du	0	Аарѡ́на	Aaróna	Аарѡ́на	accusative,dual
аарѡ́нъ|noun|efe05eb353604eb1	noun:acc:pl	0	Аарѡ́нꙑ	Aaróny	Аарѡ́нꙑ	accusative,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:acc:sg	0	Аарѡ́нъ	Aarónŭ	Аарѡ́нъ	accusative,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:dat:du	0	Аарѡ́нома	Aarónoma	Аарѡ́нома	dative,dual
аарѡ́нъ|noun|efe05eb353604eb1	noun:dat:pl	0	Аарѡ́номъ	Aarónomŭ	Аарѡ́номъ	dative,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:dat:sg	0	Аарѡ́ноу	Aarónu	Аарѡ́ноу	dative,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:gen:du	0	Аарѡ́ноу	Aarónu	Аарѡ́ноу	dual,genitive
аарѡ́нъ|noun|efe05eb353604eb1	noun:gen:pl	0	Аарѡ́нъ	Aarónŭ	Аарѡ́нъ	genitive,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:gen:sg	0	Аарѡ́на	Aaróna	Аарѡ́на	genitive,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:ins:du	0	Аарѡ́нома	Aarónoma	Аарѡ́нома	dual,instrumental
аарѡ́нъ|noun|efe05eb353604eb1	noun:ins:pl	0	Аарѡ́нꙑ	Aaróny	Аарѡ́нꙑ	instrumental,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:ins:sg	0	Аарѡ́номъ	Aarónomŭ	Аарѡ́номъ	instrumental,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:loc:du	0	Аарѡ́ноу	Aarónu	Аарѡ́ноу	dual,locative
аарѡ́нъ|noun|efe05eb353604eb1	noun:loc:pl	0	Аарѡ́нѣхъ	Aaróněxŭ	Аарѡ́нѣхъ	locative,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:loc:sg	0	Аарѡ́нѣ	Aaróně	Аарѡ́нѣ	locative,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:nom:du	0	Аарѡ́на	Aaróna	Аарѡ́на	dual,nominative
аарѡ́нъ|noun|efe05eb353604eb1	noun:nom:pl	0	Аарѡ́ни	Aaróni	Аарѡ́ни	nominative,plural
аарѡ́нъ|noun|efe05eb353604eb1	noun:nom:sg	0	Аарѡ́нъ	Aarónŭ	Аарѡ́нъ	nominative,singular
аарѡ́нъ|noun|efe05eb353604eb1	noun:voc:du	0	Аарѡ́на	Aaróna	Аарѡ́на	dual,vocative
аарѡ́нъ|noun|efe05eb353604eb1	noun:voc:pl	0	Аарѡ́ни	Aaróni	Аарѡ́ни	plural,vocative
аарѡ́нъ|noun|efe05eb353604eb1	noun:voc:sg	0	Аарѡ́не	Aaróne	Аарѡ́не	singular,vocative
аблань|noun|c6041ad73a304b13	noun:acc:du	0	аблани	ablani	аблани	accusative,dual
аблань|noun|c6041ad73a304b13	noun:acc:pl	0	аблани	ablani	аблани	accusative,plural
аблань|noun|c6041ad73a304b13	noun:acc:sg	0	аблань	ablanĭ	аблань	accusative,singular
аблань|noun|c6041ad73a304b13	noun:dat:du	0	абланьма	ablanĭma	абланьма	dative,dual
аблань|noun|c6041ad73a304b13	noun:dat:pl	0	абланьмъ	ablanĭmŭ	абланьмъ	dative,plural
аблань|noun|c6041ad73a304b13	noun:dat:sg	0	аблани	ablani	аблани	dative,singular
аблань|noun|c6041ad73a304b13	noun:gen:du	0	абланью	ablanĭju	абланью	dual,genitive
аблань|noun|c6041ad73a304b13	noun:gen:du	1	абланию	ablaniju	абланию	dual,genitive
аблань|noun|c6041ad73a304b13	noun:gen:pl	0	абланьи	ablanĭi	абланьи	genitive,plural
аблань|noun|c6041ad73a304b13	noun:gen:pl	1	аблании	ablanii	аблании	genitive,plural
аблань|noun|c6041ad73a304b13	noun:gen:sg	0	аблани	ablani	аблани	genitive,singular
аблань|noun|c6041ad73a304b13	noun:ins:du	0	абланьма	ablanĭma	абланьма	dual,instrumental
аблань|noun|c6041ad73a304b13	noun:ins:pl	0	абланьми	ablanĭmi	абланьми	instrumental,plural
аблань|noun|c6041ad73a304b13	noun:ins:sg	0	абланьѭ	ablanĭjǫ	абланьѭ	instrumental,singular
аблань|noun|c6041ad73a304b13	noun:ins:sg	1	абланиѭ	ablanijǫ	абланиѭ	instrumental,singular
аблань|noun|c6041ad73a304b13	noun:loc:du	0	абланью	ablanĭju	абланью	dual,locative
аблань|noun|c6041ad73a304b13	noun:loc:du	1	абланию	ablaniju	абланию	dual,locative
аблань|noun|c6041ad73a304b13	noun:loc:pl	0	абланьхъ	ablanĭxŭ	абланьхъ	locative,plural
аблань|noun|c6041ad73a304b13	noun:loc:sg	0	аблани	ablani	аблани	locative,singular
аблань|noun|c6041ad73a304b13	noun:nom:du	0	аблани	ablani	аблани	dual,nominative
аблань|noun|c6041ad73a304b13	noun:nom:pl	0	аблани	ablani	аблани	nominative,plural
аблань|noun|c6041ad73a304b13	noun:nom:sg	0	аблань	ablanĭ	аблань	nominative,singular
аблань|noun|c6041ad73a304b13	noun:voc:du	0	аблани	ablani	аблани	dual,vocative
аблань|noun|c6041ad73a304b13	noun:voc:pl	0	абланьѥ	ablanĭje	абланьѥ	plural,vocative
аблань|noun|c6041ad73a304b13	noun:voc:pl	1	абланиѥ	ablanije	абланиѥ	plural,vocative
аблань|noun|c6041ad73a304b13	noun:voc:sg	0	аблани	ablani	аблани	singular,vocative
аблъко|noun|157d0b4cd6a712f2	noun:acc:du	0	аблъцѣ	ablŭcě	аблъцѣ	accusative,dual
аблъко|noun|157d0b4cd6a712f2	noun:acc:pl	0	аблъка	ablŭka	аблъка	accusative,plural
аблъко|noun|157d0b4cd6a712f2	noun:acc:sg	0	аблъко	ablŭko	аблъко	accusative,singular
аблъко|noun|157d0b4cd6a712f2	noun:dat:du	0	аблъкома	ablŭkoma	аблъкома	dative,dual
аблъко|noun|157d0b4cd6a712f2	noun:dat:pl	0	аблъкомъ	ablŭkomŭ	аблъкомъ	dative,plural
аблъко|noun|157d0b4cd6a712f2	noun:dat:sg	0	аблъкоу	ablŭku	аблъкоу	dative,singular
аблъко|noun|157d0b4cd6a712f2	noun:gen:du	0	аблъкоу	ablŭku	аблъкоу	dual,genitive
аблъко|noun|157d0b4cd6a712f2	noun:gen:pl	0	аблъкъ	ablŭkŭ	аблъкъ	genitive,plural
аблъко|noun|157d0b4cd6a712f2	noun:gen:sg	0	аблъка	ablŭka	аблъка	genitive,singular
аблъко|noun|157d0b4cd6a712f2	noun:ins:du	0	аблъкома	ablŭkoma	аблъкома	dual,instrumental
аблъко|noun|157d0b4cd6a712f2	noun:ins:pl	0	аблъкꙑ	ablŭky	аблъкꙑ	instrumental,plural
аблъко|noun|157d0b4cd6a712f2	noun:ins:sg	0	аблъкомъ	ablŭkomŭ	аблъкомъ	instrumental,singular
аблъко|noun|157d0b4cd6a712f2	noun:loc:du	0	аблъкоу	ablŭku	аблъкоу	dual,locative
