id	lemma	page_word	key	pos	class	raw_class	gender	animacy	number_restriction	head_templates	signature
аарѡ́нъ|noun|efe05eb353604eb1	Аарѡ́нъ	Аарѡнъ	аарѡ́нъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Аарѡ́нъ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Аарѡ́нъ"}}]	efe05eb353604eb1
аблань|noun|c6041ad73a304b13	аблань	аблань	аблань	noun	i-f	i-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	c6041ad73a304b13
аблъко|noun|157d0b4cd6a712f2	аблъко	аблъко	аблъко	noun	o-n-hard	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	157d0b4cd6a712f2
авазгъ|noun|7fbb7482edaf3067	авазгъ	авазгъ	авазгъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	7fbb7482edaf3067
авити|verb|8003baa455c6b112	авити	авити	авити	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"pf"}}]	8003baa455c6b112
авоу́ндии|noun|a696b5a27ebf1e71	Авоу́ндии	Авоундии	авоу́ндии	noun	raw:a-stem	a-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m"}}]	a696b5a27ebf1e71
автоно́мъ|noun|db89826d6f6ab492	Автоно́мъ	Автономъ	автоно́мъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m"}}]	db89826d6f6ab492
авьнъ|adj|2a25d673ea077283	авьнъ	авьнъ	авьнъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	2a25d673ea077283
ага́въ|noun|ec7677b5fd1e89f2	Ага́въ	Агавъ	ага́въ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m"}}]	ec7677b5fd1e89f2
ага́пии|noun|1444a01b567456f6	Ага́пии	Агапии	ага́пии	noun	raw:a-stem	a-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m"}}]	1444a01b567456f6
ага́пиꙗ|noun|2306112e3140161c	Ага́пиꙗ	Агапиꙗ	ага́пиꙗ	noun	ja-soft	a-stem	f			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"f","g2":"","g3":"","head":"Ага́пиꙗ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"f","head":"Ага́пиꙗ"}}]	2306112e3140161c
агапи́тъ|noun|467822b485c01afb	Агапи́тъ	Агапитъ	агапи́тъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Агапи́тъ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Агапи́тъ"}}]	467822b485c01afb
агапиѡ́нъ|noun|6fd3d345569e8c54	Агапиѡ́нъ	Агапиѡнъ	агапиѡ́нъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Агапиѡ́нъ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Агапиѡ́нъ"}}]	6fd3d345569e8c54
агарѣнинъ|noun|e22ab80773881cd9	агарѣнинъ	агарѣнинъ	агарѣнинъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	e22ab80773881cd9
агаѳа́нгелъ|noun|c7959468ba6ba5a1	Агаѳа́нгелъ	Агаѳангелъ	агаѳа́нгелъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Агаѳа́нгелъ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Агаѳа́нгелъ"}}]	c7959468ba6ba5a1
агаѳо́никъ|noun|55d7c0d404707ace	Агаѳо́никъ	Агаѳоникъ	агаѳо́никъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Агаѳо́никъ","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Агаѳо́никъ"}}]	55d7c0d404707ace
агньць|noun|2c37c8984ac3639b	агньць	агньць	агньць	noun	jo-m-soft	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	2c37c8984ac3639b
агнѧ|noun|758e6c369b09c405	агнѧ	агнѧ	агнѧ	noun	nt-n	nt-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	758e6c369b09c405
агода|noun|80d81badb8567770	агода	агода	агода	noun	a-hard	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f"}}]	80d81badb8567770
агри́кола|noun|c52ebd5f19530af4	Агри́кола	Агрикола	агри́кола	noun	raw:a-stem	a-stem	m			[{"name":"head","args":{"1":"cu","2":"proper noun","g":"m","g2":"","g3":"","head":"Агри́кола","sc":"","tr":""}},{"name":"cu-proper noun","args":{"1":"m","head":"Агри́кола"}}]	c52ebd5f19530af4
адовъ|adj|b61a09c5b97ff6f9	адовъ	адовъ	адовъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	b61a09c5b97ff6f9
