lexeme_id	system	analysis_rank	field	value	provenance	source_feature	source_form	crosscheck_features	authority
авити|verb|8003baa455c6b112	aspect	0	aspect	perfective	dictionary-headword-metadata	headword:aspect	perfective		wiktionary-kaikki-2026-07-06
алкати|verb|0d7b6910a0449e00	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
алъкати|verb|97a9629cb5965863	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
баловати|verb|787d7296dd851d1b	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
баꙗти|verb|bdd8d483472158ef	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
бесѣдовати|verb|fd6fd07d93f54141	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
бивати|verb|2133cc1d867c3627	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
бити|verb|e7ab9d294e7bdbc4	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
благовѣштати|verb|3eba53a49012fdd0	aspect	0	aspect	imperfective	dictionary-headword-metadata	headword:aspect	imperfective		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	aspect	0	aspect	biaspectual	dictionary-headword-metadata	headword:aspect	biaspectual		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	imperative	0	formation	i-series	dictionary-principal-part	verb:imperative:1:du	благословивѣ	verb:imperative:1:du || verb:imperative:2:du || verb:imperative:1:pl || verb:imperative:2:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	imperative	0	stem	благослов	dictionary-principal-part	verb:imperative:2:sg	благослови	verb:imperative:1:du || verb:imperative:2:du || verb:imperative:1:pl || verb:imperative:2:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	imperfect	0	formation	a	dictionary-principal-part	verb:finite:imperfect:1:sg	благословлꙗахъ	verb:finite:imperfect:2:sg || verb:finite:imperfect:3:sg || verb:finite:imperfect:1:du || verb:finite:imperfect:2:du || verb:finite:imperfect:3:du || verb:finite:imperfect:1:pl || verb:finite:imperfect:2:pl || verb:finite:imperfect:3:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	imperfect	0	stem	благословлꙗ	dictionary-principal-part	verb:finite:imperfect:1:sg	благословлꙗахъ	verb:finite:imperfect:2:sg || verb:finite:imperfect:3:sg || verb:finite:imperfect:1:du || verb:finite:imperfect:2:du || verb:finite:imperfect:3:du || verb:finite:imperfect:1:pl || verb:finite:imperfect:2:pl || verb:finite:imperfect:3:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	imperfect	0	variant-policy	uncontracted-only	curated-grammar-override	verb:finite:imperfect:1:sg	благословлꙗахъ	verb:finite:imperfect:2:sg || verb:finite:imperfect:3:sg || verb:finite:imperfect:1:du || verb:finite:imperfect:2:du || verb:finite:imperfect:3:du || verb:finite:imperfect:1:pl || verb:finite:imperfect:2:pl || verb:finite:imperfect:3:pl	UT OCS Online lesson 1 §4.2 https://lrc.la.utexas.edu/eieol/ocsol/10#grammar_967
благословити|verb|9d3c95ce56eb87f0	l-participle	0	stem	благослови	dictionary-principal-part	verb:l-participle:m:sg	благословилъ	verb:l-participle:f:sg || verb:l-participle:n:sg || verb:l-participle:m:du || verb:l-participle:f:du || verb:l-participle:n:du || verb:l-participle:m:pl || verb:l-participle:f:pl || verb:l-participle:n:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-active-participle	0	formation	ish	dictionary-principal-part	verb:participle:past-active:citation	благословл҄ь		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-active-participle	0	stem	благословл҄	dictionary-principal-part	verb:participle:past-active:citation	благословл҄ь		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-active-participle	1	formation	vush	dictionary-principal-part	verb:participle:past-active:citation	благословивъ		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-active-participle	1	stem	благослови	dictionary-principal-part	verb:participle:past-active:citation	благословивъ		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-passive-participle	0	formation	n	dictionary-principal-part	verb:participle:past-passive:citation	благословлѥнъ		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	past-passive-participle	0	stem	благословлѥ	dictionary-principal-part	verb:participle:past-passive:citation	благословлѥнъ		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	present	0	class	II1	dictionary-headword-metadata	headword:class	II1		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	present	0	first-singular-stem	благословл	dictionary-principal-part	verb:finite:present:1:sg	благословлѭ		wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	present	0	stem	благослов	dictionary-principal-part	verb:finite:present:2:sg	благословиши	verb:finite:present:3:sg || verb:finite:present:1:du || verb:finite:present:2:du || verb:finite:present:3:du || verb:finite:present:1:pl || verb:finite:present:2:pl || verb:finite:present:3:pl	wiktionary-kaikki-2026-07-06
благословити|verb|9d3c95ce56eb87f0	present-active-participle	0	formation	yesht-soft	dictionary-principal-part	verb:participle:present-active:citation	благословѧ		wiktionary-kaikki-2026-07-06
