lemma_key	surface	count
авигеа	а҆вїге́а	12
авигеа	а҆вїге́и	7
авигеа	а҆вїге́ю	1
авида	а҆вїда̀	2
авиданъ	а҆вїда́на	1
авиданъ	а҆вїда́нъ	4
авилиниа	а҆вїлині́ею	1
авимаилъ	а҆вїмаи́ла	1
авимеилъ	а҆вїмеи́ла	1
авимелеховъ	а҆вїмеле́ховымъ	1
авимелеховъ	а҆вїмеле́ховꙋ	1
авимелеховъ	а҆вїмеле́хѡвы	1
авимелехъ	а҆вїмеле́сѣ	2
авимелехъ	а҆вїмеле́ха	19
авимелехъ	а҆вїмеле́ховъ	1
авимелехъ	а҆вїмеле́хомъ	1
авимелехъ	а҆вїмеле́хъ	41
авимелехъ	а҆вїмеле́хꙋ	14
авинеемль	а҆вїнее́мль	2
авинеемль	а҆вїнее́млѧ	1
авинеемовъ	а҆вїнее́мовъ	1
авиронъ	а҆вїрѡ́на	2
авиронъ	а҆вїрѡ́нъ	3
авиронъ	а҆вїрѡ́нѣ	3
авиронъ	а҆вїрѡ́нꙋ	2
авиронь	а҆вїрѡ́нѧ	1
ависага	а҆вїса́ги	1
ависага	а҆вїса́гъ	1
ависага	а҆вїса́гꙋ	3
ависафъ	а҆вїса́фъ	1
ависеевъ	а҆вїсе́ева	1
ависуевъ	а҆вїсꙋ́ева	1
ависуи	а҆вїсꙋ́й	1
ависумовъ	а҆вїсꙋ́мовъ	1
ависуровъ	а҆вїсꙋ́рове	1
ависуръ	а҆вїсꙋ́ръ	1
авитала	а҆вїта́лы	2
авихаилъ	а҆вїхаи́ла	1
авихеовъ	а҆вїхе́овъ	1
агрикополь	а҆грїкопо́лѧ	1
ада	а҆дамі̀	1
адида	а҆дїдꙋ̀	1
адина	а҆дїна̀	1
адинонъ	а҆дїнѡ́нъ	1
адинуевъ	а҆дїнꙋ́євы	1
адонивезекъ	а҆дѡнївезе́ка	1
адонивезекъ	а҆дѡнївезе́къ	4
адоникамль	а҆дѡнїка́млихъ	1
адоникамль	а҆дѡнїка̑мли	1
адоникамовъ	а҆дѡнїка́мовыхъ	1
адоникамовъ	а҆дѡнїка́мѡвы	2
адонирамъ	а҆дѡнїра́ма	2
адонирамъ	а҆дѡнїра́мъ	3
аиа	а҆їѐ	1
аиламъ	а҆їла́мъ	2
аилеѵъ	а҆їле́ѵъ	1
аилонъ	а҆їлѡ́нъ	1
аинонъ	а҆їнѡ́на	1
аинъ	а҆́їнъ	4
аиѳалъ	а҆їѳа́ла	1
аиѳалъ	а҆їѳа́ле	4
аиѳалъ	а҆їѳа́лъ	6
аиѳалъ	а҆їѳала̀	10
акаѳистовъ	а҆ка́ѳїстово	1
акаѳистовъ	а҆ка́ѳїстовꙋ	1
акаѳистъ	а҆ка́ѳїста	67
акаѳистъ	а҆ка́ѳїстовъ	2
акаѳистъ	а҆ка́ѳїстомъ	1
акаѳистъ	а҆ка́ѳїстъ	5
акиндѵнъ	а҆кїндѵ́на	16
акиндѵнъ	а҆кїндѵ́не	2
акиндѵнъ	а҆кїндѵ́нъ	1
акифаевъ	а҆кїфа́євы	1
акиѳоновъ	а҆кїѳѡ́нова	1
акростихисъ	а҆крості́хїсъ	1
аликарнасъ	а҆лїкарна́съ	1
алимазонѧнинъ	а҆лїмазо́нѧне	1
аманитида	а҆мані́тїдꙋ	1
аминадавль	а҆мїнада́вли	1
аминадавль	а҆мїнада́вль	5
аминадавль	а҆мїнада́влѧ	5
аминадавль	а҆мїнада̑вли	1
аминадавовъ	а҆мїнада́вова	1
аминадавовъ	а҆мїнада́вовꙋ	1
аминадавъ	а҆мїнада́ва	12
аминадавъ	а҆мїнада́вовъ	1
аминадавъ	а҆мїнада́въ	6
амисадаевъ	а҆мїсада́евъ	2
амисадаинъ	а҆мїсада́ина	1
амисадаинъ	а҆мїсада́инъ	2
амитала	а҆мїта́ла	2
амитала	а҆мїта́лъ	1
амиталь	а҆мїта́ль	1
амитовъ	а҆мїто́ва	1
амфилохии	а҆мфїло́хїа	16
амфилохии	а҆мфїло́хїе	9
амфилохии	а҆мфїло́хїемъ	1
амфилохии	а҆мфїло́хїй	2
амфилохии	а҆мфїло́хїѧ	2
амфиполь	а҆мфїпо́ль	1
аникита	а҆нїки́та	1
аникита	а҆нїки́то	6
аникита	а҆нїки́тъ	1
аникита	а҆нїки́ты	10
аникита	а҆нїки́тꙋ	1
анимаида	а҆нїмаі́да	1
анимаиса	а҆нїмаи́сы	1
анимаиса	а҆нїмаі́са	1
антидорныи	а҆нтїдѡ́рное	1
антидорныи	а҆нтїдѡ́рнымъ	2
антиливанъ	а҆нтїлїва́на	1
антиливанъ	а҆нтїлїва́нъ	3
антиливанъ	а҆нтїлїва́нѣ	2
антиминсныи	а҆нтїми́нсною	3
антиминсныи	а҆нтїми́нснꙋю	1
антиминсъ	антїми́нсъ	2
антиминсъ	а҆нті́мїнсъ	1
антиминсъ	а҆нтїми́нса	4
антиминсъ	а҆нтїми́нсомъ	1
антиминсъ	а҆нтїми́нсъ	19
антиминсъ	а҆нтїми́нсы	2
антиминсъ	а҆нтїми́нсѡвъ	1
антиминсъ	а҆нтїми́нсѣ	5
антиминсъ	а҆нтїми́нсꙋ	1
антипасха	а҆нтїпа́схи	14
антипатрида	а҆нтїпатрі́дꙋ	1
антипатръ	а҆нтїпа́тра	1
антипатръ	а҆нтїпа́тръ	1
антифонъ	а҆нтїфѡ́на	12
антифонъ	а҆нтїфѡ́нъ	694
антифонъ	а҆нтїфѡ́ны	39
антифонъ	а҆нтїфѡ́нѡвъ	5
антифонъ	а҆нтїфѡ́нѣ	22
