claim_id	source_id	source_record	lemma	lookup_key	source_pos	engine_pos	source_class	union_identity	classification	engine_route	support_state	evidence	notes
english-wiktionary-ocs-kaikki-2026-07-06:registry:аарѡ́нъ|noun|efe05eb353604eb1	english-wiktionary-ocs-kaikki-2026-07-06	registry:аарѡ́нъ|noun|efe05eb353604eb1	Аарѡ́нъ	аарѡ́нъ	noun	noun	o-m-hard	аарѡ́нъ|noun|efe05eb353604eb1	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity аарѡ́нъ|noun|efe05eb353604eb1; source signature efe05eb353604eb1	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:аблань|noun|c6041ad73a304b13	english-wiktionary-ocs-kaikki-2026-07-06	registry:аблань|noun|c6041ad73a304b13	аблань	аблань	noun	noun	i-f	аблань|noun|c6041ad73a304b13	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity аблань|noun|c6041ad73a304b13; source signature c6041ad73a304b13	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:аблъко|noun|157d0b4cd6a712f2	english-wiktionary-ocs-kaikki-2026-07-06	registry:аблъко|noun|157d0b4cd6a712f2	аблъко	аблъко	noun	noun	o-n-hard	аблъко|noun|157d0b4cd6a712f2	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity аблъко|noun|157d0b4cd6a712f2; source signature 157d0b4cd6a712f2	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:авазгъ|noun|7fbb7482edaf3067	english-wiktionary-ocs-kaikki-2026-07-06	registry:авазгъ|noun|7fbb7482edaf3067	авазгъ	авазгъ	noun	noun	o-m-hard	авазгъ|noun|7fbb7482edaf3067	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity авазгъ|noun|7fbb7482edaf3067; source signature 7fbb7482edaf3067	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:авити|verb|8003baa455c6b112	english-wiktionary-ocs-kaikki-2026-07-06	registry:авити|verb|8003baa455c6b112	авити	авити	verb	verb	-	авити|verb|8003baa455c6b112	ambiguous	source-class-not-normalized	source-ambiguous	Pinned 2026-07-06 Kaikki extraction; registry identity авити|verb|8003baa455c6b112; source signature 8003baa455c6b112	The source class is absent or not safely normalized into a typed engine specification.
english-wiktionary-ocs-kaikki-2026-07-06:registry:авоу́ндии|noun|a696b5a27ebf1e71	english-wiktionary-ocs-kaikki-2026-07-06	registry:авоу́ндии|noun|a696b5a27ebf1e71	Авоу́ндии	авоу́ндии	noun	noun	raw:a-stem	авоу́ндии|noun|a696b5a27ebf1e71	ambiguous	source-class-not-normalized	source-ambiguous	Pinned 2026-07-06 Kaikki extraction; registry identity авоу́ндии|noun|a696b5a27ebf1e71; source signature a696b5a27ebf1e71	The source class is absent or not safely normalized into a typed engine specification.
english-wiktionary-ocs-kaikki-2026-07-06:registry:автоно́мъ|noun|db89826d6f6ab492	english-wiktionary-ocs-kaikki-2026-07-06	registry:автоно́мъ|noun|db89826d6f6ab492	Автоно́мъ	автоно́мъ	noun	noun	o-m-hard	автоно́мъ|noun|db89826d6f6ab492	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity автоно́мъ|noun|db89826d6f6ab492; source signature db89826d6f6ab492	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:авьнъ|adj|2a25d673ea077283	english-wiktionary-ocs-kaikki-2026-07-06	registry:авьнъ|adj|2a25d673ea077283	авьнъ	авьнъ	adj	adj	adj-hard	авьнъ|adj|2a25d673ea077283	productive	dictionary-adjective-metadata	implemented	Pinned 2026-07-06 Kaikki extraction; registry identity авьнъ|adj|2a25d673ea077283; source signature 2a25d673ea077283	The runtime identity has a typed productive adjective class; exact tables remain higher-priority evidence.
english-wiktionary-ocs-kaikki-2026-07-06:registry:ага́въ|noun|ec7677b5fd1e89f2	english-wiktionary-ocs-kaikki-2026-07-06	registry:ага́въ|noun|ec7677b5fd1e89f2	Ага́въ	ага́въ	noun	noun	o-m-hard	ага́въ|noun|ec7677b5fd1e89f2	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity ага́въ|noun|ec7677b5fd1e89f2; source signature ec7677b5fd1e89f2	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:ага́пии|noun|1444a01b567456f6	english-wiktionary-ocs-kaikki-2026-07-06	registry:ага́пии|noun|1444a01b567456f6	Ага́пии	ага́пии	noun	noun	raw:a-stem	ага́пии|noun|1444a01b567456f6	ambiguous	source-class-not-normalized	source-ambiguous	Pinned 2026-07-06 Kaikki extraction; registry identity ага́пии|noun|1444a01b567456f6; source signature 1444a01b567456f6	The source class is absent or not safely normalized into a typed engine specification.
english-wiktionary-ocs-kaikki-2026-07-06:registry:ага́пиꙗ|noun|2306112e3140161c	english-wiktionary-ocs-kaikki-2026-07-06	registry:ага́пиꙗ|noun|2306112e3140161c	Ага́пиꙗ	ага́пиꙗ	noun	noun	ja-soft	ага́пиꙗ|noun|2306112e3140161c	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity ага́пиꙗ|noun|2306112e3140161c; source signature 2306112e3140161c	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:агапи́тъ|noun|467822b485c01afb	english-wiktionary-ocs-kaikki-2026-07-06	registry:агапи́тъ|noun|467822b485c01afb	Агапи́тъ	агапи́тъ	noun	noun	o-m-hard	агапи́тъ|noun|467822b485c01afb	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity агапи́тъ|noun|467822b485c01afb; source signature 467822b485c01afb	The declension class is typed, but gender or animacy required by the public noun specification is absent.
english-wiktionary-ocs-kaikki-2026-07-06:registry:агапиѡ́нъ|noun|6fd3d345569e8c54	english-wiktionary-ocs-kaikki-2026-07-06	registry:агапиѡ́нъ|noun|6fd3d345569e8c54	Агапиѡ́нъ	агапиѡ́нъ	noun	noun	o-m-hard	агапиѡ́нъ|noun|6fd3d345569e8c54	ambiguous	dictionary-noun-metadata	metadata-incomplete	Pinned 2026-07-06 Kaikki extraction; registry identity агапиѡ́нъ|noun|6fd3d345569e8c54; source signature 6fd3d345569e8c54	The declension class is typed, but gender or animacy required by the public noun specification is absent.
