source_row	lemma	class	inflection_lemma	number_restriction
5	ꙗвл҄ѥниѥ	2/n	ꙗвл҄ѥниѥ	all
7	ꙗдениѥ	2/n	ꙗдениѥ	all
9	ꙗдра	2/n	ꙗдро	pl
10	ꙗдро	2/n	ꙗдро	all
11	ꙗдъ	2/m	ꙗдъ	all
12	ꙗдь	1/f	ꙗдь	all
13	ꙗдьца	2/f	ꙗдьца	all
15	ꙗзва	2/f	ꙗзва	all
16	ꙗзвина	2/f	ꙗзвина	all
20	ꙗма	2/f	ꙗма	all
23	ꙗрость	1/f	ꙗрость	all
25	ꙗрьмъ	2/m	ꙗрьмъ	all
26	ꙗрьмьникъ	2/m	ꙗрьмьникъ	all
28	ꙗсли	1/f	ꙗсль	pl
32	ꙗто	2/n	ꙗто	all
34	ѥдин҄ѥниѥ	2/n	ѥдин҄ѥниѥ	all
38	ѥдиньство	2/n	ѥдиньство	all
41	ѥзеро	2/n	ѥзеро	all
43	ѥлень	1/m	ѥлень	all
46	ѥстьствиѥ	2/n	ѥстьствиѥ	all
47	ѥстьство	2/n	ѥстьство	all
50	ѕвѣзда	2/f	ѕвѣзда	all
54	л҄юбл҄ѥниѥ	2/n	л҄юбл҄ѥниѥ	all
55	л҄юбл҄ѥникъ	2/m	л҄юбл҄ѥникъ	all
63	л҄юдиѥ	1/m	л҄юдь	pl
65	л҄юто	2/n	л҄юто	all
66	л҄ютость	1/f	л҄ютость	all
68	л҄ютьць	2/m	л҄ютьць	all
69	н҄ива	2/f	н҄ива	all
71	ѩѕа	2/f	ѩѕа	all
73	ѩзыкъ	2/m	ѩзыкъ	all
74	ѩзычьникъ	2/m	ѩзычьникъ	all
78	ѩтиѥ	2/n	ѩтиѥ	all
82	авл҄ѥниѥ	2/n	авл҄ѥниѥ	all
85	агньць	2/m	агньць	all
87	агода	2/f	агода	all
89	аице	2/n	аице	all
91	алъчьба	2/f	алъчьба	all
93	ащеръ	2/m	ащеръ	all
95	бл҄ьвотина	2/f	бл҄ьвотина	all
96	бл҄юдъ	2/m	бл҄юдъ	all
98	бан҄ꙗ	2/f	бан҄ꙗ	all
99	баба	2/f	баба	all
101	багъръ	2/m	багъръ	all
102	багърѣница	2/f	багърѣница	all
104	балованиѥ	2/n	балованиѥ	all
105	бальство	2/n	бальство	all
106	бедра	2/f	бедра	all
108	безакон҄ѥниѥ	2/n	безакон҄ѥниѥ	all
109	безакониѥ	2/n	безакониѥ	all
110	безаконьниѥ	2/n	безаконьниѥ	all
111	безаконьникъ	2/m	безаконьникъ	all
114	безбоꙗзниѥ	2/n	безбоꙗзниѥ	all
116	безбожьство	2/n	безбожьство	all
124	безвѣриѥ	2/n	безвѣриѥ	all
127	безгодиѥ	2/n	безгодиѥ	all
128	безградьникъ	2/m	безградьникъ	all
134	бездъждиѥ	2/n	бездъждиѥ	all
135	бездъна	2/f	бездъна	all
136	бездъниѥ	2/n	бездъниѥ	all
141	безмлъвиѥ	2/n	безмлъвиѥ	all
143	безмлъвьствиѥ	2/n	безмлъвьствиѥ	all
144	безмьздьникъ	2/m	безмьздьникъ	all
149	безочьство	2/n	безочьство	all
151	безумиѥ	2/n	безумиѥ	all
152	безумьникъ	2/m	безумьникъ	all
154	безълобиѥ	2/n	безълобиѥ	all
171	беспосагаꙗ	2/f	беспосагаꙗ	all
172	бесправьдиѥ	2/n	бесправьдиѥ	all
175	бесрамиѥ	2/n	бесрамиѥ	all
176	бесрамъкъ	2/m	бесрамъкъ	all
179	бестрастиѥ	2/n	бестрастиѥ	all
181	бестудиѥ	2/n	бестудиѥ	all
182	бестудьникъ	2/m	бестудьникъ	all
184	бестудьць	2/m	бестудьць	all
185	бестьлѣниѥ	2/n	бестьлѣниѥ	all
189	бесхрамьникъ	2/m	бесхрамьникъ	all
190	бесъмрьтиѥ	2/n	бесъмрьтиѥ	all
192	бесъмрьтьство	2/n	бесъмрьтьство	all
193	бесъниѥ	2/n	бесъниѥ	all
194	бесѣда	2/f	бесѣда	all
195	бесѣдованиѥ	2/n	бесѣдованиѥ	all
201	бечьстиѥ	2/n	бечьстиѥ	all
203	биѥниѥ	2/n	биѥниѥ	all
204	бисьръ	2/m	бисьръ	all
206	бичь	2/m	бичь	all
207	благо	2/n	благо	all
209	благость	1/f	благость	all
213	блажениѥ	2/n	блажениѥ	all
214	блаженикъ	2/m	блаженикъ	all
216	блаженьство	2/n	блаженьство	all
219	блазна	2/f	блазна	all
221	блазнъ	2/m	блазнъ	all
224	блато	2/n	блато	all
225	ближика	2/f	ближика	all
227	близньць	2/m	близньць	all
230	блискъ	2/m	блискъ	all
231	блистаниѥ	2/n	блистаниѥ	all
233	блѫждениѥ	2/n	блѫждениѥ	all
234	блѫдилище	2/n	блѫдилище	all
236	блѫдъ	2/m	блѫдъ	all
237	блѫдьникъ	2/m	блѫдьникъ	all
238	блѫдьничьство	2/n	блѫдьничьство	all
239	блѫдьница	2/f	блѫдьница	all
242	бльщаниѥ	2/n	бльщаниѥ	all
246	блѧдь	1/f	блѧдь	all
247	блѧдьникъ	2/m	блѧдьникъ	all
250	боꙗзнь	1/f	боꙗзнь	all
257	богатьствиѥ	2/n	богатьствиѥ	all
258	богатьство	2/n	богатьство	all
260	богъ	2/m	богъ	all
264	божьство	2/n	божьство	all
266	боль	1/m	боль	all
268	болѣзнь	1/f	болѣзнь	all
271	борениѥ	2/n	борениѥ	all
272	борьць	2/m	борьць	all
274	брада	2/f	брада	all
277	бразда	2/f	бразда	all
278	бракъ	2/m	бракъ	all
280	брань	1/f	брань	all
283	братриꙗ	2/f	братриꙗ	all
284	братръ	2/m	братръ	all
286	братрьство	2/n	братрьство	all
287	братъ	2/m	братъ	all
289	братьство	2/n	братьство	all
291	брашьно	2/n	брашьно	all
292	брашьньце	2/n	брашьньце	all
294	бритва	2/f	бритва	all
295	брън҄ꙗ	2/f	брън҄ꙗ	all
296	бръвь	1/f	бръвь	all
297	бръзда	2/f	бръзда	all
