id	lexeme_id	sense_id	cell	expected_expanded	expected_printed	source_id	passage	regularity
eval:v04:abbr:gospod-acc	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:accusative:singular:animate	господа	гдⷭ҇а	ponomar-elizabeth-bible-2026-08-09	Acts.2.36	typed-abbreviation-held-out
eval:v04:abbr:gospod-dat-evi	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:dative:singular:animate	господеви	гдⷭ҇еви	ponomar-elizabeth-bible-2026-08-09	Acts.5.14	typed-abbreviation-held-out
eval:v04:abbr:gospod-dat-u	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:dative:singular:animate	господу	гдⷭ҇ꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.9.35	typed-abbreviation-held-out
eval:v04:abbr:gospod-ins	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:instrumental:singular:animate	господемъ	гдⷭ҇емъ	ponomar-elizabeth-bible-2026-08-09	Baruch.1.17	typed-abbreviation-held-out
eval:v04:abbr:gospod-loc	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:locative:singular:animate	господѣ	гдⷭ҇ѣ	ponomar-elizabeth-bible-2026-08-09	Acts.14.3	typed-abbreviation-held-out
eval:v04:abbr:gospod-nom	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:nominative:singular:animate	господь	гдⷭ҇ь	ponomar-elizabeth-bible-2026-08-09	Acts.2.39	typed-abbreviation-held-out
eval:v04:abbr:gospod-voc	synodal:noun:wikt-ed67a3345df1	sense:v03:ed67a3345df1	noun:vocative:singular:animate	господи	гдⷭ҇и	ponomar-elizabeth-bible-2026-08-09	Acts.7.59	typed-abbreviation-held-out
eval:v05:abbr:angel-gen	synodal:noun:angel	sense:v05:noun:angel	noun:genitive:singular:animate	ангела	а҆́гг҃ла	ponomar-elizabeth-bible-2026-08-09	Acts.10.3	typed-abbreviation-held-out
eval:v05:abbr:bog-acc	synodal:noun:bog	sense:deity:christian	noun:accusative:singular:animate	бога	бг҃а	ponomar-elizabeth-bible-2026-08-09	Acts.16.25	typed-abbreviation-held-out
eval:v05:abbr:bog-dat-ovi	synodal:noun:bog	sense:deity:christian	noun:dative:singular:animate	богови	бг҃ови	ponomar-elizabeth-bible-2026-08-09	Acts.5.29	typed-abbreviation-held-out
eval:v05:abbr:bog-dat-u	synodal:noun:bog	sense:deity:christian	noun:dative:singular:animate	богꙋ	бг҃ꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.4.24	typed-abbreviation-held-out
eval:v05:abbr:bog-gen	synodal:noun:bog	sense:deity:christian	noun:genitive:singular:animate	бога	бг҃а	ponomar-elizabeth-bible-2026-08-09	Acts.2.22	typed-abbreviation-held-out
eval:v05:abbr:bog-ins	synodal:noun:bog	sense:deity:christian	noun:instrumental:singular:animate	богомъ	бг҃омъ	ponomar-elizabeth-bible-2026-08-09	Acts.8.21	typed-abbreviation-held-out
eval:v05:abbr:bog-loc	synodal:noun:bog	sense:deity:christian	noun:locative:singular:animate	бозѣ	бз҃ѣ	ponomar-elizabeth-bible-2026-08-09	Col.3.3	typed-abbreviation-held-out
eval:v05:abbr:bozhii-ie	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:neuter:inanimate:short:positive	божїе	бж҃їе	ponomar-elizabeth-bible-2026-08-09	Acts.8.14	typed-abbreviation-held-out
eval:v05:abbr:bozhii-ii	synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:locative:singular:neuter:inanimate:short:positive	божїи	бж҃їи	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	typed-abbreviation-held-out
