lexeme_id	sense_id	expanded_prefix	printed_prefix	rule_id	evidence_id	reversible	required_marks	context_restrictions	ambiguity	source_recension	target_recension
synodal:adjective:blagoslovenn	sense:blessed-spoken	благослов	бл҃гослов	SYN-ABBR-FAMILY-BLAGOSLOVENN	alypy-3-abbreviation-inventory,alypy-52-short-adjectives	false	titlo	blessed adjective identity in positive morphologically licensed cells	participial readings and comparison forms require separate identities or metadata	synodal-russian	synodal-russian
synodal:adjective:blazhenn	sense:blessed	блаж	бл҃ж	SYN-ABBR-FAMILY-BLAZHENN	alypy-3-abbreviation-inventory,alypy-52-short-adjectives	false	titlo	blessed adjective identity in positive morphologically licensed cells	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:adjective:bozhestvenn	sense:divine-quality	божеств	бжⷭ҇тв	SYN-ABBR-FAMILY-BOZHESTVENN	alypy-3-abbreviation-inventory,alypy-52-short-adjectives	false	titlo,superscript-s,pokrytie	divine-quality adjective identity in positive morphologically licensed cells	distinct from the possessive Божий family	synodal-russian	synodal-russian
synodal:adjective:chestn	sense:honorable	чест	чⷭ҇т	SYN-ABBR-FAMILY-CHESTN	alypy-3-abbreviation-inventory,alypy-52-short-adjectives	false	titlo,superscript-s,pokrytie	honorable adjective identity in positive morphologically licensed cells	shares a contraction base with чистый but remains a separate identity	synodal-russian	synodal-russian
synodal:adjective:chist	sense:pure	чист	чⷭ҇т	SYN-ABBR-FAMILY-CHIST	alypy-3-abbreviation-inventory	false	titlo,superscript-s,pokrytie	pure adjective identity in positive morphologically licensed cells	shares a contraction base with честный but remains a separate identity	synodal-russian	synodal-russian
synodal:adjective:prepodobn	sense:venerable-saint	преподоб	прпⷣб	SYN-ABBR-FAMILY-PREPODOBN	alypy-3-abbreviation-inventory,alypy-52-short-adjectives	false	titlo,superscript-d	venerable saint adjective or title identity in positive morphologically licensed cells	title bearer is not recoverable from the contraction alone	synodal-russian	synodal-russian
synodal:adjective:wikt-a9cef2fd54e7	sense:v03:a9cef2fd54e7	бла	бл҃	SYN-ABBR-FAMILY-BLAG	alypy-3-abbreviation-inventory,review:v03:a9cef2fd54e7	false	titlo	good adjective identity in positive morphologically licensed cells; the bounded pre-velar prefix survives г-ж-з stem alternation	suppletive comparison forms do not share the positive contraction base	synodal-russian	synodal-russian
synodal:adverb:blagochestno	sense:piously	благочестн	бл҃гочⷭ҇тн	SYN-ABBR-FAMILY-BLAGOCHESTNO	alypy-3-abbreviation-inventory,synodal-blagochestno-tobit-source	false	titlo,superscript-s,pokrytie	invariant piously adverb identity only	non-reversible without semantic identity	synodal-russian	synodal-russian
synodal:noun:imyarek	sense:name-placeholder	имярек	и҆́м҃рек	SYN-ABBR-FAMILY-IMYAREK	alypy-3-abbreviation-inventory,alypy-3-imyarek-placeholder	false	initial-breathing,titlo	closed personal-name replacement rubric only	case belongs to the substituted name, not to this invariant rubric token	synodal-russian	synodal-russian
synodal:noun:infant	sense:infant	младенец	млⷣнц	SYN-ABBR-FAMILY-MLADENETS	alypy-3-abbreviation-inventory,synodal-mladenets-luke-accusative-source	false	titlo,superscript-d	reverential infant identity in citation and ц-stem cells; the ч-stem vocative remains uncontracted pending a direct witness	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:noun:infant	sense:infant	младенц	млⷣнц	SYN-ABBR-FAMILY-MLADENETS	alypy-3-abbreviation-inventory,synodal-mladenets-luke-accusative-source	false	titlo,superscript-d	reverential infant identity in citation and ц-stem cells; the ч-stem vocative remains uncontracted pending a direct witness	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	бож	бж҃	SYN-ABBR-FAMILY-BOZHII	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:adjective:gospoden	sense:v05:adjective:gospoden	господ	гдⷭ҇	SYN-ABBR-FAMILY-GOSPODEN	v05-alypy-gospoden,v05-abbr-gospoden	false	titlo,superscript-s,pokrytie	possessive adjective господень identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:adjective:svyat	sense:holy	свѧт	ст҃	SYN-ABBR-FAMILY-SVYAT	alypy-3-abbreviation-inventory	false	titlo	holy adjective identity in any morphologically licensed cell	non-reversible without semantic identity and grammatical cell	synodal-russian	synodal-russian
synodal:adjective:v06-israel	sense:v06:israel-adjective	израи	і҆и҃	SYN-ABBR-FAMILY-ISRAEL-ADJECTIVE	v06-manual-alypy-israel	false	initial-breathing,titlo	Israel relational-adjective identity in any morphologically licensed cell	noun and adjective contractions remain separate semantic identities	synodal-russian	synodal-russian
synodal:adverb:nynye	sense:v06:adverb:nynye	нын	нн҃	SYN-ABBR-FAMILY-NYNYE	v06-alypy-nynye-adverb,v06-alypy-nynye-expanded	false	titlo	temporal adverb нынѣ identity only	non-reversible without the semantic identity	synodal-russian	synodal-russian
