lexeme_id	sense_id	cell	expanded	printed	rule_id	evidence_id	reversible	required_marks	context_restrictions	ambiguity	source_recension	target_recension
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:feminine:animate:short:positive	божїю	бж҃їю	SYN-ABBR-BOZHII-IYU-ACC-SG-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine accusative singular animate agreement	homographic dative singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:feminine:inanimate:short:positive	божїю	бж҃їю	SYN-ABBR-BOZHII-IYU-ACC-SG-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine accusative singular inanimate agreement	homographic dative singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:masculine:animate:short:positive	божїѧ	бж҃їѧ	SYN-ABBR-BOZHII-IYA-ACC-SG-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; target-attested masculine animate accusative singular short form	homographic genitive cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:accusative:singular:neuter:inanimate:short:positive	божїе	бж҃їе	SYN-ABBR-BOZHII-IE-ACC-SG-N	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter accusative singular agreement	homographic neuter nominative remains visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:feminine:animate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-F-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine dative plural animate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:feminine:inanimate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-F-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; feminine dative plural inanimate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:masculine:animate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-M-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine dative plural animate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:masculine:inanimate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-M-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; masculine dative plural inanimate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:neuter:animate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-N-AN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter dative plural animate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
synodal:adjective:bozhii	sense:v05:adjective:bozhii	adjective:dative:plural:neuter:inanimate:short:positive	божїимъ	бж҃їимъ	SYN-ABBR-BOZHII-IIM-DAT-PL-N-IN	alypy-3-bozhii-expansion,alypy-56-bozhii-table	false	titlo	possessive adjective Божий; neuter dative plural inanimate agreement	homographic instrumental singular cells remain visible	synodal-russian	synodal-russian
