corpus	source_id	work	edition	passage	partition	source_recension	text
Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	Elizabeth Bible	Ponomar Unicode text	Acts.1.1	evaluation	synodal-russian	(Зача́ло 1) Пе́рвое ᲂу҆́бѡ сло́во сотвори́хъ ѡ҆ всѣ́хъ, ѽ, ѳео́фїле, ꙗ҆̀же нача́тъ і҆и҃съ твори́ти же и҆ ᲂу҆чи́ти
Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	Elizabeth Bible	Ponomar Unicode text	Acts.1.2	evaluation	synodal-russian	да́же до днѐ, во́ньже, заповѣ́давъ а҆пⷭ҇лѡмъ дх҃омъ ст҃ы́мъ, и҆̀хже и҆збра̀, вознесе́сѧ:
Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	Elizabeth Bible	Ponomar Unicode text	Acts.1.3	evaluation	synodal-russian	пред̾ ни́миже и҆ поста́ви себѐ жи́ва по страда́нїи свое́мъ во мно́зѣхъ и҆́стинныхъ зна́менїихъ, де́ньми четы́редесѧтьми ꙗ҆влѧ́ѧсѧ и҆̀мъ и҆ гл҃ѧ ꙗ҆̀же ѡ҆ црⷭ҇твїи бж҃їи:
Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	Elizabeth Bible	Ponomar Unicode text	Acts.1.4	source	synodal-russian	съ ни́миже и҆ ꙗ҆ды́й повелѣ̀ и҆̀мъ ѿ і҆ерⷭ҇ли́ма не ѿлꙋча́тисѧ, но жда́ти ѡ҆бѣтова́нїѧ ѻ҆́ч҃а, є҆́же слы́шасте ѿ менє̀:
Elizabeth Bible corpus	ponomar-elizabeth-bible-2026-08-09	Elizabeth Bible	Ponomar Unicode text	Acts.1.5	source	synodal-russian	ꙗ҆́кѡ і҆ѡа́ннъ ᲂу҆́бѡ крести́лъ є҆́сть водо́ю, вы́ же и҆́мате крести́тисѧ дх҃омъ ст҃ы́мъ не по мно́зѣхъ си́хъ дне́хъ.
Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	Church Slavonic Bible	Wikisource exact revisions	Col.1.1	source	synodal-russian	Па́ѵелъ, а҆пⷭ҇лъ і҆и҃съ хрⷭ҇то́въ во́лею бж҃їею, и҆ тїмоѳе́й бра́тъ,
Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	Church Slavonic Bible	Wikisource exact revisions	Col.1.2	evaluation	synodal-russian	сꙋ́щымъ въ колосса́ехъ ст҃ы̑мъ и҆ вѣ̑рнымъ бра́тїѧмъ ѡ҆ хрⷭ҇тѣ̀ і҆и҃сѣ:
Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	Church Slavonic Bible	Wikisource exact revisions	Col.1.3	source	synodal-russian	блгⷣть ва́мъ и҆ ми́ръ ѿ бг҃а ѻ҆ц҃а̀ на́шегѡ, и҆ гдⷭ҇а і҆и҃са хрⷭ҇та̀. Благодари́мъ бг҃а и҆ ѻ҆ц҃а̀ гдⷭ҇а на́шегѡ і҆и҃са хрⷭ҇та̀, всегда̀ ѡ҆ ва́съ молѧ́щесѧ,
Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	Church Slavonic Bible	Wikisource exact revisions	Col.1.4	source	synodal-russian	слы́шавше вѣ́рꙋ ва́шꙋ, ꙗ҆́же ѡ҆ хрⷭ҇тѣ̀ і҆и҃сѣ, и҆ любо́вь, ю҆́же и҆́мате ко всѣ̑мъ ст҃ы́мъ,
Church Slavonic Bible corpus	wikisource-church-slavonic-bible-2026-08-09	Church Slavonic Bible	Wikisource exact revisions	Col.1.5	source	synodal-russian	за ѹ҆пова́нїе ѿложе́нное ва́мъ на нб҃сѣ́хъ, є҆́же пре́жде слы́шасте въ словесѝ и҆́стины бл҃говѣствова́нїѧ,
