lexeme_id	cell	expanded	printed	evidence_id	source_kind	target_recension
synodal:adjective:mnog	adjective:accusative:plural:masculine:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:accusative:plural:neuter:inanimate:short:positive	мнѡга	мнѡ́га	v05-alypy-mnog,v05-target-mnog-mnoga-omega	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:feminine:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:feminine:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:masculine:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:masculine:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:neuter:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:genitive:plural:neuter:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:feminine:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:feminine:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:masculine:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:masculine:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:neuter:animate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:locative:plural:neuter:inanimate:long:positive	многихъ	мно́гихъ	v05-alypy-mnog,v05-target-mnog-genitive-plural	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:nominative:plural:masculine:animate:short:positive	мнози	Мно́зи	v05-alypy-mnog,v05-target-mnog-mnozi	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:nominative:plural:masculine:animate:short:positive	мнѡги	мнѡ́ги	v05-alypy-mnog,v05-target-mnog-mnogi-omega	synodal-attestation	synodal-russian
synodal:adjective:mnog	adjective:nominative:plural:neuter:inanimate:short:positive	мнѡга	мнѡ́га	v05-alypy-mnog,v05-target-mnog-mnoga-omega	synodal-attestation	synodal-russian
synodal:adjective:v06-1a7ee491487fbd39	adjective:accusative:singular:masculine:inanimate:short:positive	крѣпокъ	крѣ́покъ	review:v06:1a7ee491487fbd39,v06-ud-b3b8c528dd0d539f,v06-target-3fd7740cb790de8b	synodal-attestation	synodal-russian
synodal:adjective:v06-1a7ee491487fbd39	adjective:nominative:singular:masculine:any:short:positive	крѣпокъ	крѣ́покъ	review:v06:1a7ee491487fbd39,v06-ud-5aecf8d0fe5a0eec,v06-target-3fd7740cb790de8b	synodal-attestation	synodal-russian
synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:masculine:any:short:positive	подобенъ	подо́бенъ	review:v06:6d8cbd0ea412c4e9,v06-ud-40c0e2c8b07b3063,v06-target-8c5a123f43f69346	synodal-attestation	synodal-russian
synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:neuter:any:short:positive	подобно	подо́бно	review:v06:6d8cbd0ea412c4e9,v06-ud-1c757eb55f673c2f,v06-target-02052c3564dfb8fa	synodal-attestation	synodal-russian
synodal:adjective:v06-73f4685d4e007ee3	adjective:nominative:singular:masculine:any:short:positive	Блаженъ	Блаже́нъ	review:v06:73f4685d4e007ee3,v06-ud-5f871c00530f8009,v06-target-fb185e4927d297cf	synodal-attestation	synodal-russian
synodal:adjective:v06-a79476be07ef953c	adjective:nominative:singular:masculine:any:short:positive	вѣренъ	вѣ́ренъ	review:v06:a79476be07ef953c,v06-ud-2a023f84806f36e2,v06-target-d22a86b77d8d7323	synodal-attestation	synodal-russian
synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:accusative:plural:neuter:inanimate:short:positive	многа	мно́га	review:v06:e3bdc69bb0fe41f0,v06-ud-fbdfb97db0f0388b,v06-target-7c4e882536eb0d74	synodal-attestation	synodal-russian
synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:accusative:singular:neuter:inanimate:short:positive	многѡ	мно́гѡ	review:v06:e3bdc69bb0fe41f0,v06-ud-3c47baa5c133d9a9,v06-target-ff623ad0e477b5ab	synodal-attestation	synodal-russian
synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:genitive:plural:feminine:any:long:positive	мнозѣхъ	мно́зѣхъ	review:v06:e3bdc69bb0fe41f0,v06-ud-90f159259aa4b726,v06-target-a61a840927f5cc94	synodal-attestation	synodal-russian
