# Gold paradigm oracle: Alypy (Gamanovich) grammar printed paradigm tables.
# Source: alypy-gamanovich-grammar-web-2023 (references/downloads/alypy-grammar).
# Generator: cargo xtask alypy-paradigm-oracle (crates/xtask/src/alypy_oracle.rs).
# Surfaces are verbatim as printed (accents, hyphenated morpheme boundaries,
# variant parentheses intact); the comparison contract decides equivalence.
section	artifact	table_index	pos	headword	column_label	case	number	gender	person	tense	form	surface
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	nominative	singular					ра́б-ъ
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	nominative	singular					сел-о̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	nominative	singular					ца́р-ь
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	nominative	singular					мо́р-е
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	nominative	singular					кра́-й
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	nominative	singular					і҆ере́-й
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	genitive	singular					раб-а̀
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	genitive	singular					сел-а̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	genitive	singular					цар-ѧ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	genitive	singular					мо́р-ѧ
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	genitive	singular					кра́-ѧ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	genitive	singular					і҆ере́-а
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	dative	singular					раб-ꙋ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	dative	singular					сел-ꙋ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	dative	singular					цар-ю̀
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	dative	singular					мо́р-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	dative	singular					кра́-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	dative	singular					і҆ере́-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	accusative	singular					раб-а̀
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	accusative	singular					сел-о̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	accusative	singular					цар-ѧ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	accusative	singular					мо́р-е
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	accusative	singular					кра́-й
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	accusative	singular					і҆ере́-а
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	instrumental	singular					раб-о́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	instrumental	singular					сел-о́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	instrumental	singular					цар-е́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	instrumental	singular					мо́р-емъ
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	instrumental	singular					кра́-емъ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	instrumental	singular					і҆ере́-емъ
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	locative	singular					раб-ѣ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	locative	singular					сел-ѣ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	locative	singular					цар-ѝ
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	locative	singular					мо́р-и
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	locative	singular					кра́-и
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	locative	singular					і҆ере́-и
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	vocative	singular					ра́б-е
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	vocative	singular					сел-о̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	vocative	singular					цар-ю̀
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	vocative	singular					мо́р-е
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	vocative	singular					кра́-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	vocative	singular					і҆ере́-ю (-е)
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	nominative+accusative+vocative	dual					раб-а̑
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	nominative+accusative+vocative	dual					сел-а̑
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	nominative+accusative+vocative	dual					цар-ѧ̑
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	nominative+accusative+vocative	dual					мѡ́р-и
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	nominative+accusative+vocative	dual					кра̑-ѧ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	nominative+accusative+vocative	dual					і҆ерє́-а
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	genitive+locative	dual					раб-ꙋ̑
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	genitive+locative	dual					сєл-ꙋ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	genitive+locative	dual					цар-ю̑
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	genitive+locative	dual					мѡ́р-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	genitive+locative	dual					кра̑-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	genitive+locative	dual					і҆ерє́-ю
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	dative+instrumental	dual					раб-о́ма
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	dative+instrumental	dual					сел-о́ма
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	dative+instrumental	dual					цар-е́ма
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	dative+instrumental	dual					мо́р-ема
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	dative+instrumental	dual					кра́-ема
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	dative+instrumental	dual					і҆ере́-ема (-ома)
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	nominative+vocative	plural					раб-ѝ
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	nominative+vocative	plural					се́л-а
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	nominative+vocative	plural					цар-ѝ (-їе)
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	nominative+vocative	plural					мор-ѧ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	nominative+vocative	plural					кра̑-и
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	nominative+vocative	plural					і҆ере́-є
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	genitive	plural					раб-ѡ́въ (-ъ)
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	genitive	plural					се́л-ъ
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	genitive	plural					цар-е́й
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	genitive	plural					мор-е́й
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	genitive	plural					кра-є́въ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	genitive	plural					і҆ерє́-й
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	dative	plural					раб-ѡ́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	dative	plural					сел-ѡ́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	dative	plural					цар-є́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	dative	plural					мор-є́мъ
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	dative	plural					кра́-ємъ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	dative	plural					і҆ере́-ємъ (-ѡмъ)
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	accusative	plural					раб-ы̀ (-ѡ́въ)
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	accusative	plural					се́л-а
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	accusative	plural					цар-ѝ (-е́й)
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	accusative	plural					мор-ѧ̀
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	accusative	plural					кра̑-и
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	accusative	plural					і҆ерє́-и
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	instrumental	plural					раб-ы̀
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	instrumental	plural					се́л-ы
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	instrumental	plural					цар-ѝ (-ьмѝ)
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	instrumental	plural					мѡ́р-и
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	instrumental	plural					кра̑-и
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	instrumental	plural					і҆ерє́-и
§34. Образцы 1-го склонения	p034.htm	1	noun	ра́б-ъ	Твердое склонение	locative	plural					раб-ѣ́хъ
§34. Образцы 1-го склонения	p034.htm	1	noun	сел-о̀	Твердое склонение	locative	plural					се́л-ѣхъ
§34. Образцы 1-го склонения	p034.htm	1	noun	ца́р-ь	Мягкое склонение	locative	plural					цар-е́хъ
§34. Образцы 1-го склонения	p034.htm	1	noun	мо́р-е	Мягкое склонение	locative	plural					мор-ѧ́хъ
§34. Образцы 1-го склонения	p034.htm	1	noun	кра́-й	Мягкое склонение	locative	plural					кра́-ехъ
§34. Образцы 1-го склонения	p034.htm	1	noun	і҆ере́-й	Мягкое склонение	locative	plural					і҆ере́-ехъ
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	nominative	singular					дꙋ́х-ъ
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	nominative	singular					ѻ҆́трок-ъ
§34. Образцы 1-го склонения	p034.htm	2	noun	мꙋ́ж-ъ	Смешанное склонение	nominative	singular					мꙋ́ж-ъ
§34. Образцы 1-го склонения	p034.htm	2	noun	зна́менї-е	Мягкое склонение на -їе	nominative	singular					зна́менї-е
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	genitive	singular					дꙋ́х-а
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	genitive	singular					ѻ҆́трок-а
§34. Образцы 1-го склонения	p034.htm	2	noun	мꙋ́ж-ъ	Смешанное склонение	genitive	singular					мꙋ́ж-а
§34. Образцы 1-го склонения	p034.htm	2	noun	зна́менї-е	Мягкое склонение на -їе	genitive	singular					зна́менї-ѧ
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	dative	singular					дꙋ́х-ꙋ
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	dative	singular					ѻ҆́трок-ꙋ
§34. Образцы 1-го склонения	p034.htm	2	noun	мꙋ́ж-ъ	Смешанное склонение	dative	singular					мꙋ́ж-ꙋ
§34. Образцы 1-го склонения	p034.htm	2	noun	зна́менї-е	Мягкое склонение на -їе	dative	singular					зна́менї-ю
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	accusative	singular					дꙋ́х-ъ (а)
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	accusative	singular					ѻ҆́трок-а
§34. Образцы 1-го склонения	p034.htm	2	noun	мꙋ́ж-ъ	Смешанное склонение	accusative	singular					мꙋ́ж-а
§34. Образцы 1-го склонения	p034.htm	2	noun	зна́менї-е	Мягкое склонение на -їе	accusative	singular					зна́менї-е
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	instrumental	singular					дꙋ́х-омъ
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	instrumental	singular					ѻ҆́трок-омъ
§34. Образцы 1-го склонения	p034.htm	2	noun	мꙋ́ж-ъ	Смешанное склонение	instrumental	singular					мꙋ́ж-емъ
§34. Образцы 1-го склонения	p034.htm	2	noun	зна́менї-е	Мягкое склонение на -їе	instrumental	singular					зна́менї-емъ
§34. Образцы 1-го склонения	p034.htm	2	noun	дꙋ́х-ъ	Твердое склонение на гортанный	locative	singular					дꙋ́с-ѣ
§34. Образцы 1-го склонения	p034.htm	2	noun	ѻ҆́трок-ъ	Твердое склонение на гортанный	locative	singular					ѻ҆́троц-ѣ
