# gold_token_oracle.tsv — type-level token oracle for the Elizabeth Bible (Synodal gold gate).
# generated-by: cargo xtask synodal-gold-oracle
# source: data/intermediate/synodal/ponomar-elizabeth-bible-2026-08-09.jsonl
# contract: docs/SYNODAL_GOLD_ORACLE.md
# reference-cap: 8
# rows: 58467
# body-sha256: 601d570790be658ceb6ee8b1cca7c3fcd9e72c9ee26be1d7dfecbbb565ec00e3
surface	count	non_lexical	references	confirmed_readings
Є҆́же	15		Gal.6.7,II_Cor.4.17,II_Macc.2.31,I_Jn.1.1,Lamen.3.34,Mk.14.8,Mt.10.27,Rom.6.10	
Є҆́й	7		Apoc.1.7,Apoc.14.13,Apoc.22.20,Lk.7.26,Mt.11.9,Philemon.1.20,Rom.3.29	
Є҆́ллини	1		III_Macc.3.5	
Є҆́ллинѡмъ	1		Rom.1.14	
Є҆́млеши	1		Jn.11.26	
Є҆́млѧй	1		Sirach.19.4	
Є҆́мше	2		Acts.18.17,Lk.22.54	
Є҆́рмѡна	1		III_Macc.5.24	
Є҆́рмѡнъ	1		III_Macc.5.19	
Є҆́смь	1		Wisd.7.1	
Є҆́сть	47		Deut.11.10,Eccles.5.12,Eccles.6.1,Eccles.8.14,Eccles.9.4,Eccles.10.5,Heb.11.1,II_Cor.11.10	
Є҆ве́рꙋ	1		I_Paral.1.19	
Є҆вре́є	1		II_Cor.11.22	
Є҆гда̀	39		Deut.32.8,Ezek.16.31,Ezek.18.26,Ezek.33.8,Ezek.33.13,Ezek.33.18,Hos.7.1,III_Macc.1.1	
Є҆гда́	149		Acts.7.23,Acts.8.12,Acts.8.39,Acts.12.6,Acts.21.5,Acts.21.35,Acts.27.33,Acts.27.39	
Є҆го́же	4		Acts.17.23,Heb.12.6,Jn.3.34,Philemon.1.13	
Є҆гѡ́же	4		Ezek.22.25,I_Pet.3.21,Lk.7.47,Rom.11.7	
Є҆гѵ́петъ	2		Joel.3.19,Lamen.5.6	
Є҆гѵ́птѧне	1		Isa.30.7	
Є҆да̀	72		Amos.3.3,Amos.5.25,Deut.29.18,Ezek.16.20,Ezek.18.23,Ezek.18.29,Ezek.28.3,Ezek.28.4	
Є҆да́	3		I_Cor.11.22,Isa.40.27,Jas.3.11	
Є҆два̀	1		Sirach.26.27	
Є҆два́	2		III_Macc.1.20,Rom.5.7	
Є҆ди́на	1		Wisd.7.27	
Є҆ди́но	4		Eph.4.4,II_Pet.3.8,Psalm.26.4,Sirach.42.26	
Є҆ди́номꙋ	2		Eph.4.7,Sirach.34.24	
Є҆ди́ною	3		Job.33.14,Psalm.61.11,Psalm.88.35	
Є҆ди́нъ	10		II_Esdra.3.10,II_Macc.7.2,I_Tim.2.5,Jas.4.12,Jn.11.49,Lk.17.15,Lk.23.39,Mk.14.47	
Є҆ди́нїи	1		Mt.28.16	
Є҆зекі́а	2		Mt.1.10,Sirach.48.19	
Є҆ла́мы	1		Ezek.40.31	
Є҆ламі́тє	1		Isa.22.6	
Є҆леаза́ръ	3		III_Macc.6.1,II_Macc.6.18,Mt.1.15	
Є҆леаза́рꙋ	1		III_Macc.6.15	
Є҆ли́жды	1		I_Cor.11.26	
Є҆ли́кѡ	2		Apoc.18.7,Sirach.3.18	
