normalized_type	corpus_frequency	selector
аарѡна	130	sha256-mod-20
аарѡнихъ	10	sha256-mod-20
абїе	320	sha256-mod-20
авдедомꙋ	6	sha256-mod-20
авдіина	2	sha256-mod-20
авдѡновъ	2	sha256-mod-20
авессалѡмѣ	6	sha256-mod-20
авраамлю	8	sha256-mod-20
авїа	2	sha256-mod-20
авїиловъ	2	sha256-mod-20
авїмеила	2	sha256-mod-20
авїнеемовъ	2	sha256-mod-20
авїхаила	2	sha256-mod-20
агари	6	sha256-mod-20
агг҃лѡвъ	14	sha256-mod-20
аглаи	2	sha256-mod-20
агницами	2	sha256-mod-20
адаме	4	sha256-mod-20
аддитѧнинъ	2	sha256-mod-20
аддꙋса	2	sha256-mod-20
адѡнїкамлихъ	2	sha256-mod-20
адѣ	44	sha256-mod-20
адꙋремъ	2	sha256-mod-20
аермѡна	4	sha256-mod-20
азаиль	2	sha256-mod-20
акатань	2	sha256-mod-20
алеѯандрово	4	sha256-mod-20
алеѯандромъ	2	sha256-mod-20
алеѯандрѧнинъ	2	sha256-mod-20
алой	2	sha256-mod-20
алчꙋщыѧ	4	sha256-mod-20
амана	18	sha256-mod-20
амасіа	40	sha256-mod-20
амеѳѵстомъ	2	sha256-mod-20
амнѡна	14	sha256-mod-20
аморіинꙋ	2	sha256-mod-20
амїиль	2	sha256-mod-20
амїталь	2	sha256-mod-20
ананію	2	sha256-mod-20
анахареѳъ	2	sha256-mod-20
андрамелехꙋ	2	sha256-mod-20
аннꙋ	8	sha256-mod-20
антїохѣ	4	sha256-mod-20
антїпатрідꙋ	2	sha256-mod-20
анѳѷпати	2	sha256-mod-20
апеллїа	2	sha256-mod-20
апфꙋска	2	sha256-mod-20
аравїа	1	sha256-mod-20
арама	6	sha256-mod-20
аранъ	6	sha256-mod-20
арисъ	2	sha256-mod-20
аркеѵѳѡва	2	sha256-mod-20
армѡѳъ	2	sha256-mod-20
артаѯерѯѣ	2	sha256-mod-20
арфаѯада	12	sha256-mod-20
архїерейства	8	sha256-mod-20
архїмагіромъ	2	sha256-mod-20
асаилъ	24	sha256-mod-20
асафовыми	2	sha256-mod-20
асафовыхъ	8	sha256-mod-20
асина	4	sha256-mod-20
асиромъ	2	sha256-mod-20
ассꙋира	2	sha256-mod-20
астіни	6	sha256-mod-20
асфарасомъ	2	sha256-mod-20
асѡрскъ	2	sha256-mod-20
асꙋвъ	6	sha256-mod-20
атара	2	sha256-mod-20
афелонїнъ	2	sha256-mod-20
ахазѣ	2	sha256-mod-20
ахїкамовымъ	2	sha256-mod-20
ахїсамахова	2	sha256-mod-20
ахїсаръ	2	sha256-mod-20
ахїтофелева	2	sha256-mod-20
аілъ	1	sha256-mod-20
аѡѳасꙋвъ	2	sha256-mod-20
аѵнанъ	18	sha256-mod-20
бабамъ	6	sha256-mod-20
багрѧныѧ	2	sha256-mod-20
бани	4	sha256-mod-20
башнехъ	2	sha256-mod-20
бг҃оборствовати	2	sha256-mod-20
бдите	32	sha256-mod-20
бдѣ	2	sha256-mod-20
бдѧше	4	sha256-mod-20
безводное	4	sha256-mod-20
безвременнѡ	4	sha256-mod-20
безвѣстно	2	sha256-mod-20
беззаконникъ	28	sha256-mod-20
беззаконнїи	32	sha256-mod-20
беззаконїемъ	10	sha256-mod-20
безпечаленъ	2	sha256-mod-20
безпечальныхъ	2	sha256-mod-20
безстꙋдное	2	sha256-mod-20
безцѣнный	2	sha256-mod-20
безчисленна	2	sha256-mod-20
безчисленнѣмъ	2	sha256-mod-20
бж҃їю	207	sha256-mod-20
бжⷭ҇твенныѧ	2	sha256-mod-20
благоволенїемъ	1	sha256-mod-20
благовременнѣ	2	sha256-mod-20
благовременїи	3	sha256-mod-20
благовѣствоваше	5	sha256-mod-20
благоговѣинствꙋющихъ	2	sha256-mod-20
благодаренїемъ	14	sha256-mod-20
благодѣйствꙋемыхъ	2	sha256-mod-20
благопочетъ	2	sha256-mod-20
благопрїемлюще	1	sha256-mod-20
благопрїѧтенъ	2	sha256-mod-20
благословенъ	24	sha256-mod-20
благословимь	1	sha256-mod-20
благословити	12	sha256-mod-20
благотворите	4	sha256-mod-20
благочинно	2	sha256-mod-20
благочиннѡ	4	sha256-mod-20
благоѡбразїе	2	sha256-mod-20
благꙋю	20	sha256-mod-20
блажащїи	4	sha256-mod-20
блазѣй	4	sha256-mod-20
блгⷭ҇венїѧ	17	sha256-mod-20
блгⷭ҇витъ	45	sha256-mod-20
блгⷭ҇виши	7	sha256-mod-20
блгⷭ҇влю	29	sha256-mod-20
блещащагѡсѧ	2	sha256-mod-20
