id	lemma	part_of_speech	class	stem	gender	aspect	source_id	target_recension
synodal:noun:bog	богъ	noun	first-hard-m	бог	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:grad	градъ	noun	inherited-first-hard-m	град	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:rab	рабъ	noun	first-hard-m	раб	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:selo	село	noun	first-hard-n	сел	neuter		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:zhena	жена	noun	second-hard	жен	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:zemlya	землѧ	noun	second-soft	земл	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:zapoved	заповѣдь	noun	third-f	заповѣд	feminine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:tsar	царь	noun	first-soft-m	цар	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:more	море	noun	first-soft-n	мор	neuter		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:syn	сынъ	noun	first-hard-m	сын	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:dom	домъ	noun	first-hard-m	дом	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:narod	народъ	noun	first-hard-m	народ	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:zakon	законъ	noun	first-hard-m	закон	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:khram	храмъ	noun	first-hard-m	храм	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:svet	свѣтъ	noun	first-hard-m	свѣт	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:glas	гласъ	noun	first-hard-m	глас	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:dar	даръ	noun	first-hard-m	дар	masculine		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:slovo	слово	noun	first-hard-n	слов	neuter		alypy-gamanovich-grammar-web-2023	synodal-russian
synodal:noun:mesto	мѣсто	noun	first-hard-n	мѣст	neuter		alypy-gamanovich-grammar-web-2023	synodal-russian
