review_id	lexeme_id	sense_id	lemma	part_of_speech	cell	expanded	printed	gloss	domains	semantic_source_id	semantic_candidate_id	attestation_source_id	attestation_candidate_id	citation	decision	target_recension	review_note
review:v03:00fc7dcfccbe	synodal:noun:wikt-00fc7dcfccbe	sense:v03:00fc7dcfccbe	казнь	noun	lexical-form	казнь	ка́знь	order; punishment	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:00fc7dcfccbe4be215bf3e12	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:1955b1c9170003ca18b8ab6e	Ezek.43.11	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:01ae95673081	synodal:noun:wikt-01ae95673081	sense:v03:01ae95673081	сѣчь	noun	lexical-form	сѣчь	сѣ́чь	fight	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:01ae956730817fce15f88114	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:6dcaecaca68232857d88927a	III_Kings.22.30	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:023680f16755	synodal:noun:wikt-023680f16755	sense:v03:023680f16755	избавитель	noun	lexical-form	избавитель	и҆зба́витель	redeemer	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:023680f16755a3de86f632cd	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:d7277f4507c8697e72ffcf90	III_Macc.7.20	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:0262fd349b56	synodal:preposition:wikt-0262fd349b56	sense:v03:0262fd349b56	до	preposition	indeclinable	до	до	until; up to	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:0262fd349b56ce84ebf6c7ca	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:da3be8b88f8120e9fc660a79	Acts.1.22	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:02f6e46669e2	synodal:noun:wikt-02f6e46669e2	sense:v03:02f6e46669e2	свѣтило	noun	lexical-form	свѣтило	свѣти́ло	lamp	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:02f6e46669e2730d1d3b7b1b	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:f96dffb6054c384f232fa942	Gen.1.16	rejected	synodal-russian	Rejected: surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
review:v03:0455864dfaa2	synodal:noun:wikt-0455864dfaa2	sense:v03:0455864dfaa2	пища	noun	lexical-form	пища	пи́ща	food	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:0455864dfaa20015244439b1	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:af9469b287746891fe4d724f	Dan.4.9	rejected	synodal-russian	Rejected: surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
review:v03:04f311cf0bd0	synodal:numeral:wikt-04f311cf0bd0	sense:v03:04f311cf0bd0	девѧть	numeral	lexical-form	девѧть	де́вѧть	nine	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:04f311cf0bd0609f3e08712c	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:5b4336de0d1968ad9fb1fd6e	Dan.3.47	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:04fd757a9147	synodal:noun:wikt-04fd757a9147	sense:v03:04fd757a9147	лоно	noun	lexical-form	лоно	ло́но	bosom	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:04fd757a9147a26e2815bceb	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:bcfb0bcd6e4873869fb9421a	II_Kings.12.8	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:05a4aa9772c7	synodal:noun:wikt-05a4aa9772c7	sense:v03:05a4aa9772c7	зракъ	noun	lexical-form	зракъ	зра́къ	form; look; sight	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:05a4aa9772c74e3f8944cd2c	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:f2802c824b19d6e1a46338fa	Dan.3.19	reviewed	synodal-russian	Reviewer confirmed the source-partition Synodal context and conservative OCS sense continuity; exact lexical evidence only, with no productive class inferred.
review:v03:05ba11bef72e	synodal:noun:wikt-05ba11bef72e	sense:v03:05ba11bef72e	кола	noun	lexical-form	кола	кола̀	a cart; wheels	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:05ba11bef72e1c80ab2f8383	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:68e6f7c9ffd0e55758361b0e	Sirach.26.15	rejected	synodal-russian	Rejected: surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
