claim_id	source_id	source_record	lemma	lookup_key	part_of_speech	source_class	union_identity	classification	engine_route	support_state	evidence	notes
queue:synodal:candidate:000f23872d3d7ad589889c88:synodal:candidate:26e0637656743886c397cb8e	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-601	прокаженъ	прокаженъ	unknown	untyped	proposal:synodal:candidate:000f23872d3d7ad589889c88:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:000f23872d3d7ad589889c88,synodal:candidate:26e0637656743886c397cb8e;II_Paral.26.20	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:0062518d65ebb74fa6b42fff:synodal:candidate:5e466f2d2c33cef4d8163ffc	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-378	четыренадесѧть	четыренадесѧть	unknown	untyped	proposal:synodal:candidate:0062518d65ebb74fa6b42fff:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:0062518d65ebb74fa6b42fff,synodal:candidate:5e466f2d2c33cef4d8163ffc;Ezek.43.17	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:006538964aa3ed54707e6b76:synodal:candidate:270664fa36593e2ca6c1b311	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-83	ѻрꙋжїе	ѻрꙋжїе	unknown	untyped	proposal:synodal:candidate:006538964aa3ed54707e6b76:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:006538964aa3ed54707e6b76,synodal:candidate:270664fa36593e2ca6c1b311;Apoc.19.15	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:00b0a503f9273009f7a67723:synodal:candidate:9cf5e8b5d3692ea2fbbd2fac	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-369	печать	печать	unknown	untyped	proposal:synodal:candidate:00b0a503f9273009f7a67723:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:00b0a503f9273009f7a67723,synodal:candidate:9cf5e8b5d3692ea2fbbd2fac;Apoc.6.3	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:0105b89af30fc38c07ae4a62:synodal:candidate:edd1cd5c509359724f8e4b11	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-102	столпъ	столпъ	unknown	untyped	proposal:synodal:candidate:0105b89af30fc38c07ae4a62:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:0105b89af30fc38c07ae4a62,synodal:candidate:edd1cd5c509359724f8e4b11;Deut.31.15	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:011c9d09f1a34e06ae650f70:synodal:candidate:4cdbf041747a910bb2b3fcd7	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-577	бѣгство	бѣгство	unknown	untyped	proposal:synodal:candidate:011c9d09f1a34e06ae650f70:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:011c9d09f1a34e06ae650f70,synodal:candidate:4cdbf041747a910bb2b3fcd7;Heb.11.34	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:012b4d565814d8e2513f08c5:synodal:candidate:6e183ca1e4d847a2f9893624	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-436	єламъ	єламъ	unknown	untyped	proposal:synodal:candidate:012b4d565814d8e2513f08c5:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:012b4d565814d8e2513f08c5,synodal:candidate:6e183ca1e4d847a2f9893624;Ezek.32.24	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:01be3cda5925991ebda90a48:synodal:candidate:02830f221ed579c10f06ed3e	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-498	ѳамарь	ѳамарь	unknown	untyped	proposal:synodal:candidate:01be3cda5925991ebda90a48:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:01be3cda5925991ebda90a48,synodal:candidate:02830f221ed579c10f06ed3e;Gen.38.6	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:024046aa5c47b73377d1d85a:synodal:candidate:914b9f9600c201668f8b24f9	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-890	навалъ	навалъ	unknown	untyped	proposal:synodal:candidate:024046aa5c47b73377d1d85a:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:024046aa5c47b73377d1d85a,synodal:candidate:914b9f9600c201668f8b24f9;II_Kings.3.34	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:0278bc762cf58234e116d526:synodal:candidate:656e1ed732caebe1e294209a	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-935	ѿвратити	ѿвратити	unknown	untyped	proposal:synodal:candidate:0278bc762cf58234e116d526:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:0278bc762cf58234e116d526,synodal:candidate:656e1ed732caebe1e294209a;Deut.13.10	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:031a085f5591330d197eb802:synodal:candidate:d46f5a618de77aec4fa24562	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-57	добро	добро	unknown	untyped	proposal:synodal:candidate:031a085f5591330d197eb802:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:031a085f5591330d197eb802,synodal:candidate:d46f5a618de77aec4fa24562;Deut.12.25	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:03719026254667590cb4901f:synodal:candidate:b78ad8f140a0d0344864dc1c	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-135	єдиною	єдиною	unknown	untyped	proposal:synodal:candidate:03719026254667590cb4901f:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:03719026254667590cb4901f,synodal:candidate:b78ad8f140a0d0344864dc1c;Deut.9.13	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:03dcbd59260ea45077441d1c:synodal:candidate:0a50b4711362520b87db7c78	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-333	дыханїе	дыханїе	unknown	untyped	proposal:synodal:candidate:03dcbd59260ea45077441d1c:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:03dcbd59260ea45077441d1c,synodal:candidate:0a50b4711362520b87db7c78;Acts.17.25	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:03e30ac64ef9d24e0e33b9e1:synodal:candidate:793fa9feda6058582f0559c6	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-39	малѡ	малѡ	unknown	untyped	proposal:synodal:candidate:03e30ac64ef9d24e0e33b9e1:unknown	ambiguous	cross-source-homograph-ambiguity	evidence-final	synodal:candidate:03e30ac64ef9d24e0e33b9e1,synodal:candidate:793fa9feda6058582f0559c6;Acts.5.34	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
queue:synodal:candidate:03ef9178547c191506dc9053:synodal:candidate:b9a0633513af50a4fabc8b05	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-112	вѣчный	вѣчный	unknown	untyped	proposal:synodal:candidate:03ef9178547c191506dc9053:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:03ef9178547c191506dc9053,synodal:candidate:b9a0633513af50a4fabc8b05;Baruch.4.10	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:04459f48d81fe8c07068c961:synodal:candidate:54a65ee1c659a946f9ddd6df	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-832	содержати	содержати	unknown	untyped	proposal:synodal:candidate:04459f48d81fe8c07068c961:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:04459f48d81fe8c07068c961,synodal:candidate:54a65ee1c659a946f9ddd6df;Dan.7.18	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:0447b3e8448b75ec24b51f3b:synodal:candidate:a9fd6c233382111b17dce604	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-266	аса	аса	unknown	untyped	proposal:synodal:candidate:0447b3e8448b75ec24b51f3b:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:0447b3e8448b75ec24b51f3b,synodal:candidate:a9fd6c233382111b17dce604;III_Kings.15.9	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:045e9a4818cf374071c30d69:synodal:candidate:6ddaccf5c467f12f94f4bc1f	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-484	ново	ново	unknown	untyped	proposal:synodal:candidate:045e9a4818cf374071c30d69:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:045e9a4818cf374071c30d69,synodal:candidate:6ddaccf5c467f12f94f4bc1f;Apoc.2.17	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:048bd5dc5690fc67286e14e1:synodal:candidate:77356b6021e64e0ae4948a25	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-983	оубогїй	оубогїй	unknown	untyped	proposal:synodal:candidate:048bd5dc5690fc67286e14e1:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:048bd5dc5690fc67286e14e1,synodal:candidate:77356b6021e64e0ae4948a25;Prov.28.11	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:04ed191de70e328c123140c0:synodal:candidate:bac6d8a8771694ef83dc73c1	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-414	ѡбратитисѧ	ѡбратитисѧ	unknown	untyped	proposal:synodal:candidate:04ed191de70e328c123140c0:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:04ed191de70e328c123140c0,synodal:candidate:bac6d8a8771694ef83dc73c1;Acts.26.20	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:05023c0eebf96516a53e6d85:synodal:candidate:8a2f9026535bbc23cd4dc2a9	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-90	лꙋкавое	лꙋкавое	unknown	untyped	proposal:synodal:candidate:05023c0eebf96516a53e6d85:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:05023c0eebf96516a53e6d85,synodal:candidate:8a2f9026535bbc23cd4dc2a9;Deut.17.2	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:050e320a856b95033b3c2d9d:synodal:candidate:aa6d51b3c3e874d0fe5c446f	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-766	єфї	єфї	unknown	untyped	proposal:synodal:candidate:050e320a856b95033b3c2d9d:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:050e320a856b95033b3c2d9d,synodal:candidate:aa6d51b3c3e874d0fe5c446f;Ezek.45.13	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:0547aa725c8e3646d0025b39:synodal:candidate:73e9bbbea792f5cfe5c378c4	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-292	лїванъ	лїванъ	unknown	untyped	proposal:synodal:candidate:0547aa725c8e3646d0025b39:unknown	ambiguous	cross-source-homograph-ambiguity	evidence-final	synodal:candidate:0547aa725c8e3646d0025b39,synodal:candidate:73e9bbbea792f5cfe5c378c4;Ezek.17.3	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
queue:synodal:candidate:058e0900e78e17a4c60c1e80:synodal:candidate:9c95125b0ed4b4efd3abccc2	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-322	мꙋжескїй	мꙋжескїй	unknown	untyped	proposal:synodal:candidate:058e0900e78e17a4c60c1e80:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:058e0900e78e17a4c60c1e80,synodal:candidate:9c95125b0ed4b4efd3abccc2;Ex.1.16	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:05c92e26a517a5b2358d93b9:synodal:candidate:26ab57bf04c3b2d27762de16	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-173	іеровоамъ	іеровоамъ	unknown	untyped	proposal:synodal:candidate:05c92e26a517a5b2358d93b9:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:05c92e26a517a5b2358d93b9,synodal:candidate:26ab57bf04c3b2d27762de16;Amos.7.11	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:05ee80aa57d146f2a4f8a330:synodal:candidate:cd5934ff7158bc7c5f18571a	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-506	величїе	величїе	unknown	untyped	proposal:synodal:candidate:05ee80aa57d146f2a4f8a330:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:05ee80aa57d146f2a4f8a330,synodal:candidate:cd5934ff7158bc7c5f18571a;Deut.32.3	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:05f01673bcad531ca8ec1ab9:synodal:candidate:89cfed9aa9209af227568f06	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-555	наю	наю	unknown	untyped	proposal:synodal:candidate:05f01673bcad531ca8ec1ab9:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:05f01673bcad531ca8ec1ab9,synodal:candidate:89cfed9aa9209af227568f06;Acts.15.38	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:06243c79b5cc3edcae47af35:synodal:candidate:df199e8f0a259fe57b7c94e4	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-158	послѣди	послѣди	unknown	untyped	proposal:synodal:candidate:06243c79b5cc3edcae47af35:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:06243c79b5cc3edcae47af35,synodal:candidate:df199e8f0a259fe57b7c94e4;Dan.2.39	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:06369695de507202378cbc18:synodal:candidate:2f9078db8df0f7c91dd0c6f9	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-46	смерть	смерть	unknown	untyped	proposal:synodal:candidate:06369695de507202378cbc18:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:06369695de507202378cbc18,synodal:candidate:2f9078db8df0f7c91dd0c6f9;Amos.4.10	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:066c35eb179e46dc8d38467e:synodal:candidate:dc35874e65ff191cf784100d	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-707	требꙋетъ	требꙋетъ	unknown	untyped	proposal:synodal:candidate:066c35eb179e46dc8d38467e:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:066c35eb179e46dc8d38467e,synodal:candidate:dc35874e65ff191cf784100d;Deut.15.10	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:068ed098964ed5bc5061e008:synodal:candidate:a1ec3bd6a6626557225f7a35	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-137	вспѧть	вспѧть	unknown	untyped	proposal:synodal:candidate:068ed098964ed5bc5061e008:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:068ed098964ed5bc5061e008,synodal:candidate:a1ec3bd6a6626557225f7a35;Gen.9.23	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:06a9ba95b08d9fe301a84ab0:synodal:candidate:183d1617df0790d0c2e3e6bb	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-311	іꙋдейскїй	іꙋдейскїй	unknown	untyped	proposal:synodal:candidate:06a9ba95b08d9fe301a84ab0:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:06a9ba95b08d9fe301a84ab0,synodal:candidate:183d1617df0790d0c2e3e6bb;Acts.17.10	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:072ef5e5cd4e4e0267ddd23a:synodal:candidate:131e581be7ca08001d8822f6	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-792	долгъ	долгъ	unknown	untyped	proposal:synodal:candidate:072ef5e5cd4e4e0267ddd23a:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:072ef5e5cd4e4e0267ddd23a,synodal:candidate:131e581be7ca08001d8822f6;Deut.15.2	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:074306653e86a89b6a4cdabe:synodal:candidate:a205d5145cbaa6aa48f0076c	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-309	соглѧданїе	соглѧданїе	unknown	untyped	proposal:synodal:candidate:074306653e86a89b6a4cdabe:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:074306653e86a89b6a4cdabe,synodal:candidate:a205d5145cbaa6aa48f0076c;Num.1.21	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
queue:synodal:candidate:074e201ab27635a0e78831bd:synodal:candidate:bdbba8780a83592e3e51bd52	english-wiktionary-ocs-kaikki-2026-08-07+ponomar-elizabeth-bible-2026-08-09	queue-rank-464	іефѳай	іефѳай	unknown	untyped	proposal:synodal:candidate:074e201ab27635a0e78831bd:unknown	disputed	cross-recension-identity-unconfirmed	evidence-final	synodal:candidate:074e201ab27635a0e78831bd,synodal:candidate:bdbba8780a83592e3e51bd52;Judg.11.1	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
