lexeme_id	system	value	formation	evidence_id	target_recension
synodal:verb:nesti	present-first-singular	несꙋ		alypy-82-nesti	synodal-russian
synodal:verb:nesti	present-third-plural	несꙋтъ		alypy-82-nesti	synodal-russian
synodal:verb:nesti	imperfect-stem	нес	yah	alypy-87-nesti-pattern	synodal-russian
synodal:verb:nesti	aorist-stem	нес	consonant	alypy-86-nesti	synodal-russian
synodal:verb:nesti	imperative-stem	нес	first-unpalatalized	alypy-93-first-conjugation	synodal-russian
synodal:verb:nesti	l-participle-stem	нес		alypy-97-nesti	synodal-russian
synodal:verb:nesti	present-active-participle-long-stem	несꙋщ	hard	alypy-95-nesti-present-active	synodal-russian
synodal:verb:nesti	past-active-participle-long-stem	несш	hard	alypy-96-nesti-past-active	synodal-russian
synodal:verb:nesti	present-passive-participle-short-stem	несом	hard	alypy-99-nesti-present-passive	synodal-russian
synodal:verb:nesti	present-passive-participle-long-stem	несом	hard	alypy-99-nesti-present-passive	synodal-russian
synodal:verb:nesti	past-passive-participle-short-stem	несен	hard	alypy-100-nesti-past-passive	synodal-russian
synodal:verb:nesti	past-passive-participle-long-stem	несенн	hard	alypy-100-nesti-past-passive	synodal-russian
synodal:verb:pisati	present-first-singular	пишꙋ		alypy-82-pisati	synodal-russian
synodal:verb:pisati	present-third-plural	пишꙋтъ		alypy-82-pisati	synodal-russian
synodal:verb:pisati	imperfect-stem	писа	h	alypy-87-pisati	synodal-russian
synodal:verb:pisati	aorist-stem	писа	vowel	alypy-86-pisati	synodal-russian
synodal:verb:pisati	imperative-stem	пиш	i-series	alypy-93-first-palatalized	synodal-russian
synodal:verb:pisati	l-participle-stem	писа		alypy-97-general	synodal-russian
synodal:verb:lyubiti	present-first-singular	люблю		alypy-82-lyubiti	synodal-russian
synodal:verb:lyubiti	present-third-plural	любѧтъ		alypy-82-lyubiti	synodal-russian
synodal:verb:lyubiti	imperfect-stem	любл	yah	alypy-87-lyubiti	synodal-russian
synodal:verb:lyubiti	aorist-stem	люби	vowel	alypy-86-lyubiti	synodal-russian
synodal:verb:lyubiti	imperative-stem	люб	i-series	alypy-93-second-conjugation	synodal-russian
synodal:verb:lyubiti	l-participle-stem	люби		alypy-97-general	synodal-russian
synodal:adjective:mudr	comparative-stem	мꙋдрѣйш	soft-comparison	alypy-58-mudr-comparative	synodal-russian
synodal:verb:dati	l-participle-stem	да		alypy-103-dati-other	synodal-russian
synodal:verb:dati	past-active-participle-long-stem	давш	hard	alypy-103-dati-other	synodal-russian
synodal:verb:dati	past-passive-participle-short-stem	дан	hard	alypy-103-dati-other	synodal-russian
synodal:verb:dati	past-passive-participle-long-stem	данн	hard	alypy-103-dati-other	synodal-russian
