lexeme_id	sense_id	gloss	domains	source_id	source_recension	semantic_status
synodal:adjective:blazhenn	sense:blessed	blessed; beatified	religion,quality	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:bozhii	sense:v05:adjective:bozhii	divine; God's	religion,relation	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:adjective:gospoden	sense:v05:adjective:gospoden	of the Lord; Lord's	religion,relation	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:adjective:greshn	sense:sinful	sinful	religion,quality	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:mudr	sense:wise	wise; prudent	quality	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:nebesn	sense:heavenly	heavenly; celestial	religion,place	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:pravedn	sense:righteous	righteous; just	religion,quality	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:svyat	sense:holy	holy; sacred	religion,quality	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:adjective:v06-israel	sense:v06:israel-adjective	of Israel; Israelite	place,people,relation	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:adjective:vechn	sense:eternal	eternal; everlasting	time,religion	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:determiner:sam	sense:self	self; the same person or thing	determination,emphasis	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:determiner:ves	sense:all-whole	all; whole; every member of a set	determination,quantity	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:determiner:vsyak	sense:every	every; each	determination,distributive	alypy-gamanovich-grammar-web-2023	synodal-russian	normative
synodal:noun:bog	sense:deity:christian	God; the Christian deity	religion,person	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:noun:dar	sense:gift	gift; offering	religion,society	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:noun:delo	sense:deed	deed; work	action,society	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:noun:dom	sense:house	house; household	place,society	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
synodal:noun:glas	sense:voice	voice; sound	body,communication	dyachenko-1900-scan	mixed	reviewed-with-synodal-corpus
