review_id	lexeme_id	sense_id	lemma	part_of_speech	cell	expanded	printed	gloss	domains	semantic_source_id	semantic_candidate_id	attestation_source_id	attestation_candidate_id	citation	decision	target_recension	review_note
review:v07:01ada09c0128bf6f	synodal:noun:v07-0623a17d2a0d20e9	sense:v07:01ada09c0128bf6f	носила	noun	lexical-form	нѡсила	носи̑ла	bier	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:149f5ba72213ecec8f0c2271	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:193b695e66eb2e799c4db3db	Num.4.11	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:03b44b4bfc2f3e3e	synodal:noun:v07-2e0b234368d01c83	sense:v07:03b44b4bfc2f3e3e	послѣдъкъ	noun	lexical-form	послѣдокъ	послѣ́докъ	end	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:28c28c1929d24971c727d0c5	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:0008505f1a0cc25683f049ae	Prov.29.21	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:03c236251a5fb8e9	synodal:verb:v07-26db71c2e6acc4ef	sense:v07:03c236251a5fb8e9	запрѣтити	verb	lexical-form	запрети	Запретѝ	to threaten, to rebuke	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:bd292251993e773428a2b6a8	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:c448a1f26d4ef196f7c8441b	Psalm.67.31	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:071b5956795448a7	synodal:noun:v07-b53e7604042245c2	sense:v07:071b5956795448a7	дръжава	noun	lexical-form	державꙋ	Держа́вꙋ	kingdom; power; rule	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:0dbf3ba9be8250cf02eaf1e5	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:e766f15e32bdc353d4966fa2	Sirach.18.4	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:0923853fe8af5070	synodal:noun:v07-29c233edb918ef36	sense:v07:0923853fe8af5070	листвиѥ	noun	lexical-form	листвїе	ли́ствїе	foliage, leaves	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:cb962de3ceb77eed6f9d2118	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:1fada4157ba162f41cb98a4b	Dan.4.11	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:09fe497cb63183f2	synodal:noun:v07-d5b38bd0a6c28441	sense:v07:09fe497cb63183f2	пища	noun	lexical-form	пищи	пи́щи	food	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:0455864dfaa20015244439b1	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:062352504fcff6c28520afb8	Gen.42.2	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:0a0d8395b3a775d2	synodal:noun:v07-d31d3385a372b942	sense:v07:0a0d8395b3a775d2	дроужьба	noun	lexical-form	дрꙋжбꙋ	дрꙋ́жбꙋ	friendship	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:15be573304bce13f20457777	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:0ecf57f64cb2b47bd6745f77	I_Macc.10.20	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:0b2a4cc8b57dd259	synodal:noun:v07-9c2563bd3383fa6d	sense:v07:0b2a4cc8b57dd259	лѫкавьство	noun	lexical-form	лꙋкавство	лꙋка́вство	badness	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:7f1f9945d7b9166d16983742	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:07293ffb7be3f7da185ccb3c	III_Esdra.4.29	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
review:v07:0b5a9c05df141d53	synodal:verb:v07-07d6add8c23cfc1e	sense:v07:0b5a9c05df141d53	готовити	verb	lexical-form	готови	гото́ви	to prepare	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:21e1dfed5a8ebea41fdd9eb5	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:3289189924994676a1deb9e3	I_Macc.13.37	rejected	synodal-russian	Corrective contextual review found I_Macc.13.37 uses готови as a predicative plural adjective, not an imperative form of готовити.
review:v07:0dd0aba3f389687e	synodal:noun:v07-585307dd05dff9c9	sense:v07:0dd0aba3f389687e	грѣшьникъ	noun	lexical-form	грѣшницы	грѣ̑шницы	sinner	general	english-wiktionary-ocs-kaikki-2026-08-07	synodal:candidate:3f1670c8afaab85acb0ea017	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:03a315be23eb64fabf6446e0	Jude.1.15	reviewed	synodal-russian	Reviewer confirmed the source-partition lexical and semantic identity, the independent exact Synodal whole-token witness, and the bounded historical spelling continuity. Only the separately listed exact cells are admitted.
