owner_id	lexeme_id	cell	expanded	printed	evidence_id	source_kind	target_recension	evaluation_id	policy	evaluation_expanded	evaluation_printed	evaluation_source_id	evaluation_passage	evaluation_regularity	source_candidate_id
eval:identity-correction:on-acc-dual-masculine	synodal:pronoun:on	pronoun:accusative:dual:masculine:none:any	ѡна	Ѡ҆́на	v07-source-9b359bf0cde1b708,v07-target-b7d8375a3ad7cf2a	synodal-attestation	synodal-russian	eval:identity-correction:on-acc-dual-masculine	strict	ѡна	Ѡ҆́на	ponomar-elizabeth-bible-2026-08-09	Lk.24.19	v07-reviewed-identity-correction	synodal:candidate:08f98d27deaeeb23b50a86a3
v07-exact-003e6716e9dbfb3b	synodal:pronoun:wikt-abc6b7472112	pronoun:nominative:plural:feminine:none:any	ины	и҆́ны	v07-source-80c65e35ce25632b,v07-target-fb0d286ba661fa67	synodal-attestation	synodal-russian	eval:v07:8e84dfe1271a6bcb	strict	ины	и҆́ны	ponomar-elizabeth-bible-2026-08-09	II_Paral.30.23	v07-held-out-exact-cell	synodal:candidate:0a7e9d3fddfc1b1ee48aef2f
v07-exact-007948bc88e93ffa	synodal:noun:wikt-776662ef739b	noun:accusative:plural:inanimate	ложа	ло́жа	v07-source-ab3ba0efde00c712,v07-target-66373e54684b02ed	synodal-attestation	synodal-russian	eval:v07:6591e232eadc4331	strict	ложа	ло́жа	ponomar-elizabeth-bible-2026-08-09	Num.31.35	v07-held-out-exact-cell	synodal:candidate:776662ef739ba38126a3148b
v07-exact-00f2c7772486b1b2	synodal:verb:wikt-332544509d0c	aorist:third:plural	принесоша	принесо́ша	v07-source-73c295fca823ad84,v07-target-e333ddd02cd6c15e	synodal-attestation	synodal-russian	eval:v07:59e2b0b88ed21d88	strict	принесоша	принесо́ша	ponomar-elizabeth-bible-2026-08-09	Lev.9.9	v07-held-out-exact-cell	synodal:candidate:231f75197f4e8f1e733de998
v07-exact-010588105c8763b9	synodal:noun:v07-068fabd47d16b7a4	noun:accusative:singular:inanimate	жертвꙋ	же́ртвꙋ	review:v07:750e64d19d38365c,v07-source-86aba8b2688ff718,v07-target-2e9d1c2cd1a67873	synodal-attestation	synodal-russian	eval:v07:bd5cb537fece67cf	strict	жертвꙋ	же́ртвꙋ	ponomar-elizabeth-bible-2026-08-09	IV_Kings.10.21	v07-held-out-exact-cell	synodal:candidate:5fa82af4a55e390f4839b6de
v07-exact-01200168c4299c27	synodal:noun:v06-e75e4ecfdf94b8aa	noun:accusative:singular:inanimate	дверь	две́рь	v07-source-8bbae09bad17cb0c,v07-target-cba95c04996f0dc7	synodal-attestation	synodal-russian	eval:v07:0ac03699b89136d2	strict	дверь	две́рь	ponomar-elizabeth-bible-2026-08-09	Acts.14.27	v07-held-out-exact-cell	synodal:candidate:24951df3cce92902c7b35929
v07-exact-013370b982ce5c78	synodal:pronoun:v07-97002c43d9dd87c3	pronoun:nominative:singular:masculine:none:any	ѻвъ	Ѻ҆́въ	review:v07:11488e3e30e5d479,v07-source-b01c24132592c379,v07-target-4aaf78258c47aaa8	synodal-attestation	synodal-russian	eval:v07:d997aea9268f9025	strict	ѻвъ	Ѻ҆́въ	wikisource-church-slavonic-bible-2026-08-09	Job.21.25	v07-held-out-exact-cell	synodal:candidate:eb906f1140d6ab5998e66b01
v07-exact-019616e12f2c9cb5	synodal:verb:wikt-5429d2b94873	aorist:third:plural	изгнаша	и҆згна́ша	v07-source-85e7f09ffb85f1ad,v07-target-9b356eafbb7473d8	synodal-attestation	synodal-russian	eval:v07:c59eb451de598d2e	strict	изгнаша	и҆згна́ша	ponomar-elizabeth-bible-2026-08-09	Lk.20.12	v07-held-out-exact-cell	synodal:candidate:df7908a13a3f90ed1e916737
v07-exact-01aca0c6105873a6	synodal:noun:yazyk	noun:accusative:singular:inanimate	ꙗзыкъ	ꙗ҆зы́къ	v07-source-3dae715365e3fab0,v07-target-f39919c603498cdc	synodal-attestation	synodal-russian	eval:v07:69408f723cfff61f	strict	ꙗзыкъ	ꙗ҆зы́къ	ponomar-elizabeth-bible-2026-08-09	Isa.14.6	v07-held-out-exact-cell	synodal:candidate:64587eab40d86d132918b00f
v07-exact-01b6f23aa3a5ffcf	synodal:noun:v07-db06c7a6afdd2e88	noun:nominative:singular:animate	дщи	Дщѝ	review:v07:393f555427271d07,v07-source-38b45f74db3adbf8,v07-target-f9397ead89569090	synodal-attestation	synodal-russian	eval:v07:416ca0bdd73e89d9	strict	дщи	Дщѝ	ponomar-elizabeth-bible-2026-08-09	Jerem.6.26	v07-held-out-exact-cell	synodal:candidate:64a90c0b0e4c66d432ab2467
v07-exact-01bc9d8bd6cb1e43	synodal:noun:wikt-0e8f360a6d3d	noun:accusative:plural:inanimate	мѧса	мѧ́са	v07-source-7dfe46475242a86c,v07-target-c549bbc7d5ee982b	synodal-attestation	synodal-russian	eval:v07:a481ef67b1aada43	strict	мѧса	мѧ́са	ponomar-elizabeth-bible-2026-08-09	Lev.8.31	v07-held-out-exact-cell	synodal:candidate:7d50df4138d2126fa3167fef
v07-exact-01d16c4ce83b899f	synodal:noun:v07-2c68091f0a79b3b2	noun:instrumental:plural:inanimate	ѡпрѣсноки	ѡ҆прѣсно́ки	review:v07:f69b4b32c04f044b,v07-source-630b052e30ee6277,v07-target-0e421b923d13ecaa	synodal-attestation	synodal-russian	eval:v07:b631822147dffa07	strict	ѡпрѣсноки	ѡ҆прѣсно́ки	ponomar-elizabeth-bible-2026-08-09	Ex.12.8	v07-held-out-exact-cell	synodal:candidate:108ca99a5741a82fb7591803
