review_id	syntacticus_lemma	part_of_speech	semantic_source_id	semantic_candidate_id	source_passage	reviewed_headword	gloss	decision	reviewer	reviewed_at	review_note
semantic:v07:blagodat	благодать	noun	dyachenko-1900-scan	synodal:candidate:7c52a4996bfe1704689013fd	page 79; bbox=25,904,768,50	Благодать	grace; mercy	reviewed	codex	2026-08-11	The source line visibly identifies Благодать and begins its numbered definition with милость; OCR noise outside the headword and gloss is not used.
semantic:v07:daughter	дъщи	noun	dyachenko-1900-scan	synodal:candidate:7e8ffdfb5828e55ff2b8e851	page 187; bbox=88,1245,712,42	дщерь	daughter	reviewed	codex	2026-08-11	The source line explicitly equates modern Дочь with Church Slavonic дщерь; the reviewed historical lemma correspondence is bounded to дъщи and does not license other derivatives.
semantic:v07:stone	камꙑ	noun	dyachenko-1900-scan	synodal:candidate:3f4d97a87a891df937258e57	page 281; bbox=29,678,769,48	камы	stone	reviewed	codex	2026-08-11	The source line explicitly gives Old Slavonic камы and defines it as камень; this supplies identity and meaning only, while Syntacticus supplies each admitted typed cell.
semantic:v07:beginning	начало	noun	dyachenko-1900-scan	synodal:candidate:137b9515a6ce817356a19251	page 376; bbox=33,521,760,53	Начало	beginning; origin	reviewed	codex	2026-08-11	The source line has the clear headword Начало and begins the definition первое начало; only the reviewed noun identity is admitted.
semantic:v07:prince	кънязь	noun	dyachenko-1900-scan	synodal:candidate:775fb08bdeb0b8a5daa1dc08	page 678; bbox=897,1756,718,40	князь	prince; ruler	reviewed	codex	2026-08-11	The source line explicitly glosses князья as владетели and князи as правители; the internal-yer historical correspondence to Syntacticus кънязь is reviewed separately.
semantic:v07:child	чадо	noun	dyachenko-1900-scan	synodal:candidate:a92c96dbdc794f5cbc558ac8	page 846; bbox=39,599,760,56	Чадо	child; son	reviewed	codex	2026-08-11	The source line clearly gives Чадо and defines it as дитя, сынъ; the identity is animate and no unattested paradigm is inferred.
semantic:v07:part	часть	noun	dyachenko-1900-scan	synodal:candidate:39584b66972d56db7ac81020	page 848; bbox=62,404,1534,67	Часть	part; share; lot	reviewed	codex	2026-08-11	Despite preceding OCR spill, the source line clearly gives Часть and the glosses участь, доля, жребий; only this noun identity is admitted.
semantic:v07:solomon	соломонъ	proper-noun	dyachenko-1900-scan	synodal:candidate:7e1699258b3666a0d787f1e5	page 1146; bbox=30,941,753,55	Соломон	Solomon; king of Israel	reviewed	codex	2026-08-11	The source line identifies Соломон as царь израильский; the terminal-yer correspondence and proper-name capitalization are reviewed per exact target witness.
semantic:v07:blood	кръвь	noun	dyachenko-1900-scan	synodal:candidate:5464dd971dc47399bbe787ea	page 1065; bbox=26,497,763,52	Кръвь	blood	reviewed	codex	2026-08-11	The pinned page image clearly reads Кръвь (древ. слав.) = кровь; the review corrects only OCR confusion in the printed headword and licenses this noun identity, while Syntacticus supplies every admitted typed cell.
semantic:v07:create	сътворити	verb	dyachenko-1900-scan	synodal:candidate:4751c0b47cd6eb40e766cdb5	page 733; bbox=842,1886,767,39	Сътварѧти, сътворити	to create; make; accomplish	reviewed	codex	2026-08-11	The pinned page image clearly gives Сътварѧти, сътворити and defines the verbs as творить, дѣлать, совершать; the review corrects bounded OCR errors and does not infer principal parts or a productive class.
semantic:v07:sheep	овьца	noun	dyachenko-1900-scan	synodal:candidate:ac5d8b92cff10eb792b7d60b	page 1104; bbox=34,769,760,39	Овьца	sheep	reviewed	codex	2026-08-11	The pinned page image clearly reads Овьца (ст.-слав.) = овца; only the lexical and semantic identity is licensed, with exact target morphology reviewed separately.
semantic:v07:ark	кивотъ	noun	dyachenko-1900-scan	synodal:candidate:46b91884891540a0f9d1efcd	page 294; bbox=845,219,761,54	Ковчегъ	ark; ark of the covenant	reviewed	codex	2026-08-11	The pinned page image defines Ковчегъ as кивотъ (завѣта), explicitly establishing the synonym and meaning used for the Syntacticus lemma кивотъ; it does not license any cell without separate typed morphology.
semantic:v07:command	заповѣдати	verb	dyachenko-1900-scan	synodal:candidate:861b5c2b0771755107cf638d	page 233; bbox=30,525,766,66	Заповѣдаю	to command; order; enjoin	reviewed	codex	2026-08-11	The pinned scan visibly gives Заповѣдаю and defines it with распоряжаюсь, предписываю, and приказываю; the first-person headword establishes the reviewed verb identity, while Syntacticus supplies every admitted typed cell.
semantic:v07:boundary	прѣдѣлъ	noun	dyachenko-1900-scan	synodal:candidate:a9731c8481a1d7f01401cfc1	page 522; bbox=855,392,771,79	Предѣлъ	boundary; limit; ordinance	reviewed	codex	2026-08-11	The pinned scan clearly gives Предѣлъ and definitions including граница and рубежъ; this review corrects bounded OCR noise and the historical weak-yer correspondence, while typed cells still come from Syntacticus.
semantic:v07:righteousness	правьда	noun	dyachenko-1900-scan	synodal:candidate:60ea154b25acaa0f986348e2	page 510; bbox=858,318,766,57	Правда	justice; righteousness; law	reviewed	codex	2026-08-11	The pinned scan clearly gives Правда and definitions including законъ, законный поступокъ, and добродѣтель; the internal-yer correspondence to Syntacticus правьда is explicitly reviewed and does not license other derivatives.
