review_id	lane	lexeme_id	sense_id	cell	expanded	printed	base_printed	base_evidence_id	predicted_unique_tokens	source_id	source_candidate_id	source_passage	evaluation_source_id	evaluation_candidate_id	evaluation_passage	decision	review_note
variant:v07:vosta	exact-form	synodal:verb:v07-c86c24d867ae77d6		aorist:third:singular	воста	воста̀	Воста́	review:v07:7def60fbe2720be0,v07-source-ca19c60b16107f25,v07-target-3409c5e197d45808	409	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:539f3e495c19a2bc1e6c955c	Acts.5.36	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:4601805dd3a9e8334146d893	Dan.3.91	admitted	The existing reviewed aorist cell is retained exactly; independent source and held-out passages confirm the lowercase varia surface, and no accent-generalization rule is inferred.
variant:v07:sozda	exact-form	synodal:verb:v07-8121e6caa4d6daa8		aorist:third:singular	созда	созда̀	Созда́	review:v07:226c8a23492401a8,v07-source-17cfb18453393489,v07-target-5c10c3fdbf686f6f	292	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:6e1bf687e94098a7e1a16a74	II_Paral.16.6	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:404ae8b3237f84c366f0d699	Ex.24.4	admitted	The existing reviewed aorist cell is retained exactly; independent source and held-out passages confirm the lowercase varia surface, and no accent-generalization rule is inferred.
variant:v07:grehi	exact-form	synodal:noun:wikt-f7edd7b689ae		noun:accusative:plural:inanimate	грѣхи	грѣхѝ	грѣ́хи	v07-source-771c18cc93efc2cd,v07-target-701f3850aedd5d79	291	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:70b8504a367c3a0cb73b7e06	Baruch.4.12	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:7d4cb784068a39685fb8677f	Acts.22.16	admitted	The governed accusative plural cell is unchanged; both passage-disjoint witnesses use the reviewed varia surface in an accusative-plural context.
variant:v07:porazi	exact-form	synodal:verb:v07-eb0cb66022096836		aorist:third:singular	порази	поразѝ	порази́	review:v07:2e3ea04fe258a8c0,v07-source-623a5953c7539c8d,v07-target-efd6a397f25ff522	259	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:d590be5ebbb5cc523816dc0f	Acts.12.23	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:ed0754ee2b28061045dc3bd6	Gen.14.15	admitted	The existing reviewed third-singular aorist cell is retained; both witnesses contain the varia form with an explicit third-person subject.
variant:v07:sobra	exact-form	synodal:verb:v07-553feeb14b8be67e		aorist:third:singular	собра	собра̀	Собра́	review:v07:132597ac0246a38b,v07-source-1a07b7ced0cb2ae5,v07-target-b44d0aedb66110cf	186	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:883901b28f820ee884518bea	Apoc.16.16	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:51b92db80c918ae29f137750	III_Kings.8.1	admitted	The existing reviewed third-singular aorist cell is retained; independent passages confirm the lowercase varia surface.
variant:v07:vozopi	exact-form	synodal:verb:v07-b757a2b889b8be98		aorist:third:singular	возопи	возопѝ	Возопи́	review:v07:9641313236bc8966,v07-source-578412d8947043c5,v07-target-f33a06008b639709	157	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:964d307ffba05f3d7a85317e	Acts.7.60	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:bb5616a8c338a8b0cd00cbbd	Apoc.10.3	admitted	The existing reviewed third-singular aorist cell is retained; independent passages confirm the lowercase varia surface.
variant:v07:vragi	exact-form	synodal:noun:wikt-6581de9ff070		noun:accusative:plural:animate	враги	врагѝ	враги̑	v07-source-5b173d0ed3d7d4e8,v07-target-53d9cf757dbe5db8	151	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:3de546464abaf18f1b15163a	Acts.2.35	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:50dd1fb53792526e86cd8fe7	Deut.23.14	admitted	The reviewed animate accusative plural cell is unchanged; the two independent target passages confirm the varia surface in governed object position.
variant:v07:uzhe-digraph	exact-form	synodal:adverb:wikt-0f90480ac003		indeclinable	ѹже	ѹ҆жѐ	Ѹ҆же́	v07-source-f43a7983552d6c88,v07-target-2b03cce4d1f27ad0	149	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:0fc67a1b7f62027d1f18b89c	Job.15.21	wikisource-church-slavonic-bible-2026-08-09	synodal:candidate:25e5d329e626f6068f9662af	II_Pet.3.1	admitted	The reviewed indeclinable adverb identity is unchanged; exact source and held-out witnesses confirm the lowercase varia spelling.
variant:v07:uzhe-monograph	exact-form	synodal:adverb:wikt-0f90480ac003		indeclinable	ᲂуже	ᲂу҆жѐ	ᲂу҆́же	v07-source-b82d6e98c9f19b41,v07-target-43fa1b77ed6db8b2	140	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:bfae9041d88f39b2efa68606	Acts.4.3	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:2b8dcf6b6e5d24b75e6e24ea	Acts.27.9	admitted	The reviewed indeclinable adverb identity is unchanged; exact source and held-out witnesses confirm the monograph varia spelling.
variant:v07:pomyani	exact-form	synodal:verb:v07-b2353faaea08f340		imperative:second:singular	помѧни	Помѧнѝ	Помѧни́	review:v07:cb96d4fecd7709dc,v07-source-d4c04dfd9f92545b,v07-target-55f1efb4ffcc26ea	123	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:20cd4539b83a67864d27cbfa	Apoc.2.5	ponomar-elizabeth-bible-2026-08-09	synodal:candidate:5b43d096417ad0544ff8808d	Job.4.7	admitted	The reviewed second-singular imperative cell is retained; both passages independently confirm the capitalized varia surface.
