lemma	pos	cell	print	count	set_count
а҆́вва	n	nom.sg	а҆́вва	3	0
а҆́вель	n	acc.sg	а҆́велѧ	2	0
а҆́вель	n	dat.sg	а҆́велю	1	0
а҆́вель	n	gen.sg	а҆́велѧ	1	0
а҆́вель	n	nom.sg	а҆́вель	4	0
а҆́ггелъ	n	acc.du	а҆́ггєла	0	68
а҆́ггелъ	n	acc.pl	а҆́ггелъ	0	10
а҆́ггелъ	n	acc.pl	а҆́ггелы	5	7
а҆́ггелъ	n	acc.sg	а҆́ггєла	0	68
а҆́ггелъ	n	dat.pl	а҆́ггелѡмъ	12	0
а҆́ггелъ	n	dat.sg	а҆́ггєлꙋ	0	26
а҆́ггелъ	n	gen.du	а҆́ггєлꙋ	0	26
а҆́ггелъ	n	gen.pl	а҆́ггелъ	0	10
а҆́ггелъ	n	gen.pl	а҆́ггелѡвъ	3	0
а҆́ггелъ	n	gen.sg	а҆́ггєла	0	68
а҆́ггелъ	n	ins.pl	а҆́ггелы	0	7
а҆́ггелъ	n	ins.sg	а҆́ггеломъ	4	0
а҆́ггелъ	n	loc.du	а҆́ггєлꙋ	0	26
а҆́ггелъ	n	loc.pl	а҆́ггелѣхъ	1	0
а҆́ггелъ	n	nom.du	а҆́ггєла	0	68
а҆́ггелъ	n	nom.pl	а҆́ггели	9	0
а҆́ггелъ	n	nom.sg	а҆́ггелъ	52	10
а҆́гнецъ	n	acc.pl	а҆́гнцы	2	0
а҆́гнецъ	n	acc.pl	а҆́гнцєвъ	1	0
а҆́гнецъ	n	acc.sg	а҆́гнца	5	0
а҆́гнецъ	n	dat.pl	а҆́гнцємъ	13	0
а҆́гнецъ	n	dat.sg	а҆́гнцꙋ	10	0
а҆́гнецъ	n	gen.pl	а҆́гнцєвъ	18	0
а҆́гнецъ	n	gen.pl	а҆́гнєцъ	3	0
а҆́гнецъ	n	gen.sg	а҆́гнца	2	0
а҆́гнецъ	n	ins.pl	а҆́гнцы	1	0
а҆́гнецъ	n	ins.sg	а҆́гнцемъ	6	0
а҆́гнецъ	n	loc.pl	а҆́гнцахъ	1	0
а҆́гнецъ	n	nom.sg	а҆́гнецъ	12	0
а҆́гница	n	acc.sg	а҆́гницꙋ	5	0
а҆́гница	n	gen.pl	а҆́гницъ	15	0
а҆́гница	n	gen.sg	а҆́гницы	2	0
а҆́гница	n	ins.pl	а҆́гницами	1	0
а҆́гница	n	nom.sg	а҆́гница	1	0
а҆́гнчій	a	short.pos.f.sg.acc	а҆́гнчꙋ	1	0
а҆́гнчій	a	short.pos.m.sg.gen	а҆́гнча	2	0
а҆́дда	n	acc.sg	а҆́ддꙋ	1	0
а҆́дда	n	gen.sg	а҆́дды	1	0
а҆́дда	n	nom.sg	а҆́дда	1	0
а҆́дда	n	voc.sg	а҆́ддо	1	0
а҆́ддѡвъ	a	short.pos.m.sg.dat	а҆ддѡ́вꙋ	2	0
а҆́ддѡвъ	a	short.pos.m.sg.nom	а҆́ддѡвъ	2	0
а҆́довъ	a	short.pos.f.sg.gen	а҆́довы	1	0
а҆́довъ	a	short.pos.m.pl.nom	а҆́дѡвы	1	0
а҆́довъ	a	short.pos.n.sg.gen	а҆́дова	3	0
а҆́дъ	n	dat.sg	а҆́дꙋ	2	0
а҆́дъ	n	gen.sg	а҆́да	17	0
а҆́дъ	n	ins.sg	а҆́домъ	1	0
а҆́дъ	n	loc.sg	а҆́дѣ	18	0
а҆́дъ	n	voc.sg	а҆́де	2	0
а҆́еръ	n	dat.sg	а҆́ерꙋ	1	0
а҆́еръ	n	gen.sg	а҆́ера	1	0
а҆́еръ	n	nom.sg	а҆́еръ	1	0
а҆́за	n	gen.pl	а҆́зъ	13	0
а҆́зъ	pron	1.sg.acc	менѐ	3	0
а҆́зъ	pron	1.sg.gen	менѐ	10	0
