absorbed	survivor
агнъ.n.2	агнъ.n
аріилъ.n.2	аріилъ.n
бѣлица.n.2	бѣлица.n
вереѧ.n.2	вереѧ.n
веѳиль.n.2	веѳиль.n
вілъ.n	вилъ.n
добро.n.2	добро.n
дреколь.n.2	дреколь.n
женишца.n.2	женишца.n
іарімъ.n.2	іарімъ.n
іезраель.n.2	іезраель.n
іллѵрікъ.n.3	іллѵрікъ.n.2
іꙋлій.n.3	іꙋлій.n
каліта.n	калита.n
кана.n.2	кана.n
кеіла.n.2	кеіла.n
колъ.n.2	колъ.n
колъ.n.3	колъ.n
корінѳъ.n.3	корінѳъ.n.2
кꙋкꙋмъ.n.2	кꙋкꙋмъ.n
ліва.n.2	ліва.n
ликъ.n.2	ликъ.n
ликъ.n.3	ликъ.n
лꙋгъ.n.2	лꙋгъ.n
лꙋча.n.2	лꙋча.n
маала.n.2	маала.n
македѡнъ.n.2	македѡнъ.n
макида.n.2	макида.n
маріса.n.2	маріса.n
маркіѡнъ.n	маркіонъ.n
марѡнъ.n.2	марѡнъ.n
мертвецъ.n.2	мертвецъ.n
мѡлада.n.2	мѡлада.n
олівема.n.2	олівема.n
остріе.n.2	остріе.n
папій.n.2	папій.n
пелынь.n.4	пелынь.n.3
положеніе.n.2	положеніе.n
рафа.n.2	рафа.n
рꙋма.n.2	рꙋма.n
сава.n.4	сава.n.2
сава.n.3	сава.n
савей.n.2	савей.n
сафіръ.n	сафиръ.n
сваръ.n.2	сваръ.n
серафімъ.n.2	серафімъ.n
серафімъ.n.3	серафімъ.n
сіна.n.2	сіна.n
сісара.n.2	сісара.n
сонірілъ.n	сонирілъ.n
сꙋва.n.2	сꙋва.n
сꙋмнѣніе.n.2	сꙋмнѣніе.n
сꙋръ.n.2	сꙋръ.n
сыновецъ.n.2	сыновецъ.n
сѣчь.n.2	сѣчь.n
сѵмеѡнъ.n.2	сѵмеѡнъ.n
ѳѡла.n.3	ѳѡла.n
ѵрканъ.n.2	ѵрканъ.n
взимати.v.3	взимати.v
взимати.v.4	взимати.v
водворитисѧ.v.2	водворитисѧ.v
водворитисѧ.v.3	водворитисѧ.v
вожделѣти.v.2	вожделѣти.v
вожделѣти.v.3	вожделѣти.v
вожделѣти.v.4	вожделѣти.v
возвеселитисѧ.v.3	возвеселитисѧ.v.2
воздѣѧтисѧ.v.2	воздѣѧтисѧ.v
волити.v.2	волити.v
воспріимати.v.3	воспріимати.v
вредити.v.2	вредити.v
готовитисѧ.v.2	готовитисѧ.v
досѧзати.v.2	досѧзати.v
досѧзати.v.3	досѧзати.v
заглаждати.v.2	заглаждати.v
заглаждати.v.3	заглаждати.v
заглаждати.v.4	заглаждати.v
замерзнꙋти.v.2	замерзнꙋти.v
засыпати.v.2	засыпати.v
засыпати.v.3	засыпати.v
заткнꙋти.v.2	заткнꙋти.v
зрѣти.v.2	зрѣти.v
зрѣти.v.3	зрѣти.v
зрѣти.v.5	зрѣти.v
изгонѧти.v.2	изгонѧти.v
измлатити.v.2	измлатити.v
израстити.v.2	израстити.v
изрѣзовати.v.2	изрѣзовати.v
кичити.v.2	кичити.v
кончитисѧ.v.2	кончитисѧ.v
медлити.v.2	медлити.v
наказовати.v.2	наказовати.v
настрекати.v.2	настрекати.v
ненавидѣти.v.2	ненавидѣти.v
неѡпалити.v.2	неѡпалити.v
нерадѣти.v.2	нерадѣти.v
ѡбхождати.v.2	ѡбхождати.v
ѡбщитисѧ.v.2	ѡбщитисѧ.v
ѡдолѣти.v.2	ѡдолѣти.v
ѡклеветати.v.2	ѡклеветати.v
ѡсыпати.v.2	ѡсыпати.v
ѡтгнати.v.2	ѡтгнати.v
ѡтерти.v.2	ѡтерти.v
ѡтерти.v.3	ѡтерти.v
ѡтрѣѧти.v.2	ѡтрѣѧти.v
ѡттрѧсти.v.2	ѡттрѧсти.v
ѡттщетитисѧ.v.2	ѡттщетитисѧ.v
подвизатисѧ.v.2	подвизатисѧ.v
пойти.v	поити.v
показати.v.2	показати.v
положити.v.2	положити.v
помазати.v.2	помазати.v
поѡстрити.v.2	поѡстрити.v
поплѣнити.v.2	поплѣнити.v
поразꙋмѣвати.v.2	поразꙋмѣвати.v
порѣѧти.v.2	порѣѧти.v
посыпати.v.2	посыпати.v
посыпатисѧ.v.2	посыпатисѧ.v
почерпати.v.2	почерпати.v
преемствовати.v.2	преемствовати.v
пꙋщати.v.2	пꙋщати.v
пꙋщатисѧ.v.2	пꙋщатисѧ.v
разгордѣтисѧ.v.2	разгордѣтисѧ.v
