# coherence-baseline.tsv — projection-coherence gate baseline
# (docs/UNIFIED_IDENTITY.md, gate section). Full enumeration over the
# identity table; match counts must never regress.
# generated-by: cargo xtask unified-identity
abstract_key	ocs_cells	ocs_matched	synodal_cells	synodal_matched
adj:благъ	252	140	13	13
adj:богатъ	252	74	0	0
adj:бѣлъ	252	126	0	0
adj:великъ	253	116	19	12
adj:вѣренъ	253	121	2	2
adj:вѣчнъ	252	140	4	3
adj:готовъ	252	106	1	1
adj:грѣшнъ	252	64	0	0
adj:деснъ	252	56	1	1
adj:добръ	257	142	12	12
adj:достоинъ	252	12	0	0
adj:жестокъ	252	90	0	0
adj:живъ	252	116	14	14
adj:именитъ	252	56	0	0
adj:крѣпъкъ	256	116	2	2
adj:льстивъ	252	80	0	0
adj:лютъ	254	124	0	0
adj:малъ	253	128	12	12
adj:милостивъ	252	16	0	0
adj:младъ	252	64	0	0
adj:мудръ	252	160	3	3
adj:нагъ	252	66	0	0
adj:небеснъ	252	50	0	0
adj:ниць	252	0	1	0
adj:нищь	252	126	0	0
adj:новъ	253	142	1	1
adj:нѣмъ	252	76	0	0
adj:подобьнъ	252	126	2	2
adj:праведнъ	252	132	0	0
adj:правъ	252	142	1	1
adj:проклѧтъ	252	72	1	1
adj:пустъ	252	120	0	0
adj:самъ	252	114	0	0
adj:свѧтъ	252	140	0	0
adj:скоръ	252	96	1	1
adj:слабъ	252	12	0	0
adj:слѣпъ	252	88	0	0
adj:старъ	253	48	0	0
adj:сѣдъ	252	20	0	0
adj:таинъ	252	12	0	0
adj:угодьнъ	252	78	1	1
adj:хромъ	252	72	0	0
adj:цѣлъ	252	96	0	0
adj:щедръ	252	20	0	0
adj:юнъ	252	90	0	0
adj:ѧръ	252	12	0	0
noun:агньць	23	9	1	1
noun:алеѯандръ	9	7	0	0
noun:ангелъ	23	0	0	0
noun:апостолъ	23	4	0	0
noun:ароматъ	21	6	0	0
noun:асиѧ	7	4	2	2
noun:бесѣда	21	14	0	0
noun:богатьство	21	17	1	1
noun:богъ	21	16	8	7
