# identity-candidates.tsv — projection pairings needing review before any
# identity claim (docs/UNIFIED_IDENTITY.md; defect-candidates precedent).
# generated-by: cargo xtask unified-identity
# kind: ambiguous (2+ pos-compatible registered pairings) |
#       ambiguous-many-to-one (several OCS lexemes project onto one Synodal lexeme) |
#       registered-pos-mismatch (registered match, incompatible part of speech) |
#       oracle-type (lemma surface attested in Synodal evidence, no registered lexeme) |
#       lexical-union-proposal (Synodal lexical-union queue claim, cross-recension identity unconfirmed) |
#       lexical-union-homograph (Synodal lexical-union queue claim blocked by a cross-source homograph)
# provenance: projection-study, or the Synodal lexical-union ledger claim id
#       (synodal-lexical-union:<claim_id>; lexical-union rows list every OCS lexeme
#       sharing the projection-normal key, `-` when none, and printed@passage as candidate)
ocs_lexeme_id	pos	ocs_citation	kind	candidates	provenance
аарѡ́нъ|noun|efe05eb353604eb1	noun	Аарѡ́нъ	ambiguous	synodal:proper-noun:aaron=аарѡнъ;synodal:proper-noun:wikt-246df9e425fa=аарѡнъ	projection-study
ага́въ|noun|ec7677b5fd1e89f2	noun	Ага́въ	oracle-type	агавъ	projection-study
агнѧ|noun|758e6c369b09c405	noun	агнѧ	oracle-type	агнѧ	projection-study
адовъ|adj|b61a09c5b97ff6f9	adj	адовъ	oracle-type	адовъ	projection-study
аеръ|noun|46b5ddc12e2033bf	noun	аеръ	oracle-type	аеръ	projection-study
алкати|verb|0d7b6910a0449e00	verb	алкати	oracle-type	алкати	projection-study
алъкати|verb|97a9629cb5965863	verb	алъкати	oracle-type	алкати	projection-study
алъчьнъ|adj|d3ccb2249c37b0d5	adj	алъчьнъ	oracle-type	алченъ	projection-study
арисъ|noun|3d8d63166d02d659	noun	Арисъ	oracle-type	арисъ	projection-study
афедронъ|noun|50960eae985c9d66	noun	афедронъ	oracle-type	афедронъ	projection-study
баба|noun|0aad973e33a40639	noun	баба	oracle-type	баба	projection-study
бездъна|noun|983c50987663a358	noun	бездъна	oracle-type	бездна	projection-study
безоумьнъ|noun|1e9e4232cefa479b	noun	безоумьнъ	oracle-type	безуменъ	projection-study
бесѣдовати|verb|fd6fd07d93f54141	verb	бесѣдовати	oracle-type	бесѣдовати	projection-study
бичь|noun|5f169c375a7c2ee8	noun	бичь	oracle-type	бичь	projection-study
благость|noun|8c98d3f4fd0cb8f1	noun	благость	oracle-type	благость	projection-study
благостꙑн҄и|noun|ee8d0e78d8d31c8f	noun	благостꙑн҄и	oracle-type	благостыни	projection-study
блаженъ|adj|35918ee8acfd8424	adj	блаженъ	ambiguous	synodal:adjective:blazhenn=блаженъ;synodal:adjective:v06-73f4685d4e007ee3=блаженъ	projection-study
блато|noun|4486cee168490c8a	noun	блато	oracle-type	блато	projection-study
блюдъ|noun|6cdfe51d294fd5fb	noun	блюдъ	oracle-type	блюдъ	projection-study
блѣдъ|adj|635ecf0a4aba7025	adj	блѣдъ	oracle-type	блѣдъ	projection-study
блѫдилищѥ|noun|41e3b2e8113473cf	noun	блѫдилищѥ	oracle-type	блудилище	projection-study
