title	book_code
А҆пока́лѷѱїсъ ст҃а́гѡ і҆ѡа́нна бг҃осло́ва	Apoc
Бі́блїа	-
Дѣѧ̑нїѧ ст҃ы́хъ а҆пⷭ҇лъ	Acts
Кни́га втора́ѧ маккаве́йскаѧ	II_Macc
Кни́га втора́ѧ мѡѷсе́ова и҆схо́дъ	Ex
Кни́га втора́ѧ паралїпоме́нѡнъ	II_Paral
Кни́га втора́ѧ ца́рствъ	II_Kings
Кни́га втора́ѧ є҆́здры	II_Esdra
Кни́га неемі́и	Nehem
Кни́га пе́рваѧ маккаве́йскаѧ	I_Macc
Кни́га пе́рваѧ мѡѷсе́ова бытїѐ	Gen
Кни́га пе́рваѧ паралїпоме́нѡнъ	I_Paral
Кни́га пе́рваѧ ца́рствъ	I_Kings
Кни́га пе́рваѧ є҆́здры	I_Esdra
Кни́га пла́чь і҆еремі́евъ	Lamen
Кни́га посла́нїе і҆еремі́ино	Epistle
Кни́га премⷣрости соломѡ́ни	Wisd
Кни́га премⷣрости і҆исꙋ́са сы́на сїра́хова	Sirach
Кни́га при́тчей соломѡ́нихъ	Prov
Кни́га прⷪ҇ро́ка а҆ввакꙋ́ма	Habak
Кни́га прⷪ҇ро́ка а҆вді́а	Obad
Кни́га прⷪ҇ро́ка а҆гге́а	Hagg
Кни́га прⷪ҇ро́ка а҆мѡ́са	Amos
Кни́га прⷪ҇ро́ка варꙋ́ха	Baruch
Кни́га прⷪ҇ро́ка данїи́ла	Dan
Кни́га прⷪ҇ро́ка заха́рїи	Zech
Кни́га прⷪ҇ро́ка и҆са́їи	Isa
Кни́га прⷪ҇ро́ка малахі́и	Mal
Кни́га прⷪ҇ро́ка мїхе́а	Mica
Кни́га прⷪ҇ро́ка наꙋ́ма	Nahum
Кни́га прⷪ҇ро́ка софо́нїи	Zeph
Кни́га прⷪ҇ро́ка і҆езекі́илѧ	Ezek
Кни́га прⷪ҇ро́ка і҆еремі́и	Jerem
Кни́га прⷪ҇ро́ка і҆ѡ́ны	Jona
Кни́га прⷪ҇ро́ка і҆ѡи́лѧ	Joel
Кни́га прⷪ҇ро́ка ѡ҆сі́и	Hos
Кни́га пѣ́снь пѣ́сней царѧ̀ соломѡ́на	Song
Кни́га пѧ́таѧ мѡѷсе́ова второзако́нїе	Deut
Кни́га рꙋ́ѳь	Ruth
Кни́га сꙋді́й і҆и҃левыхъ	Judg
Кни́га тре́тїѧ маккаве́йскаѧ	III_Macc
Кни́га тре́тїѧ мѡѷсе́ова леѵі́тъ	Lev
Кни́га тре́тїѧ ца́рствъ	III_Kings
Кни́га тре́тїѧ є҆́здры	III_Esdra
Кни́га тѡві́та	Tobit
Кни́га четве́ртаѧ мѡѷсе́ова чи́сла	Num
Кни́га четве́ртаѧ ца́рствъ	IV_Kings
Кни́га є҆кклесїа́ста си́рѣчь проповѣ́дника	Eccles
Кни́га є҆сѳи́рь	Esther
Кни́га і҆́ѡва	Job
Кни́га і҆исꙋ́са наѵи́на	Josh
