title	page_id	revision_id	timestamp	mediawiki_sha1
А҆пока́лѷѱїсъ ст҃а́гѡ і҆ѡа́нна бг҃осло́ва	266823	1353219	2026-07-23T19:07:19Z	splk6j9ijx491pcsb70l8rjpckiokd1
Бі́блїа	268327	936404	2022-11-02T14:35:57Z	sjbdrynikqoxd2hlze2s6r753hkm9gr
Дѣѧ̑нїѧ ст҃ы́хъ а҆пⷭ҇лъ	267116	1351221	2026-07-21T19:16:48Z	0hsargse7o5q73au18uyh761z981zy5
Кни́га втора́ѧ маккаве́йскаѧ	267503	1353781	2026-07-23T19:59:51Z	c5a1sdpeebl1hqfd1i36ptx0l7o7ffa
Кни́га втора́ѧ мѡѷсе́ова и҆схо́дъ	268216	1356129	2026-07-24T02:16:57Z	cnhob1naxxv1nknhk45lq3kvdm58ux0
Кни́га втора́ѧ паралїпоме́нѡнъ	267820	1356537	2026-07-24T03:12:18Z	dpqj8jkm7a4is39za8vtheyjpgn4knt
Кни́га втора́ѧ ца́рствъ	267824	1355842	2026-07-24T01:45:54Z	gpd9nbngafhw61af9f4osmsknpxdqn8
Кни́га втора́ѧ є҆́здры	267612	1354786	2026-07-24T00:09:47Z	retisswk6a8j32lzpbuptbc49l48f1h
Кни́га неемі́и	267674	1347194	2026-07-21T11:15:36Z	sw2fmkdqof4a3zdt5uxt1r2h229ndnh
Кни́га пе́рваѧ маккаве́йскаѧ	267504	1349284	2026-07-21T15:33:04Z	fzfoqtdvfc3b2wbsnos0yxip3uf3i6a
Кни́га пе́рваѧ мѡѷсе́ова бытїѐ	186804	1353777	2026-07-23T19:59:24Z	822pqi4rm3s76me34zwxe1x38ydqf63
Кни́га пе́рваѧ паралїпоме́нѡнъ	267821	1350049	2026-07-21T16:38:31Z	b17dsrhzgi9qpgaz3jy2rhpi64sy65d
Кни́га пе́рваѧ ца́рствъ	267825	1352308	2026-07-23T17:21:42Z	4khah9j1k06j6ki3taz6vxg9spd8e3d
Кни́га пе́рваѧ є҆́здры	267675	1349622	2026-07-21T16:02:26Z	0bvi26g8svbxx99qyndi1qrcggfqf4i
Кни́га пла́чь і҆еремі́евъ	267780	1355700	2026-07-24T01:33:51Z	fkhgnz9lvm0ykuzpji2hpiv6jmxr0ga
Кни́га посла́нїе і҆еремі́ино	267779	1352734	2026-07-23T17:58:25Z	91xbjvwrxfka4x3o44htmu3kz0bx9g8
Кни́га премⷣрости соломѡ́ни	267027	1352514	2026-07-23T17:39:48Z	515axm8nbawf917qrqnhvuun3u23dpz
Кни́га премⷣрости і҆исꙋ́са сы́на сїра́хова	266764	1351543	2026-07-21T19:57:11Z	sk8g9iz1dlss7e3zqch3mby8s2f2mk0
Кни́га при́тчей соломѡ́нихъ	267290	1348717	2026-07-21T14:26:04Z	5xyri99bqn4ry06zgpycvqre0kp4bog
Кни́га прⷪ҇ро́ка а҆ввакꙋ́ма	267699	1351401	2026-07-21T19:43:16Z	emx0zxco9mwje9zb97j4ymglrsvs44i
Кни́га прⷪ҇ро́ка а҆вді́а	267736	1347082	2026-07-21T10:56:15Z	2l58ndyu60dyb2xm277zjmq2725i7ej
Кни́га прⷪ҇ро́ка а҆гге́а	267697	1350341	2026-07-21T17:03:19Z	6twssed5d96r6m7php58dkaiacds5ct
Кни́га прⷪ҇ро́ка а҆мѡ́са	267737	1355310	2026-07-24T01:01:11Z	gjkz49tkifjyqsfwmf0c0qk7uw8jvz9
Кни́га прⷪ҇ро́ка варꙋ́ха	267778	1352870	2026-07-23T18:36:24Z	7y8gi9hq768zc18iavozoop44fn976l
Кни́га прⷪ҇ро́ка данїи́ла	267740	1352430	2026-07-23T17:32:01Z	f4naapy6k67gefnns50buvcxvnzj52q
Кни́га прⷪ҇ро́ка заха́рїи	267696	1353889	2026-07-23T20:09:00Z	3dssusfzjv7s9wudvwslgw5i1uzp5l4
Кни́га прⷪ҇ро́ка и҆са́їи	268259	1356013	2026-07-24T02:01:11Z	ni5ns5lud1354pvp8lh8vtjv7sa7df2
Кни́га прⷪ҇ро́ка малахі́и	267695	1355946	2026-07-24T01:54:34Z	incogw6fo04nhmi8qomrazckokgvztb
Кни́га прⷪ҇ро́ка мїхе́а	267702	1356515	2026-07-24T03:10:04Z	r86shgwl8qx9p4o8a5dvd0siwtyxtiu
Кни́га прⷪ҇ро́ка наꙋ́ма	267701	1350483	2026-07-21T17:30:38Z	i7lzqoq06c94qe33zmqgjhzemdawmay
Кни́га прⷪ҇ро́ка софо́нїи	267698	1354030	2026-07-23T23:04:28Z	qt1gbomjpxd0kowo21us5ubibpj3hac
Кни́га прⷪ҇ро́ка і҆езекі́илѧ	268310	1351206	2026-07-21T19:15:09Z	ftdaq9m6udgow9pvvfe79x4lgcxdunq
Кни́га прⷪ҇ро́ка і҆еремі́и	268261	1353126	2026-07-23T18:59:18Z	74t45263hh4q6g0cm3s72oyw7bllzwz
Кни́га прⷪ҇ро́ка і҆ѡ́ны	267703	1355885	2026-07-24T01:49:29Z	apspvlkrb60uzwlfz8g4wyz92kkp3il
Кни́га прⷪ҇ро́ка і҆ѡи́лѧ	267738	1355244	2026-07-24T00:55:41Z	38w1aehnwfhuexv5jzy39j7u54m458i
Кни́га прⷪ҇ро́ка ѡ҆сі́и	267739	1349147	2026-07-21T15:21:29Z	gfj59wigs0p57piytc9vbcdc77o26t7
Кни́га пѣ́снь пѣ́сней царѧ̀ соломѡ́на	267097	1348891	2026-07-21T14:57:06Z	fjfh8do43dle15ayeo2yfq0qilwtf98
Кни́га пѧ́таѧ мѡѷсе́ова второзако́нїе	267832	1354107	2026-07-23T23:11:16Z	kyw49hq4hc4jkitezwz1uce6y9fxy9i
Кни́га рꙋ́ѳь	267611	1351456	2026-07-21T19:49:07Z	36adxtt5glddum4s516g6zxeyhs7bkc
Кни́га сꙋді́й і҆и҃левыхъ	267830	1347123	2026-07-21T11:09:18Z	iayjqxqdbj9qzpga0hf09i6krlixloo
Кни́га тре́тїѧ маккаве́йскаѧ	267502	1353153	2026-07-23T19:01:35Z	6dtxnv7iyukgumpb53rkd5wc2taj0iu
Кни́га тре́тїѧ мѡѷсе́ова леѵі́тъ	268110	1351242	2026-07-21T19:18:54Z	3tlvoikf8i0bn7bie46jrbsacufhx9l
Кни́га тре́тїѧ ца́рствъ	267823	1355056	2026-07-24T00:40:00Z	8i681ty6n326uhcavsva6g4n4f4xe7j
Кни́га тре́тїѧ є҆́здры	266614	1350543	2026-07-21T17:35:54Z	gy0zrxdev1cjn2qvlpgntmevyaz0o5c
Кни́га тѡві́та	266761	1355115	2026-07-24T00:44:55Z	bfdzvisy3puxf3r8c0z5nhelxjqbpy0
Кни́га четве́ртаѧ мѡѷсе́ова чи́сла	267833	1355550	2026-07-24T01:21:31Z	ppkvv4rujr1r1q2pznuyqz4uw1zqs2c
Кни́га четве́ртаѧ ца́рствъ	267822	1355415	2026-07-24T01:09:59Z	cn09e9pgy4geb7kso7n3868knao05i8
Кни́га є҆кклесїа́ста си́рѣчь проповѣ́дника	267285	1351160	2026-07-21T19:10:23Z	7l53rt1f8pjn0ibd6c57emri6ikov89
Кни́га є҆сѳи́рь	267508	1354362	2026-07-23T23:32:52Z	d67qfwiaovzkv95ilw3n7x9x0ucgqjf
Кни́га і҆́ѡва	267398	1347673	2026-07-21T12:13:35Z	4921k0m9lfwpoiamq1p2t5fcvpz1uc8
Кни́га і҆исꙋ́са наѵи́на	267831	1351557	2026-07-21T19:58:28Z	lqh3od2e2wai14s1zpar5dpl75ov8qx
Кни́га і҆ꙋді́ѳъ	267416	1356553	2026-07-24T03:13:41Z	52jaroeqggt8xijgnf6awr1ux2kder1
Посла́нїе второ́е къ корі́нѳѧнѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267434	1349409	2026-07-21T15:43:24Z	c6odmcgu0i5eip1x8rlz6sybyvcg6pf
Посла́нїе второ́е къ солꙋ́нѧнѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267427	1352598	2026-07-23T17:47:04Z	e3b3moejdlxy2u91ml6sg04jo0cawe2
Посла́нїе второ́е къ тїмоѳе́ю ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267425	1353259	2026-07-23T19:10:48Z	9jsmcajsuugfodaat67g71vuvbgzmnw
Посла́нїе ко є҆вре́ємъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	266876	1347108	2026-07-21T11:07:52Z	j2rluclmf8n5vffiiadig5q43blpjo2
Посла́нїе ко є҆фесе́ємъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267431	1352973	2026-07-23T18:45:15Z	klqr4aevzqkrc9hptaj3swek7ytkmhn
Посла́нїе къ гала́тѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267432	1350905	2026-07-21T18:48:45Z	mdxdxb3grvt5oh877fe113bd736w9ih
Посла́нїе къ колосса́ємъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267429	1346532	2026-07-20T22:23:10Z	cro50005o9251gcwo0ho6qpyyrji8j0
Посла́нїе къ ри́млѧнѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	266817	1349181	2026-07-21T15:24:18Z	qlzsq8l958ud6fm5xjiding1g1lfe3a
Посла́нїе къ ті́тꙋ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267424	1349289	2026-07-21T15:33:29Z	lzdoxslojfvanalkiqeligrvtokvarl
Посла́нїе къ фїлимо́нꙋ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	266877	1356333	2026-07-24T02:35:17Z	cfrgj1cxn2vfpb79j9jow8sgth0nzj1
Посла́нїе къ фїлїпписі́ємъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267430	1354850	2026-07-24T00:16:05Z	5k2lwhmxu8zqp7f1z486eoacsf4tfwb
Посла́нїе пе́рвое къ корі́нѳѧнѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267438	1352465	2026-07-23T17:35:34Z	sorg650g9mczqm97i4zw0l9altb5g6w
Посла́нїе пе́рвое къ солꙋ́нѧнѡмъ ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267428	1348400	2026-07-21T13:58:16Z	7okujzoqf0u4ipsd6vhx9y8wwlg8k29
Посла́нїе пе́рвое къ тїмоѳе́ю ст҃а́гѡ а҆пⷭ҇ла па́ѵла	267426	1350391	2026-07-21T17:07:29Z	avtpiy9q5a38o6oiy4e6rmkb5g10yas
Собо́рное посла́нїе второ́е ст҃а́гѡ а҆пⷭ҇ла петра̀	266727	1346733	2026-07-20T22:40:50Z	aored8k3o4zht7idkt87b30x8ic4roi
Собо́рное посла́нїе второ́е ст҃а́гѡ а҆пⷭ҇ла і҆ѡа́нна бг҃осло́ва	266744	1346925	2026-07-21T10:39:59Z	cgk63b2cf4j08hjkbl9mn05ox3g85q9
Собо́рное посла́нїе пе́рвое ст҃а́гѡ а҆пⷭ҇ла петра̀	266719	1348314	2026-07-21T13:47:27Z	2osardjq5iopqa13frn4xrrzeysku9m
Собо́рное посла́нїе пе́рвое ст҃а́гѡ а҆пⷭ҇ла і҆ѡа́нна бг҃осло́ва	266743	1348325	2026-07-21T13:48:23Z	ejexsqch5586p3lbq02l10z03sqggj8
Собо́рное посла́нїе тре́тїе ст҃а́гѡ а҆пⷭ҇ла і҆ѡа́нна бг҃осло́ва	266745	1351421	2026-07-21T19:44:56Z	rmfbyl7mfpxii5t9m92uh68onv2sce9
Собо́рное посла́нїе і҆а́кѡвле	266718	1351744	2026-07-21T20:21:40Z	gz50lrtcydaw47q3842l2fli3n6vj41
Собо́рное посла́нїе і҆ꙋ́дино	266756	1346361	2026-07-20T21:31:25Z	2437uhxw3obk4tabdjxxju8o3cfsl3k
Ѱалти́рь	186953	1348069	2026-07-21T13:00:14Z	dxzlprv4ruxde5x5zc502hyeu31r3ql
Ѿ лꙋкѝ ст҃о́е бл҃говѣствова́нїе	267186	1352165	2026-07-23T17:09:21Z	7uo5rvxdklik985z58adv3g6j1snxxa
Ѿ ма́рка ст҃о́е бл҃говѣствова́нїе	267252	1354663	2026-07-23T23:59:24Z	5zoypzesayfz681bmni81zjox0kmaax
Ѿ матѳе́а ст҃о́е бл҃говѣствова́нїе	161201	1353347	2026-07-23T19:20:04Z	rgzrg40z92k6j2gmw46vqmta3my0sbp
Ѿ і҆ѡа́нна ст҃о́е бл҃говѣствова́нїе	267120	1356155	2026-07-24T02:19:16Z	0d4fx9fophvk5ywgnbc7zf0tmdssu02
