# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
аарѡ́нъ|noun|efe05eb353604eb1	noun	Аарѡ́нъ	1	registered-lexeme	ааронъ	21	16	0	5	0
аблань|noun|c6041ad73a304b13	noun	аблань	1	none		26	0	0	26	0
аблъко|noun|157d0b4cd6a712f2	noun	аблъко	3	none		21	0	0	21	0
авазгъ|noun|7fbb7482edaf3067	noun	авазгъ	1	none		21	0	0	21	0
авити|verb|8003baa455c6b112	verb	авити	1	none		11	0	0	11	0
авоу́ндии|noun|a696b5a27ebf1e71	noun	Авоу́ндии	1	none		21	0	0	21	0
автоно́мъ|noun|db89826d6f6ab492	noun	Автоно́мъ	1	none		21	0	0	21	0
авьнъ|adj|2a25d673ea077283	adj	авьнъ	3	none		252	0	0	252	0
ага́въ|noun|ec7677b5fd1e89f2	noun	Ага́въ	1	oracle-type	агавъ	21	3	0	18	0
ага́пии|noun|1444a01b567456f6	noun	Ага́пии	1	none		21	0	0	21	0
ага́пиꙗ|noun|2306112e3140161c	noun	Ага́пиꙗ	1	none		21	0	0	21	0
агапи́тъ|noun|467822b485c01afb	noun	Агапи́тъ	1	none		21	0	0	21	0
агапиѡ́нъ|noun|6fd3d345569e8c54	noun	Агапиѡ́нъ	1	none		21	0	0	21	0
агарѣнинъ|noun|e22ab80773881cd9	noun	агарѣнинъ	1	none		21	0	0	21	0
агаѳа́нгелъ|noun|c7959468ba6ba5a1	noun	Агаѳа́нгелъ	1	none		21	0	0	21	0
агаѳо́никъ|noun|55d7c0d404707ace	noun	Агаѳо́никъ	1	none		21	0	0	21	0
агньць|noun|2c37c8984ac3639b	noun	агньць	3	registered-lexeme	агньць	23	0	9	14	0
агнѧ|noun|758e6c369b09c405	noun	агнѧ	1	oracle-type	агнѧ	21	0	3	18	0
агода|noun|80d81badb8567770	noun	агода	1	none		21	0	0	21	0
агри́кола|noun|c52ebd5f19530af4	noun	Агри́кола	1	none		21	0	0	21	0
адовъ|adj|b61a09c5b97ff6f9	adj	адовъ	1	oracle-type	адовъ	252	0	72	180	0
адовьскъ|adj|48b51d571c469b97	adj	адовьскъ	3	none		252	0	0	252	0
адьскъ|adj|641c7c63c471ca61	adj	адьскъ	3	none		252	0	0	252	0
аеръ|noun|46b5ddc12e2033bf	noun	аеръ	1	oracle-type	аеръ	21	0	10	11	0
азъ|pron|96517b185cf1678f	pron	азъ	1	registered-lexeme	азъ	42	0	38	4	0
аице|noun|7c4a31fa29afe7ae	noun	аице	1	none		21	0	0	21	0
акридъ|noun|cdc59990e2323490	noun	акридъ	1	none		23	0	10	13	0
акротомъ|noun|0751956b6546c1a0	noun	акротомъ	1	none		21	0	0	21	0
алеѯандръ|noun|b70362ca484a321f	noun	Алеѯандръ	1	registered-lexeme	алеѯандръ	9	0	7	2	0
алкати|verb|0d7b6910a0449e00	verb	алкати	1	oracle-type	алкати	11	0	1	10	0
алпъ|noun|a7ab8bc351831a1a	noun	алпъ	1	none		21	0	0	21	0
