rank	lexeme_id	cell	system	policy	expected_expanded	expected_printed	source_id	passage	provenance	decision	review_reason
1	synodal:adjective:mnog	adjective:accusative:plural:masculine:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
2	synodal:adjective:mnog	adjective:accusative:plural:neuter:inanimate:short:positive	adjective	strict	мнѡга	мнѡ́га	ponomar-elizabeth-bible-2026-08-09	Deut.31.21	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive
3	synodal:adjective:mnog	adjective:genitive:plural:feminine:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
4	synodal:adjective:mnog	adjective:genitive:plural:feminine:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
5	synodal:adjective:mnog	adjective:genitive:plural:masculine:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
6	synodal:adjective:mnog	adjective:genitive:plural:masculine:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
7	synodal:adjective:mnog	adjective:genitive:plural:neuter:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
8	synodal:adjective:mnog	adjective:genitive:plural:neuter:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
9	synodal:adjective:mnog	adjective:locative:plural:feminine:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
10	synodal:adjective:mnog	adjective:locative:plural:feminine:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
11	synodal:adjective:mnog	adjective:locative:plural:masculine:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
12	synodal:adjective:mnog	adjective:locative:plural:masculine:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
13	synodal:adjective:mnog	adjective:locative:plural:neuter:animate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
14	synodal:adjective:mnog	adjective:locative:plural:neuter:inanimate:long:positive	adjective	strict	многихъ	мно́гихъ	ponomar-elizabeth-bible-2026-08-09	Acts.24.10	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:masculine:animate:long:positive,adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:genitive:plural:neuter:animate:long:positive,adjective:genitive:plural:neuter:inanimate:long:positive,adjective:locative:plural:feminine:animate:long:positive,adjective:locative:plural:feminine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive,adjective:locative:plural:neuter:animate:long:positive,adjective:locative:plural:neuter:inanimate:long:positive
15	synodal:adjective:mnog	adjective:nominative:plural:neuter:inanimate:short:positive	adjective	strict	мнѡга	мнѡ́га	ponomar-elizabeth-bible-2026-08-09	Deut.31.21	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:accusative:plural:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive
16	synodal:adjective:v06-1a7ee491487fbd39	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	крѣпокъ	крѣ́покъ	ponomar-elizabeth-bible-2026-08-09	Amos.2.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
17	synodal:adjective:v06-1a7ee491487fbd39	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	крѣпокъ	крѣ́покъ	ponomar-elizabeth-bible-2026-08-09	Amos.2.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
18	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:masculine:animate:short:positive	adjective	strict	подобенъ	подо́бенъ	ponomar-elizabeth-bible-2026-08-09	Apoc.14.14	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
19	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:masculine:inanimate:short:positive	adjective	strict	подобенъ	подо́бенъ	ponomar-elizabeth-bible-2026-08-09	Apoc.14.14	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:masculine:animate:short:positive,adjective:nominative:singular:masculine:inanimate:short:positive
20	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:neuter:animate:short:positive	adjective	strict	подобно	подо́бно	ponomar-elizabeth-bible-2026-08-09	Acts.17.29	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
21	synodal:adjective:v06-6d8cbd0ea412c4e9	adjective:nominative:singular:neuter:inanimate:short:positive	adjective	strict	подобно	подо́бно	ponomar-elizabeth-bible-2026-08-09	Acts.17.29	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
