# synodal-gold-gap.tsv — the committed gap worklist of the Synodal gold gate.
# generated-by: cargo xtask synodal-gold --fix
# contract: docs/SYNODAL_GOLD_ORACLE.md; one row per failing token type or paradigm cell.
# The gate (synodal-gold --check) fails if the regenerated gap is not a subset of this file.
oracle	key	reason	engine_output	expected
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:dual::first:future:	unregistered-lemma		да́-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:dual::second+third:future:	unregistered-lemma		да́с-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:plural::first:future:	unregistered-lemma		да́-мы
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:plural::second:future:	unregistered-lemma		да́с-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:plural::third:future:	unregistered-lemma		дад-ꙋ́тъ, -ѧ́тъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:singular::first:future:	unregistered-lemma		да́-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:singular::second:future:	unregistered-lemma		да́-си
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||будущее время|:singular::third:future:	unregistered-lemma		да́с-тъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::first:present:	unregistered-lemma		вѣ́-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::first:present:	unregistered-lemma		и҆́м-а-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::first:present:	unregistered-lemma		ꙗ҆́-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::second+third:present:	unregistered-lemma		вѣ́с-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::second+third:present:	unregistered-lemma		и҆́м-а-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:dual::second+third:present:	unregistered-lemma		ꙗ҆́с-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::first:present:	unregistered-lemma		вѣ́-мы
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::first:present:	unregistered-lemma		и҆́м-а-мы
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::first:present:	unregistered-lemma		ꙗ҆́-мы
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::second:present:	unregistered-lemma		вѣ́с-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::second:present:	unregistered-lemma		и҆́м-а-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::second:present:	unregistered-lemma		ꙗ҆́с-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::third:present:	unregistered-lemma		вѣ́д-ѧтъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::third:present:	unregistered-lemma		и҆́м-ꙋтъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:plural::third:present:	unregistered-lemma		ꙗ҆д-ѧ́тъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::first:present:	unregistered-lemma		вѣ́-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::first:present:	unregistered-lemma		и҆́м-а-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::first:present:	unregistered-lemma		ꙗ҆́-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::second:present:	unregistered-lemma		вѣ́-си
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::second:present:	unregistered-lemma		и҆́м-а-ши
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::second:present:	unregistered-lemma		ꙗ҆́-си
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::third:present:	unregistered-lemma		вѣ́с-ть
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::third:present:	unregistered-lemma		и҆́м-а-ть
paradigm	§103. Глаголы архаического спряжения|p103.htm|1||настоящее время|:singular::third:present:	unregistered-lemma		ꙗ҆́с-тъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::first::imperative	unregistered-lemma		вѣ́д-и-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::first::imperative	unregistered-lemma		дад-и́-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::first::imperative	unregistered-lemma		и҆м-ѣ́-и-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::first::imperative	unregistered-lemma		ꙗ҆д-и́-ва, -вѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::second+third::imperative	unregistered-lemma		вѣ́д-и-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::second+third::imperative	unregistered-lemma		дад-и́-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::second+third::imperative	unregistered-lemma		и҆м-ѣ́-и-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:dual::second+third::imperative	unregistered-lemma		ꙗ҆д-и́-та, -тѣ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::first::imperative	unregistered-lemma		вѣ́д-и-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::first::imperative	unregistered-lemma		дад-и́-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::first::imperative	unregistered-lemma		и҆м-ѣ́-и-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::first::imperative	unregistered-lemma		ꙗ҆д-и́-мъ
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		вѣ́д-и-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		дад-и́-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		и҆м-ѣ́-й-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		ꙗ҆д-и́-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		вѣ́жд-ь
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		да́жд-ь
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		и҆м-ѣ́-й
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		ꙗ҆́жд-ь
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|accusative:plural::::	unreviewed-cell		кра̑-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|accusative:singular::::	unreviewed-cell		кра́-й
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|dative+instrumental:dual::::	unreviewed-cell		кра́-ема
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|dative:singular::::	unreviewed-cell		кра́-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive+locative:dual::::	unreviewed-cell		кра̑-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive:plural::::	engine-wrong-accent	кра́євъ	кра-є́въ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive:singular::::	unreviewed-cell		кра́-ѧ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|instrumental:plural::::	engine-wrong-accent	краи̑	кра̑-и
