rank	packet_id	surface	normalized_surface	top_k_uncovered_frequency	document_frequency	lexeme_id	lemma	part_of_speech	cell	evidence_lane	identity_status	semantic_gloss	source_morphology	evidence_roles	source_passage	evaluation_passage	contexts	risk_flags	prior_decisions	predicted_unique_tokens	decision	reviewer_note
1	v07-exact-7ecb6c79b8a11eaf	предѣ́лы	предѣлы	296	263	synodal:noun:v07-d2c6a86dc959469a	прѣдѣлъ	noun	noun:accusative:plural:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	boundary; limit; ordinance	NUMBp|GENDm|CASEa	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:0250580701fd4ba535ae2429:Josh.15.6 | semantic-identity:dyachenko-1900-scan:synodal:candidate:a9731c8481a1d7f01401cfc1:page 522; bbox=855,392,771,79 | source-typed-morphology:syntacticus-20230428:synodal:candidate:405fdc2831832d92aa7836ea:sergrad.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:021538a454855a0bedf45597:Hos.5.10	ponomar-elizabeth-bible-2026-08-09:Hos.5.10	ponomar-elizabeth-bible-2026-08-09:Josh.15.6	мена̀ и҆ предѣ́лы селе́нї | зширѧ́тъ предѣ́лы своѧ̑: | ши сꙋ́ть предѣ́лы и҆́хъ п			296	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
2	v07-exact-66123d3c5c115729	предѣ́лы	предѣлы	296	263	synodal:noun:v07-d2c6a86dc959469a	прѣдѣлъ	noun	noun:instrumental:plural:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	boundary; limit; ordinance	NUMBp|GENDm|CASEi	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:0250580701fd4ba535ae2429:Josh.15.6 | semantic-identity:dyachenko-1900-scan:synodal:candidate:a9731c8481a1d7f01401cfc1:page 522; bbox=855,392,771,79 | source-typed-morphology:syntacticus-20230428:synodal:candidate:814cae516cf3e0f438ff77d4:stefan.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:021538a454855a0bedf45597:Hos.5.10	ponomar-elizabeth-bible-2026-08-09:Hos.5.10	ponomar-elizabeth-bible-2026-08-09:Josh.15.6	мена̀ и҆ предѣ́лы селе́нї | зширѧ́тъ предѣ́лы своѧ̑: | ши сꙋ́ть предѣ́лы и҆́хъ п			0	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
3	v07-exact-6aecad17260dbf25	Го́ре	горе	238	198	synodal:noun:wikt-fd691ce3ca48	гора	noun	noun:locative:singular:inanimate	syntacticus-source-typed-exact	existing-reviewed-identity		NUMBs|GENDf|CASEl	existing-reviewed-lexical-and-semantic-identity:synodal-v06-reviewed-registry:synodal:noun:wikt-fd691ce3ca48:гора | held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:20094dbd1d1576a8ddbc0cf2:Isa.5.22 | source-typed-morphology:syntacticus-20230428:synodal:candidate:48594a4692afc68ee4084f2a:nov-sin.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:02f78127b0738ad331ba0040:Habak.2.15	ponomar-elizabeth-bible-2026-08-09:Habak.2.15	ponomar-elizabeth-bible-2026-08-09:Isa.5.22	Го́ре второ́е | ́де: сѐ, го́ре тре́тїе | а ни́хъ. Го́ре живꙋ́щы			238	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
4	v07-exact-5544c8d83935e4a6	предѣ́лъ	предѣлъ	221	195	synodal:noun:v07-d2c6a86dc959469a	прѣдѣлъ	noun	noun:accusative:singular:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	boundary; limit; ordinance	NUMBs|GENDm|CASEa	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:068833b8b0466ac13bb0bf38:IV_Kings.18.8 | semantic-identity:dyachenko-1900-scan:synodal:candidate:a9731c8481a1d7f01401cfc1:page 522; bbox=855,392,771,79 | source-typed-morphology:syntacticus-20230428:synodal:candidate:9240a2b8bc67c09dcd6325ff:lav.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:0e35f082f2293b1b3ee4e55f:Josh.17.11	ponomar-elizabeth-bible-2026-08-09:Josh.17.11	ponomar-elizabeth-bible-2026-08-09:IV_Kings.18.8	ша ѧ҆̀ ѿ предѣ̑лъ свои́хъ | лы и҆́хъ предѣ̑лъ ва́шихъ | крѣпи́ти предѣ́лъ, ꙗ҆́кѡ			221	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
5	v07-exact-dfdfb17449326484	лакѡ́тъ	лакѡтъ	185	116	synodal:noun:v07-8e026a5d22578a89	лакъть	noun	noun:genitive:plural:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	elbow	NUMBp|GENDm|CASEg	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:0a50295362e950f7bb34f0ab:III_Kings.6.10 | semantic-identity:english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:9695e37d119fb5a90fa962ed:лакъть | source-typed-morphology:syntacticus-20230428:synodal:candidate:7bdf106b755f008b1920ce4a:lav.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:02aadb394011f4d99e2e74eb:III_Kings.6.24	ponomar-elizabeth-bible-2026-08-09:III_Kings.6.24	ponomar-elizabeth-bible-2026-08-09:III_Kings.6.10	де́вѧть лакѡ́тъ долгота | и дре́во лакѡ́тъ пѧтьдес | ше́но на лакѡ́тъ пѧтьдес	reviewed-weak-yer-identity-correspondence-required		185	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
6	v07-exact-964d61fab8b077e9	Ѻ҆тцы̀	ѻтцы	138	122	synodal:noun:v07-fdb7f4a71e94c98a	отьць	noun	noun:nominative:plural:animate	syntacticus-source-typed-exact	new-source-semantic-identity	father	NUMBp|GENDm|CASEn	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:6d59d89bee1400db7698f5b5:Lamen.5.7 | semantic-identity:english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:7a1b22a24969a786e4c0c417:отьць | source-typed-morphology:syntacticus-20230428:synodal:candidate:4354746f3fa1960f668ae589:sergrad.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:68f9c76431a70d0a4ec7a5ae:Isa.43.27	ponomar-elizabeth-bible-2026-08-09:Isa.43.27	ponomar-elizabeth-bible-2026-08-09:Lamen.5.7	й, и҆ со ѻ҆тцы̑ на́шими | і́еши со ѻ҆тцы̑ твои́ми | и́хсѧ со ѻ҆тцы̑ ва́шими	reviewed-weak-yer-identity-correspondence-required		138	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
7	v07-exact-08358ad05d8807c5	сю́дꙋ	сюдꙋ	94	46	synodal:noun:v07-32044160fc699252	судъ#2	noun	noun:locative:singular:inanimate	syntacticus-source-typed-exact	existing-reviewed-identity		NUMBs|GENDm|CASEl	existing-reviewed-lexical-and-semantic-identity:synodal-v06-reviewed-registry:synodal:noun:v07-32044160fc699252:судъ#2 | held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:36c9bb486236cae9ed9a0be0:Jn.19.18 | source-typed-morphology:syntacticus-20230428:synodal:candidate:dbdc9c7a727ad426b739d0f4:lav.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:13406145e9ff300f9f0fe40a:I_Macc.9.45	ponomar-elizabeth-bible-2026-08-09:I_Macc.9.45	ponomar-elizabeth-bible-2026-08-09:Jn.19.18	ꙋпи́шасѧ сю́дꙋ и҆ сю́д | сю́дꙋ и҆ сю́дꙋ , и҆ пр | сѧ вода̀ сю́дꙋ и҆ сю́д			94	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
8	v07-exact-491ebad268a7efa7	пло́ти	плѡти	80	62	synodal:noun:v07-e7519bb86df39474	плъть	noun	noun:accusative:plural:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	body, flesh	NUMBp|GENDf|CASEa	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:026f99f073de8d34faef08fe:Jn.8.15 | semantic-identity:english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:dd281666539ac3053c8898f2:плъть | source-typed-morphology:syntacticus-20230428:synodal:candidate:6f85f0b40d5cbdde15cce5d1:sergrad.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:01b596f5b317e577d6621dd3:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Jn.8.15	снѣ́сте плѡ́ти царе́й | аре́й и҆ плѡ́ти крѣ́пки | пкихъ и҆ плѡ́ти ты́сѧщн	reviewed-weak-yer-identity-correspondence-required		80	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
9	v07-exact-4146a9b0421c6031	пло́ти	плѡти	80	62	synodal:noun:v07-e7519bb86df39474	плъть	noun	noun:dative:singular:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	body, flesh	NUMBs|GENDf|CASEd	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:026f99f073de8d34faef08fe:Jn.8.15 | semantic-identity:english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:dd281666539ac3053c8898f2:плъть | source-typed-morphology:syntacticus-20230428:synodal:candidate:ed60e0c6e0200e51592c8faf:sergrad.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:01b596f5b317e577d6621dd3:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Jn.8.15	снѣ́сте плѡ́ти царе́й | аре́й и҆ плѡ́ти крѣ́пки | пкихъ и҆ плѡ́ти ты́сѧщн	reviewed-weak-yer-identity-correspondence-required		0	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
10	v07-exact-02b036b065c041cd	пло́ти	плѡти	80	62	synodal:noun:v07-e7519bb86df39474	плъть	noun	noun:genitive:singular:inanimate	syntacticus-source-typed-exact	new-source-semantic-identity	body, flesh	NUMBs|GENDf|CASEg	held-out-target-evaluation:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:026f99f073de8d34faef08fe:Jn.8.15 | semantic-identity:english-wiktionary-ocs-kaikki-2026-08-07:synodal:candidate:dd281666539ac3053c8898f2:плъть | source-typed-morphology:syntacticus-20230428:synodal:candidate:736e1f6d99192bc0e2cc555a:lav.conll:unknown | target-source-orthography:ponomar-elizabeth-bible-2026-08-09:synodal:candidate:01b596f5b317e577d6621dd3:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Rom.8.12	ponomar-elizabeth-bible-2026-08-09:Jn.8.15	снѣ́сте плѡ́ти царе́й | аре́й и҆ плѡ́ти крѣ́пки | пкихъ и҆ плѡ́ти ты́сѧщн	reviewed-weak-yer-identity-correspondence-required		0	candidate-unreviewed	Requires explicit review of lexical identity, source cell, historical spelling correspondence, and target context before admission.
